# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.0000000e+00    4.3496200e+00    6.0512067e+07
1.0000000e+01    3.5920832e+06    5.8160655e+07
2.0000000e+01    5.2769401e+06    5.6543922e+07
3.0000000e+01    6.2449797e+06    5.5264475e+07
4.0000000e+01    7.2130193e+06    5.3985027e+07
5.0000000e+01    8.1072657e+06    5.2808623e+07
6.0000000e+01    8.8137163e+06    5.1860739e+07
7.0000000e+01    9.1078361e+06    5.1170025e+07
8.0000000e+01    9.4019558e+06    5.0479311e+07
9.0000000e+01    9.6960756e+06    4.9788598e+07
1.0000000e+02    9.9901954e+06    4.9097884e+07
1.1000000e+02    1.0284315e+07    4.8407171e+07
1.2000000e+02    1.0578435e+07    4.7716457e+07
1.3000000e+02    1.0872555e+07    4.7025744e+07
1.4000000e+02    1.1166674e+07    4.6335030e+07
1.5000000e+02    1.1455889e+07    4.5659097e+07
1.6000000e+02    1.1698148e+07    4.5119323e+07
1.7000000e+02    1.1939183e+07    4.4582969e+07
1.8000000e+02    1.2180218e+07    4.4046616e+07
1.9000000e+02    1.2421253e+07    4.3510262e+07
2.0000000e+02    1.2512835e+07    4.3150544e+07
2.1000000e+02    1.2554742e+07    4.2849535e+07
2.2000000e+02    1.2596649e+07    4.2548527e+07
2.3000000e+02    1.2638556e+07    4.2247519e+07
2.4000000e+02    1.2680463e+07    4.1946511e+07
2.5000000e+02    1.2722370e+07    4.1645503e+07
2.6000000e+02    1.2764277e+07    4.1344494e+07
2.7000000e+02    1.2806184e+07    4.1043486e+07
2.8000000e+02    1.2848090e+07    4.0742478e+07
2.9000000e+02    1.2889997e+07    4.0441470e+07
3.0000000e+02    1.2931904e+07    4.0140461e+07
3.1000000e+02    1.2973811e+07    3.9839453e+07
3.2000000e+02    1.3015718e+07    3.9538445e+07
3.3000000e+02    1.3057625e+07    3.9237437e+07
3.4000000e+02    1.3099532e+07    3.8936428e+07
3.5000000e+02    1.3141439e+07    3.8635420e+07
3.6000000e+02    1.3183346e+07    3.8334412e+07
3.7000000e+02    1.3225253e+07    3.8033404e+07
3.8000000e+02    1.3267160e+07    3.7732396e+07
3.9000000e+02    1.3309067e+07    3.7431387e+07
4.0000000e+02    1.3350974e+07    3.7130379e+07
4.1000000e+02    1.3392881e+07    3.6829371e+07
4.2000000e+02    1.3434787e+07    3.6528363e+07
4.3000000e+02    1.3476148e+07    3.6251428e+07
4.4000000e+02    1.3516200e+07    3.6009496e+07
4.5000000e+02    1.3556191e+07    3.5768911e+07
4.6000000e+02    1.3596182e+07    3.5528325e+07
4.7000000e+02    1.3636173e+07    3.5287739e+07
4.8000000e+02    1.3676164e+07    3.5047154e+07
4.9000000e+02    1.3716155e+07    3.4806568e+07
5.0000000e+02    1.3756146e+07    3.4565983e+07
5.1000000e+02    1.3796137e+07    3.4325397e+07
5.2000000e+02    1.3836128e+07    3.4084812e+07
5.3000000e+02    1.3876119e+07    3.3844226e+07
5.4000000e+02    1.3916110e+07    3.3603640e+07
5.5000000e+02    1.3956101e+07    3.3363055e+07
5.6000000e+02    1.3988757e+07    3.3141724e+07
5.7000000e+02    1.3976895e+07    3.3037249e+07
5.8000000e+02    1.3965034e+07    3.2932775e+07
5.9000000e+02    1.3953173e+07    3.2828300e+07
6.0000000e+02    1.3941312e+07    3.2723826e+07
6.1000000e+02    1.3929451e+07    3.2619352e+07
6.2000000e+02    1.3917590e+07    3.2514877e+07
6.3000000e+02    1.3905729e+07    3.2410403e+07
6.4000000e+02    1.3893868e+07    3.2305928e+07
6.5000000e+02    1.3882007e+07    3.2201454e+07
6.6000000e+02    1.3870146e+07    3.2096979e+07
6.7000000e+02    1.3858285e+07    3.1992505e+07
6.8000000e+02    1.3846424e+07    3.1888031e+07
6.9000000e+02    1.3834563e+07    3.1783556e+07
7.0000000e+02    1.3822702e+07    3.1679082e+07
7.1000000e+02    1.3810841e+07    3.1574607e+07
7.2000000e+02    1.3798980e+07    3.1470133e+07
7.3000000e+02    1.3787119e+07    3.1365658e+07
7.4000000e+02    1.3775257e+07    3.1261184e+07
7.5000000e+02    1.3763396e+07    3.1156710e+07
7.6000000e+02    1.3751535e+07    3.1052235e+07
7.7000000e+02    1.3739674e+07    3.0947761e+07
7.8000000e+02    1.3727813e+07    3.0843286e+07
7.9000000e+02    1.3715952e+07    3.0738812e+07
8.0000000e+02    1.3704091e+07    3.0634337e+07
8.1000000e+02    1.3692230e+07    3.0529863e+07
8.2000000e+02    1.3680369e+07    3.0425389e+07
8.3000000e+02    1.3668508e+07    3.0320914e+07
8.4000000e+02    1.3656647e+07    3.0216440e+07
8.5000000e+02    1.3644786e+07    3.0111965e+07
8.6000000e+02    1.3632925e+07    3.0007491e+07
8.7000000e+02    1.3621064e+07    2.9903017e+07
8.8000000e+02    1.3609203e+07    2.9798542e+07
8.9000000e+02    1.3597342e+07    2.9694068e+07
9.0000000e+02    1.3585480e+07    2.9589593e+07
9.1000000e+02    1.3573619e+07    2.9485119e+07
9.2000000e+02    1.3561758e+07    2.9380644e+07
9.3000000e+02    1.3549897e+07    2.9276170e+07
9.4000000e+02    1.3538036e+07    2.9171696e+07
9.5000000e+02    1.3526175e+07    2.9067221e+07
9.6000000e+02    1.3514314e+07    2.8962747e+07
9.7000000e+02    1.3502453e+07    2.8858272e+07
9.8000000e+02    1.3490592e+07    2.8753798e+07
9.9000000e+02    1.3478731e+07    2.8649323e+07
1.0000000e+03    1.3466870e+07    2.8544849e+07
1.0100000e+03    1.3455009e+07    2.8440375e+07
1.0200000e+03    1.3443148e+07    2.8335900e+07
1.0300000e+03    1.3431287e+07    2.8231426e+07
1.0400000e+03    1.3419426e+07    2.8126951e+07
1.0500000e+03    1.3407565e+07    2.8022477e+07
1.0600000e+03    1.3395704e+07    2.7918003e+07
1.0700000e+03    1.3383842e+07    2.7813528e+07
1.0800000e+03    1.3371981e+07    2.7709054e+07
1.0900000e+03    1.3360120e+07    2.7604579e+07
1.1000000e+03    1.3348259e+07    2.7500105e+07
1.1100000e+03    1.3336398e+07    2.7395630e+07
1.1200000e+03    1.3324537e+07    2.7291156e+07
1.1300000e+03    1.3312676e+07    2.7186682e+07
1.1400000e+03    1.3300815e+07    2.7082207e+07
1.1500000e+03    1.3288954e+07    2.6977733e+07
1.1600000e+03    1.3277093e+07    2.6873258e+07
1.1700000e+03    1.3265232e+07    2.6768784e+07
1.1800000e+03    1.3253371e+07    2.6664309e+07
1.1900000e+03    1.3241510e+07    2.6559835e+07
1.2000000e+03    1.3229649e+07    2.6455361e+07
1.2100000e+03    1.3218324e+07    2.6353765e+07
1.2200000e+03    1.3207359e+07    2.6254150e+07
1.2300000e+03    1.3197220e+07    2.6158524e+07
1.2400000e+03    1.3188091e+07    2.6067634e+07
1.2500000e+03    1.3179562e+07    2.5978752e+07
1.2600000e+03    1.3171681e+07    2.5891829e+07
1.2700000e+03    1.3164053e+07    2.5805683e+07
1.2800000e+03    1.3156426e+07    2.5719538e+07
1.2900000e+03    1.3148798e+07    2.5633392e+07
1.3000000e+03    1.3141171e+07    2.5547246e+07
1.3100000e+03    1.3133544e+07    2.5461100e+07
1.3200000e+03    1.3125916e+07    2.5374954e+07
1.3300000e+03    1.3118289e+07    2.5288808e+07
1.3400000e+03    1.3110662e+07    2.5202663e+07
1.3500000e+03    1.3103034e+07    2.5116517e+07
1.3600000e+03    1.3095407e+07    2.5030371e+07
1.3700000e+03    1.3087780e+07    2.4944225e+07
1.3800000e+03    1.3080152e+07    2.4858079e+07
1.3900000e+03    1.3072525e+07    2.4771933e+07
1.4000000e+03    1.3064898e+07    2.4685788e+07
1.4100000e+03    1.3057270e+07    2.4599642e+07
1.4200000e+03    1.3049643e+07    2.4513496e+07
1.4300000e+03    1.3042016e+07    2.4427350e+07
1.4400000e+03    1.3034388e+07    2.4341204e+07
1.4500000e+03    1.3026761e+07    2.4255058e+07
1.4600000e+03    1.3019134e+07    2.4168913e+07
1.4700000e+03    1.3011506e+07    2.4082767e+07
1.4800000e+03    1.3003879e+07    2.3996621e+07
1.4900000e+03    1.2996252e+07    2.3910475e+07
1.5000000e+03    1.2988624e+07    2.3824329e+07
1.5100000e+03    1.2980997e+07    2.3738183e+07
1.5200000e+03    1.2973370e+07    2.3652038e+07
1.5300000e+03    1.2965742e+07    2.3565892e+07
1.5400000e+03    1.2958115e+07    2.3479746e+07
1.5500000e+03    1.2950488e+07    2.3393600e+07
1.5600000e+03    1.2942860e+07    2.3307454e+07
1.5700000e+03    1.2935233e+07    2.3221308e+07
1.5800000e+03    1.2927606e+07    2.3135163e+07
1.5900000e+03    1.2919978e+07    2.3049017e+07
1.6000000e+03    1.2912351e+07    2.2962871e+07
1.6100000e+03    1.2904724e+07    2.2876725e+07
1.6200000e+03    1.2897096e+07    2.2790579e+07
1.6300000e+03    1.2885558e+07    2.2734923e+07
1.6400000e+03    1.2873624e+07    2.2682501e+07
1.6500000e+03    1.2861686e+07    2.2630455e+07
1.6600000e+03    1.2850726e+07    2.2592433e+07
1.6700000e+03    1.2840245e+07    2.2561265e+07
1.6800000e+03    1.2829764e+07    2.2530097e+07
1.6900000e+03    1.2819283e+07    2.2498929e+07
1.7000000e+03    1.2808801e+07    2.2467761e+07
1.7100000e+03    1.2798320e+07    2.2436593e+07
1.7200000e+03    1.2787839e+07    2.2405425e+07
1.7300000e+03    1.2777357e+07    2.2374257e+07
1.7400000e+03    1.2766876e+07    2.2343088e+07
1.7500000e+03    1.2756395e+07    2.2311920e+07
1.7600000e+03    1.2745914e+07    2.2280752e+07
1.7700000e+03    1.2735432e+07    2.2249584e+07
1.7800000e+03    1.2724951e+07    2.2218416e+07
1.7900000e+03    1.2714470e+07    2.2187248e+07
1.8000000e+03    1.2703988e+07    2.2156080e+07
1.8100000e+03    1.2693507e+07    2.2124912e+07
1.8200000e+03    1.2683026e+07    2.2093744e+07
1.8300000e+03    1.2672544e+07    2.2062576e+07
1.8400000e+03    1.2662063e+07    2.2031408e+07
1.8500000e+03    1.2651582e+07    2.2000240e+07
1.8600000e+03    1.2641101e+07    2.1969071e+07
1.8700000e+03    1.2630619e+07    2.1937903e+07
1.8800000e+03    1.2620138e+07    2.1906735e+07
1.8900000e+03    1.2609657e+07    2.1875567e+07
1.9000000e+03    1.2599175e+07    2.1844399e+07
1.9100000e+03    1.2588694e+07    2.1813231e+07
1.9200000e+03    1.2578213e+07    2.1782063e+07
1.9300000e+03    1.2567732e+07    2.1750895e+07
1.9400000e+03    1.2557250e+07    2.1719727e+07
1.9500000e+03    1.2546769e+07    2.1688559e+07
1.9600000e+03    1.2536288e+07    2.1657391e+07
1.9700000e+03    1.2525806e+07    2.1626223e+07
1.9800000e+03    1.2515325e+07    2.1595054e+07
1.9900000e+03    1.2504844e+07    2.1563886e+07
2.0000000e+03    1.2494362e+07    2.1532718e+07
2.0100000e+03    1.2483881e+07    2.1501550e+07
2.0200000e+03    1.2473400e+07    2.1470382e+07
2.0300000e+03    1.2462919e+07    2.1439214e+07
2.0400000e+03    1.2452437e+07    2.1408046e+07
2.0500000e+03    1.2441956e+07    2.1376878e+07
2.0600000e+03    1.2431475e+07    2.1345710e+07
2.0700000e+03    1.2420993e+07    2.1314542e+07
2.0800000e+03    1.2410512e+07    2.1283374e+07
2.0900000e+03    1.2400031e+07    2.1252206e+07
2.1000000e+03    1.2389550e+07    2.1221037e+07
2.1100000e+03    1.2379068e+07    2.1189869e+07
2.1200000e+03    1.2368587e+07    2.1158701e+07
2.1300000e+03    1.2358106e+07    2.1127533e+07
2.1400000e+03    1.2347624e+07    2.1096365e+07
2.1500000e+03    1.2337143e+07    2.1065197e+07
2.1600000e+03    1.2326662e+07    2.1034029e+07
2.1700000e+03    1.2316180e+07    2.1002861e+07
2.1800000e+03    1.2305699e+07    2.0971693e+07
