# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
1.1700000e+00    6.5490925e-01    6.5505949e-01
1.1800000e+00    6.5751490e-01    6.5766514e-01
1.1900000e+00    6.6012055e-01    6.6027080e-01
1.2000000e+00    6.6272621e-01    6.6287645e-01
1.2100000e+00    6.6533186e-01    6.6548210e-01
1.2200000e+00    6.6793752e-01    6.6808776e-01
1.2300000e+00    6.7054317e-01    6.7069341e-01
1.2400000e+00    6.7314882e-01    6.7329906e-01
1.2500000e+00    6.7575448e-01    6.7590471e-01
1.2600000e+00    6.7836013e-01    6.7851037e-01
1.2700000e+00    6.8096579e-01    6.8111602e-01
1.2800000e+00    6.8357144e-01    6.8372167e-01
1.2900000e+00    6.8617709e-01    6.8632733e-01
1.3000000e+00    6.8878275e-01    6.8893298e-01
1.3100000e+00    6.9138840e-01    6.9153863e-01
1.3200000e+00    6.9399406e-01    6.9414429e-01
1.3300000e+00    6.9659971e-01    6.9674994e-01
1.3400000e+00    6.9920536e-01    6.9935559e-01
1.3500000e+00    7.0181102e-01    7.0196124e-01
1.3600000e+00    7.0441667e-01    7.0456690e-01
1.3700000e+00    7.0702232e-01    7.0717255e-01
1.3800000e+00    7.0962798e-01    7.0977820e-01
1.3900000e+00    7.1223363e-01    7.1238386e-01
1.4000000e+00    7.1483929e-01    7.1498951e-01
1.4100000e+00    7.1744494e-01    7.1759516e-01
1.4200000e+00    7.2005059e-01    7.2020082e-01
1.4300000e+00    7.2265625e-01    7.2280647e-01
1.4400000e+00    7.2526190e-01    7.2541212e-01
1.4500000e+00    7.2786756e-01    7.2801777e-01
1.4600000e+00    7.3047321e-01    7.3062343e-01
1.4700000e+00    7.3307886e-01    7.3322908e-01
1.4800000e+00    7.3568452e-01    7.3583473e-01
1.4900000e+00    7.3829017e-01    7.3844039e-01
1.5000000e+00    7.4089583e-01    7.4104604e-01
1.5100000e+00    7.4350148e-01    7.4365169e-01
1.5200000e+00    7.4610713e-01    7.4625735e-01
1.5300000e+00    7.4871279e-01    7.4886300e-01
1.5400000e+00    7.5131844e-01    7.5146865e-01
1.5500000e+00    7.5392410e-01    7.5407430e-01
1.5600000e+00    7.5652975e-01    7.5667996e-01
1.5700000e+00    7.5913540e-01    7.5928561e-01
1.5800000e+00    7.6174106e-01    7.6189126e-01
1.5900000e+00    7.6434671e-01    7.6449692e-01
1.6000000e+00    7.6695237e-01    7.6710257e-01
1.6100000e+00    7.6955802e-01    7.6970822e-01
1.6200000e+00    7.7216367e-01    7.7231388e-01
1.6300000e+00    7.7476933e-01    7.7491953e-01
1.6400000e+00    7.7737498e-01    7.7752518e-01
1.6500000e+00    7.7998064e-01    7.8013083e-01
1.6600000e+00    7.8258629e-01    7.8273649e-01
1.6700000e+00    7.8519194e-01    7.8534214e-01
1.6800000e+00    7.8779760e-01    7.8794779e-01
1.6900000e+00    7.9040325e-01    7.9055345e-01
1.7000000e+00    7.9300891e-01    7.9315910e-01
1.7100000e+00    7.9561456e-01    7.9576475e-01
1.7200000e+00    7.9822021e-01    7.9837041e-01
1.7300000e+00    8.0064577e-01    8.0079594e-01
1.7400000e+00    8.0292385e-01    8.0307398e-01
1.7500000e+00    8.0518178e-01    8.0533186e-01
1.7600000e+00    8.0743352e-01    8.0758354e-01
1.7700000e+00    8.0968335e-01    8.0983333e-01
1.7800000e+00    8.1190359e-01    8.1205350e-01
1.7900000e+00    8.1411528e-01    8.1426513e-01
1.8000000e+00    8.1630014e-01    8.1644991e-01
1.8100000e+00    8.1846646e-01    8.1861615e-01
1.8200000e+00    8.2059035e-01    8.2073995e-01
1.8300000e+00    8.2270841e-01    8.2285792e-01
1.8400000e+00    8.2481979e-01    8.2496920e-01
1.8500000e+00    8.2693117e-01    8.2708048e-01
1.8600000e+00    8.2904255e-01    8.2919176e-01
1.8700000e+00    8.3115393e-01    8.3130304e-01
1.8800000e+00    8.3326531e-01    8.3341432e-01
1.8900000e+00    8.3537669e-01    8.3552560e-01
1.9000000e+00    8.3748807e-01    8.3763688e-01
1.9100000e+00    8.3959944e-01    8.3974816e-01
1.9200000e+00    8.4171082e-01    8.4185944e-01
1.9300000e+00    8.4382220e-01    8.4397072e-01
1.9400000e+00    8.4593358e-01    8.4608200e-01
1.9500000e+00    8.4804496e-01    8.4819328e-01
1.9600000e+00    8.5014947e-01    8.5029769e-01
1.9700000e+00    8.5224665e-01    8.5239476e-01
1.9800000e+00    8.5434383e-01    8.5449183e-01
1.9900000e+00    8.5644100e-01    8.5658890e-01
2.0000000e+00    8.5853309e-01    8.5868088e-01
2.0100000e+00    8.6061578e-01    8.6076346e-01
2.0200000e+00    8.6269847e-01    8.6284603e-01
2.0300000e+00    8.6476989e-01    8.6491733e-01
2.0400000e+00    8.6683790e-01    8.6698522e-01
2.0500000e+00    8.6889113e-01    8.6903833e-01
2.0600000e+00    8.7094436e-01    8.7109143e-01
2.0700000e+00    8.7299759e-01    8.7314453e-01
2.0800000e+00    8.7505082e-01    8.7519763e-01
2.0900000e+00    8.7710405e-01    8.7725073e-01
2.1000000e+00    8.7915728e-01    8.7930383e-01
2.1100000e+00    8.8121051e-01    8.8135693e-01
2.1200000e+00    8.8326374e-01    8.8341004e-01
2.1300000e+00    8.8531697e-01    8.8546314e-01
2.1400000e+00    8.8737020e-01    8.8751624e-01
2.1500000e+00    8.8942343e-01    8.8956934e-01
2.1600000e+00    8.9147666e-01    8.9162244e-01
2.1700000e+00    8.9352989e-01    8.9367554e-01
2.1800000e+00    8.9558312e-01    8.9572865e-01
2.1900000e+00    8.9761221e-01    8.9775759e-01
2.2000000e+00    8.9963747e-01    8.9978271e-01
2.2100000e+00    9.0166274e-01    9.0180783e-01
2.2200000e+00    9.0368800e-01    9.0383294e-01
2.2300000e+00    9.0570650e-01    9.0585129e-01
2.2400000e+00    9.0770323e-01    9.0784785e-01
2.2500000e+00    9.0969996e-01    9.0984442e-01
2.2600000e+00    9.1168672e-01    9.1183100e-01
2.2700000e+00    9.1365457e-01    9.1379866e-01
2.2800000e+00    9.1561175e-01    9.1575564e-01
2.2900000e+00    9.1755047e-01    9.1769416e-01
2.3000000e+00    9.1948919e-01    9.1963267e-01
2.3100000e+00    9.2142792e-01    9.2157119e-01
2.3200000e+00    9.2336664e-01    9.2350971e-01
2.3300000e+00    9.2530537e-01    9.2544822e-01
2.3400000e+00    9.2724409e-01    9.2738674e-01
2.3500000e+00    9.2918281e-01    9.2932525e-01
2.3600000e+00    9.3112154e-01    9.3126377e-01
2.3700000e+00    9.3306026e-01    9.3320229e-01
2.3800000e+00    9.3499899e-01    9.3514080e-01
2.3900000e+00    9.3693771e-01    9.3707932e-01
2.4000000e+00    9.3887643e-01    9.3901783e-01
2.4100000e+00    9.4081516e-01    9.4095635e-01
2.4200000e+00    9.4275388e-01    9.4289487e-01
2.4300000e+00    9.4469260e-01    9.4483338e-01
2.4400000e+00    9.4663133e-01    9.4677190e-01
2.4500000e+00    9.4857005e-01    9.4871041e-01
2.4600000e+00    9.5050878e-01    9.5064893e-01
2.4700000e+00    9.5244750e-01    9.5258745e-01
2.4800000e+00    9.5438622e-01    9.5452596e-01
2.4900000e+00    9.5632495e-01    9.5646448e-01
2.5000000e+00    9.5826367e-01    9.5840299e-01
2.5100000e+00    9.6020240e-01    9.6034151e-01
2.5200000e+00    9.6214112e-01    9.6228003e-01
2.5300000e+00    9.6407984e-01    9.6421854e-01
2.5400000e+00    9.6601857e-01    9.6615706e-01
2.5500000e+00    9.6795729e-01    9.6809557e-01
2.5600000e+00    9.6989601e-01    9.7003409e-01
2.5700000e+00    9.7183474e-01    9.7197261e-01
2.5800000e+00    9.7377346e-01    9.7391112e-01
2.5900000e+00    9.7571219e-01    9.7584964e-01
2.6000000e+00    9.7765091e-01    9.7778815e-01
2.6100000e+00    9.7958963e-01    9.7972667e-01
2.6200000e+00    9.8152836e-01    9.8166519e-01
2.6300000e+00    9.8346708e-01    9.8360370e-01
2.6400000e+00    9.8540581e-01    9.8554222e-01
