time [ns]	Wlong [V/pC]	Wxdip [V/(pC mm)]	Wydip [V/(pC mm)]	Wxquad [V/(pC mm)]	Wyquad [V/(pC mm)]
4.300000000000003125e-02	6.976907522887322557e+02	8.285689320595999996e-02	7.660019381448281983e-01	0.000000000000000000e+00	0.000000000000000000e+00
4.400000000000003214e-02	6.370031918328927532e+02	9.620263788072059424e-03	8.359382693183677882e-01	0.000000000000000000e+00	0.000000000000000000e+00
4.500000000000001915e-02	5.763684386150025603e+02	-6.120519178896217244e-02	9.059215771572274312e-01	0.000000000000000000e+00	0.000000000000000000e+00
4.600000000000002004e-02	5.189055443570972557e+02	-7.146123331094143827e-02	9.631527671642847732e-01	0.000000000000000000e+00	0.000000000000000000e+00
4.700000000000002787e-02	4.615884365435882728e+02	-7.997361624168566885e-02	1.019706546751609322e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.800000000000002182e-02	4.079608201619618058e+02	-6.900265399348606832e-02	1.056954010741504302e+00	0.000000000000000000e+00	0.000000000000000000e+00
4.900000000000002270e-02	3.579229709954320242e+02	-3.907496693650776287e-02	1.075416994526637859e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.000000000000003053e-02	3.083078703456581593e+02	-7.620368038335369361e-03	1.092199738533283115e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.100000000000003142e-02	2.686429400892469062e+02	5.403661252830497391e-02	1.073759675815139758e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.200000000000001843e-02	2.294809477550729184e+02	1.172234830020023877e-01	1.053996979483119656e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.300000000000001932e-02	1.962799242414168361e+02	1.986079923204767950e-01	1.027590080844966725e+00	0.000000000000000000e+00	0.000000000000000000e+00
5.400000000000002714e-02	1.692955966818134357e+02	2.989708239878104967e-01	9.942539418727697198e-01	0.000000000000000000e+00	0.000000000000000000e+00
5.500000000000000722e-02	1.426146704961078342e+02	4.003502429010049601e-01	9.610336049247061307e-01	0.000000000000000000e+00	0.000000000000000000e+00
5.600000000000004280e-02	1.285927036516737303e+02	5.460969374671232890e-01	9.424501875080001367e-01	0.000000000000000000e+00	0.000000000000000000e+00
5.700000000000002981e-02	1.148571419312250157e+02	6.928437878381540349e-01	9.243202127172435167e-01	0.000000000000000000e+00	0.000000000000000000e+00
5.800000000000003070e-02	1.073351127526535436e+02	8.611063775465653825e-01	9.221597383339811271e-01	0.000000000000000000e+00	0.000000000000000000e+00
5.900000000000003159e-02	1.056976571072355995e+02	1.049745612809094064e+00	9.351233014933367782e-01	0.000000000000000000e+00	0.000000000000000000e+00
6.000000000000003247e-02	1.045954777695150426e+02	1.239815772992592047e+00	9.494548600869291421e-01	0.000000000000000000e+00	0.000000000000000000e+00
6.100000000000001948e-02	1.133925116742922654e+02	1.451828879853022558e+00	9.890030010655671555e-01	0.000000000000000000e+00	0.000000000000000000e+00
6.200000000000002037e-02	1.226563097372642801e+02	1.664451295335243497e+00	1.029478629526348499e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.300000000000002820e-02	1.356433921012056203e+02	1.872918911177380519e+00	1.071809746914466288e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.400000000000004297e-02	1.526222877155649087e+02	2.076932076878735156e+00	1.116130173917104562e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.500000000000001610e-02	1.696766944776415755e+02	2.280554713297702651e+00	1.160275547229536075e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.600000000000001699e-02	1.912457545470866478e+02	2.442158260164311478e+00	1.180989480092620392e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.700000000000003175e-02	2.128556208099021774e+02	2.603197418250827511e+00	1.201375012127918529e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.800000000000001876e-02	2.349959085359326139e+02	2.730647520723021859e+00	1.200907226751166235e+00	0.000000000000000000e+00	0.000000000000000000e+00
6.900000000000001965e-02	2.576252446732224826e+02	2.827128525195915731e+00	1.181212689720173792e+00	0.000000000000000000e+00	0.000000000000000000e+00
7.000000000000003442e-02	2.801912866169068366e+02	2.920162038886637390e+00	1.159566732614578877e+00	0.000000000000000000e+00	0.000000000000000000e+00
7.100000000000002143e-02	3.004955669169731891e+02	2.946952663305995035e+00	1.102102252184011366e+00	0.000000000000000000e+00	0.000000000000000000e+00
7.200000000000002232e-02	3.206280932952586795e+02	2.970398318032463347e+00	1.043059095634472522e+00	0.000000000000000000e+00	0.000000000000000000e+00
7.300000000000003708e-02	3.382000048413489708e+02	2.966142111167808348e+00	9.754911533740998619e-01	0.000000000000000000e+00	0.000000000000000000e+00
7.400000000000002409e-02	3.529503459369196321e+02	2.931360909648571322e+00	8.985296533084283777e-01	0.000000000000000000e+00	0.000000000000000000e+00
7.500000000000002498e-02	3.676947847339560553e+02	2.896525377049691929e+00	8.215556929118801310e-01	0.000000000000000000e+00	0.000000000000000000e+00
7.600000000000003975e-02	3.745888570780113582e+02	2.822453183647033903e+00	7.529439161569505545e-01	0.000000000000000000e+00	0.000000000000000000e+00
7.700000000000002676e-02	3.814721107126993047e+02	2.748351568441094184e+00	6.843610915389324312e-01	0.000000000000000000e+00	0.000000000000000000e+00
7.800000000000002764e-02	3.835420211003732334e+02	2.663113936640066903e+00	6.300408226005620449e-01	0.000000000000000000e+00	0.000000000000000000e+00
7.900000000000004241e-02	3.812381815885805736e+02	2.567757319143598060e+00	5.886805376617845198e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000001554e-02	3.784512251747032678e+02	2.471589843420999077e+00	5.488113707161985655e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.100000000000001643e-02	3.664574152523555313e+02	2.362751023572944309e+00	5.378987477250639637e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.200000000000003120e-02	3.539814286826087937e+02	2.253208362724712810e+00	5.283264745623931224e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.300000000000001821e-02	3.370995696596527296e+02	2.136456888680439814e+00	5.275968266808765961e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.400000000000001910e-02	3.154450680480888991e+02	2.011896498411649414e+00	5.364459150085355565e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.500000000000003386e-02	2.936904942599538799e+02	1.887104788627716578e+00	5.453593890942489697e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.600000000000002087e-02	2.641310184978313487e+02	1.741734722383910583e+00	5.541716836260638379e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.700000000000002176e-02	2.344752042314112259e+02	1.596074777444917769e+00	5.629130942064095589e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.800000000000003653e-02	2.019130140748513327e+02	1.439129610929411829e+00	5.645854399233491971e-01	0.000000000000000000e+00	0.000000000000000000e+00
8.900000000000002354e-02	1.666364668040913841e+02	1.271644816152366575e+00	5.596557605644694178e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.000000000000002442e-02	1.311713201813499836e+02	1.103347075219599516e+00	5.540246392999506053e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.100000000000003919e-02	9.290167482838546675e+01	9.217995286287159473e-01	5.344674993352479531e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.200000000000002620e-02	5.453672553697784053e+01	7.398433913958969432e-01	5.143888903328046602e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.300000000000002709e-02	1.618701020202784591e+01	5.592138386949250251e-01	4.929339113210044476e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.400000000000004186e-02	-2.214663980565726575e+01	3.799832669021470655e-01	4.700274489615129947e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.500000000000002887e-02	-6.043231144398683341e+01	2.011207486208538009e-01	4.473255773846635530e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.600000000000002975e-02	-9.575544792087053736e+01	4.385697643283745228e-02	4.386000844322363035e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.700000000000003064e-02	-1.309817927772545829e+02	-1.127536024022204458e-01	4.303249325123643665e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.800000000000001765e-02	-1.633155165776252318e+02	-2.513704584613364879e-01	4.353251097875466269e-01	0.000000000000000000e+00	0.000000000000000000e+00
9.900000000000001854e-02	-1.928720116392507293e+02	-3.727113965771757798e-01	4.530710373833629068e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000056e-01	-2.221034666399026207e+02	-4.923674100708984036e-01	4.720000572700417396e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.010000000000000064e-01	-2.437750906582316759e+02	-5.757227244762315177e-01	5.158011409412061044e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.019999999999999934e-01	-2.650709311248737095e+02	-6.575094475059888310e-01	5.605796298789953447e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.029999999999999943e-01	-2.817679162643838708e+02	-7.250586668373916188e-01	6.118751043234110787e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.039999999999999952e-01	-2.937442650760095830e+02	-7.779933631223374668e-01	6.698601387404694574e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.049999999999999961e-01	-3.054023249158280464e+02	-8.303142057234806916e-01	7.278688375800289601e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.059999999999999970e-01	-3.072525239395143331e+02	-8.687868554553456191e-01	7.807777276362946051e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.069999999999999979e-01	-3.087684102205740260e+02	-9.069368450179277064e-01	8.333406682676642863e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.079999999999999988e-01	-3.053391910908943601e+02	-9.446023307619813014e-01	8.758451884047794289e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.089999999999999997e-01	-2.970284138151573643e+02	-9.817895388230245546e-01	9.084205441608957932e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.100000000000000006e-01	-2.883473253664683966e+02	-1.019091521620104857e+00	9.400796113938000298e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.110000000000000014e-01	-2.710653023334309637e+02	-1.061068900415155891e+00	9.482873118674987056e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.120000000000000023e-01	-2.534556257020288967e+02	-1.103200749188011587e+00	9.556380780446398493e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.130000000000000032e-01	-2.322618858762095329e+02	-1.146361969923482160e+00	9.546332818439406953e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.140000000000000041e-01	-2.074874873238219664e+02	-1.190551584826701648e+00	9.452808601377591380e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.150000000000000050e-01	-1.824863578102520592e+02	-1.234619056236156753e+00	9.356258897167736288e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.160000000000000059e-01	-1.526696343965676590e+02	-1.273309201509509769e+00	9.229042883653599816e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.170000000000000068e-01	-1.226859401904166162e+02	-1.311684564280889420e+00	9.102110606867154230e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.179999999999999938e-01	-9.150028658802067127e+01	-1.344124072220965971e+00	9.015740377003890194e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.189999999999999947e-01	-5.909464950805553229e+01	-1.370538713724777313e+00	8.970540445600541091e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.199999999999999956e-01	-2.666589301706102333e+01	-1.396545982434809208e+00	8.928605614628544185e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.209999999999999964e-01	5.561286396602300286e+00	-1.410273158888768696e+00	8.992380830965062133e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.219999999999999973e-01	3.775633551869732685e+01	-1.423662739361415852e+00	9.058854260014008730e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.229999999999999982e-01	6.858583953416668066e+01	-1.433777192987605753e+00	9.143263968772482597e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.239999999999999991e-01	9.808754814699071289e+01	-1.440707058755750891e+00	9.245114119156723209e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.250000000000000000e-01	1.274015172666023403e+02	-1.447620253062420703e+00	9.344806787997633757e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.260000000000000009e-01	1.520567123083084766e+02	-1.457057207567067803e+00	9.359639800556426303e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.270000000000000018e-01	1.764641413008109510e+02	-1.466715128236491195e+00	9.368887562237133704e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.280000000000000027e-01	1.977115070290901713e+02	-1.480818271999802427e+00	9.286790258425539069e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.290000000000000036e-01	2.156611058403819925e+02	-1.499560344932277856e+00	9.109367415277946911e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.300000000000000044e-01	2.334408828386767141e+02	-1.518510961795539016e+00	8.927279347159527978e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.310000000000000053e-01	2.438345664614058990e+02	-1.545910052802429879e+00	8.547278735718463194e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.320000000000000062e-01	2.540581865158431185e+02	-1.573443205146907165e+00	8.163374985770996961e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.330000000000000071e-01	2.603105365524543799e+02	-1.601123412328324003e+00	7.720585743282478708e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.340000000000000913e-01	2.628042309042609190e+02	-1.628942801307491361e+00	7.222063626864236863e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.350000000000000921e-01	2.649316206036748440e+02	-1.656371674373585012e+00	6.722488866966919163e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.360000000000000098e-01	2.600395327535130718e+02	-1.672281499447910269e+00	6.246474877501905221e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.370000000000000107e-01	2.548018684885133780e+02	-1.687420150065157332e+00	5.773691102707493306e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.380000000000000115e-01	2.465119162430023607e+02	-1.691604579041905421e+00	5.371465473371431765e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.390000000000000124e-01	2.349474333415166711e+02	-1.684037189444471450e+00	5.044935457246677579e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.400000000000000133e-01	2.233130741334217362e+02	-1.676141325906688850e+00	4.720656209497784972e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.409999999999999865e-01	2.068374209480814159e+02	-1.641271270093403345e+00	4.586802697729145950e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.419999999999999873e-01	1.903128813151677718e+02	-1.606107677221687569e+00	4.454942196152151812e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.429999999999999882e-01	1.722377729274517435e+02	-1.558923227243863563e+00	4.395279982006377040e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.439999999999999891e-01	1.527339325391237139e+02	-1.500662465321144445e+00	4.402143036945175281e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.449999999999999900e-01	1.331461916904694647e+02	-1.441535175141816394e+00	4.412351574626762751e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.459999999999999909e-01	1.126151992611052890e+02	-1.369026766447553722e+00	4.450721595635657168e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.469999999999999918e-01	9.206683486584603315e+01	-1.295962062820513072e+00	4.488866575697435524e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.479999999999999927e-01	7.197327531485144902e+01	-1.220658432982853592e+00	4.492573666105599828e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.489999999999999936e-01	5.238118985283585261e+01	-1.142886132252920683e+00	4.458309064812620570e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.499999999999999944e-01	3.279089912569303067e+01	-1.065110819375444606e+00	4.423948138975194455e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.509999999999999953e-01	1.592942577645424329e+01	-9.878885282552422042e-01	4.278012606741016244e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.519999999999999962e-01	-9.264575967576940130e-01	-9.106666795238449463e-01	4.131958938324984953e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.529999999999999971e-01	-1.566638896429259198e+01	-8.335456198847179810e-01	3.951849369727817862e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.539999999999999980e-01	-2.848238742856665695e+01	-7.565162028960518148e-01	3.740774416881544329e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.549999999999999989e-01	-4.106366225949533089e+01	-6.793666287798525438e-01	3.529637916431871969e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.559999999999999998e-01	-4.896721677272605433e+01	-5.987447608137160815e-01	3.347769881411344906e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.570000000000000007e-01	-5.661588341714539041e+01	-5.178859191703526488e-01	3.168929674322022438e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.580000000000000016e-01	-6.173953983307946913e+01	-4.337917529920278237e-01	3.046716083550272125e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.590000000000000024e-01	-6.412969720395943796e+01	-3.461951231696294706e-01	2.985804740154270331e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000033e-01	-6.645574239735991284e+01	-2.585265587542857069e-01	2.926595130134059253e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.610000000000000042e-01	-6.369403066593496732e+01	-1.654941080850987067e-01	3.011336507141947338e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.620000000000000051e-01	-6.086442001044542138e+01	-7.242207305954621865e-02	3.097823209628166041e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.630000000000000060e-01	-5.576135290602840655e+01	1.987203599686872268e-02	3.231194610000906464e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.640000000000000902e-01	-4.853366445706437560e+01	1.114391471286884927e-01	3.408381333907455346e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.650000000000000910e-01	-4.112462613925168142e+01	2.026088836606523835e-01	3.586673385076392107e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.660000000000000087e-01	-3.052560723560343448e+01	2.828576804703932801e-01	3.753522496892585658e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.670000000000000095e-01	-1.978546306122980170e+01	3.624125290378003017e-01	3.918236561700135234e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.680000000000000104e-01	-8.071032122301598832e+00	4.322736822268792856e-01	4.030328024981709722e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.690000000000000113e-01	4.670209181499889617e+00	4.919185548981692135e-01	4.086960013025295879e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.700000000000000122e-01	1.743513312436031981e+01	5.510447435230541036e-01	4.140436489084596272e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.710000000000000131e-01	3.074604059626225450e+01	5.873517208399655631e-01	4.049164335627066236e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.719999999999999862e-01	4.405823784503207463e+01	6.231184846839034064e-01	3.954600074454759917e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.729999999999999871e-01	5.692625670791187531e+01	6.490224142588471024e-01	3.805342154617469275e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.739999999999999880e-01	6.936753982010847608e+01	6.654508175233668776e-01	3.603538365357484841e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.749999999999999889e-01	8.173126451959774386e+01	6.812532789263631150e-01	3.399592476045156797e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.759999999999999898e-01	9.204826621092831829e+01	6.865864476009680972e-01	3.179995422316971299e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.769999999999999907e-01	1.022554494814267372e+02	6.915655440233294815e-01	2.961014110310695169e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.779999999999999916e-01	1.109388678934263623e+02	6.956786086919029000e-01	2.778940456531928671e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.789999999999999925e-01	1.180591601979705274e+02	6.989032706419398000e-01	2.634727843990922191e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.799999999999999933e-01	1.250651443955681117e+02	7.021963327132060284e-01	2.493878246284301492e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.809999999999999942e-01	1.284585609375081106e+02	7.093293340012157833e-01	2.466791251859239142e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.819999999999999951e-01	1.317252719321651568e+02	7.165999502180451231e-01	2.443298320361781961e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.829999999999999960e-01	1.330475063669273084e+02	7.260643760396781055e-01	2.463908252584365299e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.839999999999999969e-01	1.324490033382028287e+02	7.376958283923800153e-01	2.528082619741274795e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.849999999999999978e-01	1.317013237173890161e+02	7.494094199210016294e-01	2.593729405331042792e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.859999999999999987e-01	1.274211522188821135e+02	7.619481638771146148e-01	2.669404752348976673e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.869999999999999996e-01	1.230058921650570625e+02	7.744677786721811952e-01	2.744477516624675428e-01	0.000000000000000000e+00	0.000000000000000000e+00
1.880000000000000004e-01	1.170766554540039976e+02	7.853620553349470734e-01	2.785346136441026466e-01	0.000000000000000000e+00	0.000000000000000000e+00
