# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
9.3600000e+04    1.1587492e+07    2.0135346e+07
9.4400000e+04    1.1567684e+07    2.0076071e+07
9.5200000e+04    1.1548037e+07    2.0017016e+07
9.6000000e+04    1.1528389e+07    1.9957961e+07
9.6800000e+04    1.1508742e+07    1.9898906e+07
9.7600000e+04    1.1489095e+07    1.9839851e+07
9.8400000e+04    1.1469447e+07    1.9780796e+07
9.9200000e+04    1.1449800e+07    1.9721741e+07
1.0000000e+05    1.1430333e+07    1.9662939e+07
1.0080000e+05    1.1410869e+07    1.9604142e+07
1.0160000e+05    1.1391404e+07    1.9545345e+07
1.0240000e+05    1.1371940e+07    1.9486547e+07
1.0320000e+05    1.1352476e+07    1.9427750e+07
1.0400000e+05    1.1333028e+07    1.9369122e+07
1.0480000e+05    1.1313610e+07    1.9310800e+07
1.0560000e+05    1.1294192e+07    1.9252478e+07
1.0640000e+05    1.1274774e+07    1.9194156e+07
1.0720000e+05    1.1255355e+07    1.9135834e+07
1.0800000e+05    1.1235937e+07    1.9077513e+07
1.0880000e+05    1.1216519e+07    1.9019191e+07
1.0960000e+05    1.1197668e+07    1.8961715e+07
1.1040000e+05    1.1179326e+07    1.8904996e+07
1.1120000e+05    1.1160983e+07    1.8848278e+07
1.1200000e+05    1.1142641e+07    1.8791560e+07
1.1280000e+05    1.1124300e+07    1.8734843e+07
1.1360000e+05    1.1105962e+07    1.8678129e+07
1.1440000e+05    1.1087623e+07    1.8621415e+07
1.1520000e+05    1.1069285e+07    1.8564701e+07
1.1600000e+05    1.1050947e+07    1.8507987e+07
1.1680000e+05    1.1032608e+07    1.8451273e+07
1.1760000e+05    1.1014270e+07    1.8394559e+07
1.1840000e+05    1.0995931e+07    1.8337845e+07
1.1920000e+05    1.0977593e+07    1.8281131e+07
1.2000000e+05    1.0959255e+07    1.8224417e+07
1.2080000e+05    1.0940916e+07    1.8167703e+07
1.2160000e+05    1.0922578e+07    1.8110989e+07
1.2240000e+05    1.0904239e+07    1.8054275e+07
1.2320000e+05    1.0887985e+07    1.8000903e+07
1.2400000e+05    1.0873277e+07    1.7950010e+07
1.2480000e+05    1.0858569e+07    1.7899117e+07
1.2560000e+05    1.0843862e+07    1.7848225e+07
