# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.0000000e+00    5.7279110e-01    7.6554442e+07
1.0000000e-02    2.1121531e+06    2.2702326e+06
2.0000000e-02    1.5337840e+06    1.6154500e+06
3.0000000e-02    1.2625871e+06    1.3168554e+06
4.0000000e-02    1.0974799e+06    1.1380778e+06
5.0000000e-02    9.8793503e+05    1.0207814e+06
6.0000000e-02    9.0082747e+05    9.2775583e+05
7.0000000e-02    8.3839005e+05    8.6157505e+05
8.0000000e-02    7.8690419e+05    8.0729381e+05
9.0000000e-02    7.4131610e+05    7.5921526e+05
1.0000000e-01    7.0589378e+05    7.2210347e+05
1.1000000e-01    6.7244305e+05    6.8700385e+05
1.2000000e-01    6.4536877e+05    6.5870468e+05
1.3000000e-01    6.2111210e+05    6.3343459e+05
1.4000000e-01    5.9801969e+05    6.0934655e+05
1.5000000e-01    5.7745591e+05    5.8791545e+05
1.6000000e-01    5.6097649e+05    5.7082526e+05
1.7000000e-01    5.4462041e+05    5.5385997e+05
1.8000000e-01    5.2897950e+05    5.3761958e+05
1.9000000e-01    5.1381837e+05    5.2186868e+05
2.0000000e-01    5.0190239e+05    5.0954547e+05
2.1000000e-01    4.9001963e+05    4.9725762e+05
2.2000000e-01    4.7823494e+05    4.8507204e+05
2.3000000e-01    4.6824431e+05    4.7477007e+05
2.4000000e-01    4.5850902e+05    4.6472633e+05
2.5000000e-01    4.4887756e+05    4.5478848e+05
2.6000000e-01    4.4061946e+05    4.4627439e+05
2.7000000e-01    4.3291649e+05    4.3834037e+05
2.8000000e-01    4.2521352e+05    4.3040636e+05
2.9000000e-01    4.1751054e+05    4.2247234e+05
3.0000000e-01    4.1057417e+05    4.1534209e+05
3.1000000e-01    4.0422830e+05    4.0881959e+05
3.2000000e-01    3.9794174e+05    4.0235761e+05
3.3000000e-01    3.9168402e+05    3.9592522e+05
3.4000000e-01    3.8587708e+05    3.8995404e+05
3.5000000e-01    3.8079693e+05    3.8474161e+05
3.6000000e-01    3.7575184e+05    3.7956475e+05
