# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.0000000e+00    -1.0047066e-02    2.2432044e+07
1.0000000e-02    8.5112287e+05    9.2524322e+05
2.0000000e-02    6.1889123e+05    6.5718431e+05
3.0000000e-02    5.0965404e+05    5.3514184e+05
4.0000000e-02    4.4497558e+05    4.6416114e+05
5.0000000e-02    4.0082016e+05    4.1639791e+05
6.0000000e-02    3.6497431e+05    3.7778842e+05
7.0000000e-02    3.3958866e+05    3.5065624e+05
8.0000000e-02    3.1919948e+05    3.2898164e+05
9.0000000e-02    3.0082740e+05    3.0945288e+05
1.0000000e-01    2.8659599e+05    2.9445228e+05
1.1000000e-01    2.7261169e+05    2.7969411e+05
1.2000000e-01    2.6166018e+05    2.6817461e+05
1.3000000e-01    2.5199573e+05    2.5804703e+05
1.4000000e-01    2.4275571e+05    2.4834872e+05
1.5000000e-01    2.3433273e+05    2.3952433e+05
1.6000000e-01    2.2765588e+05    2.3257114e+05
1.7000000e-01    2.2104071e+05    2.2568038e+05
1.8000000e-01    2.1468485e+05    2.1905138e+05
1.9000000e-01    2.0824682e+05    2.1233606e+05
2.0000000e-01    2.0343034e+05    2.0733327e+05
2.1000000e-01    1.9863021e+05    2.0234790e+05
2.2000000e-01    1.9383501e+05    1.9736928e+05
2.3000000e-01    1.8990903e+05    1.9330420e+05
2.4000000e-01    1.8607611e+05    1.8933312e+05
2.5000000e-01    1.8223502e+05    1.8535296e+05
2.6000000e-01    1.7894487e+05    1.8194764e+05
2.7000000e-01    1.7576216e+05    1.7866078e+05
2.8000000e-01    1.7257945e+05    1.7537392e+05
2.9000000e-01    1.6939674e+05    1.7208706e+05
3.0000000e-01    1.6659736e+05    1.6920194e+05
3.1000000e-01    1.6409326e+05    1.6662061e+05
3.2000000e-01    1.6152985e+05    1.6397878e+05
3.3000000e-01    1.5893760e+05    1.6130735e+05
3.4000000e-01    1.5655840e+05    1.5885391e+05
3.5000000e-01    1.5454013e+05    1.5677715e+05
3.6000000e-01    1.5248680e+05    1.5466480e+05
3.7000000e-01    1.5043347e+05    1.5255246e+05
3.8000000e-01    1.4837249e+05    1.5043242e+05
3.9000000e-01    1.4631076e+05    1.4831163e+05
4.0000000e-01    1.4458100e+05    1.4653655e+05
4.1000000e-01    1.4295187e+05    1.4486348e+05
4.2000000e-01    1.4132119e+05    1.4318887e+05
4.3000000e-01    1.3967488e+05    1.4149832e+05
4.4000000e-01    1.3802626e+05    1.3980543e+05
4.5000000e-01    1.3646282e+05    1.3819846e+05
4.6000000e-01    1.3511938e+05    1.3682109e+05
4.7000000e-01    1.3378865e+05    1.3545736e+05
4.8000000e-01    1.3245219e+05    1.3408778e+05
4.9000000e-01    1.3110371e+05    1.3270604e+05
