# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.0000000e+00    3.1763584e-01    2.4399213e+07
1.0000000e+01    3.8041925e+05    2.4193197e+07
2.0000000e+01    6.0289901e+05    2.4035809e+07
3.0000000e+01    7.4331825e+05    2.3907886e+07
4.0000000e+01    8.6559315e+05    2.3785691e+07
5.0000000e+01    9.8362851e+05    2.3671239e+07
6.0000000e+01    1.0941111e+06    2.3570583e+07
7.0000000e+01    1.2005556e+06    2.3471400e+07
8.0000000e+01    1.2856760e+06    2.3383079e+07
9.0000000e+01    1.3550705e+06    2.3301945e+07
1.0000000e+02    1.4075736e+06    2.3228526e+07
1.1000000e+02    1.4600767e+06    2.3155108e+07
1.2000000e+02    1.5125798e+06    2.3081689e+07
1.3000000e+02    1.5650829e+06    2.3008271e+07
1.4000000e+02    1.6175860e+06    2.2934852e+07
1.5000000e+02    1.6698729e+06    2.2862814e+07
1.6000000e+02    1.7209256e+06    2.2798660e+07
1.7000000e+02    1.7719783e+06    2.2734505e+07
1.8000000e+02    1.8230310e+06    2.2670350e+07
1.9000000e+02    1.8740837e+06    2.2606195e+07
2.0000000e+02    1.9251364e+06    2.2542040e+07
2.1000000e+02    1.9751930e+06    2.2478149e+07
2.2000000e+02    2.0241577e+06    2.2414549e+07
2.3000000e+02    2.0702653e+06    2.2354002e+07
2.4000000e+02    2.1112485e+06    2.2298800e+07
2.5000000e+02    2.1510259e+06    2.2244556e+07
2.6000000e+02    2.1862027e+06    2.2193974e+07
2.7000000e+02    2.2207017e+06    2.2143938e+07
2.8000000e+02    2.2546784e+06    2.2094339e+07
2.9000000e+02    2.2883132e+06    2.2045026e+07
3.0000000e+02    2.3080742e+06    2.2005554e+07
3.1000000e+02    2.3269266e+06    2.1966465e+07
3.2000000e+02    2.3457790e+06    2.1927376e+07
3.3000000e+02    2.3646314e+06    2.1888286e+07
3.4000000e+02    2.3834838e+06    2.1849197e+07
3.5000000e+02    2.4023362e+06    2.1810108e+07
3.6000000e+02    2.4211885e+06    2.1771019e+07
3.7000000e+02    2.4400409e+06    2.1731930e+07
3.8000000e+02    2.4588933e+06    2.1692841e+07
3.9000000e+02    2.4777457e+06    2.1653752e+07
4.0000000e+02    2.4965981e+06    2.1614662e+07
4.1000000e+02    2.5154505e+06    2.1575573e+07
4.2000000e+02    2.5343029e+06    2.1536484e+07
4.3000000e+02    2.5534209e+06    2.1499201e+07
4.4000000e+02    2.5727091e+06    2.1463075e+07
4.5000000e+02    2.5919973e+06    2.1426949e+07
4.6000000e+02    2.6112855e+06    2.1390822e+07
4.7000000e+02    2.6305736e+06    2.1354696e+07
4.8000000e+02    2.6498618e+06    2.1318570e+07
4.9000000e+02    2.6691500e+06    2.1282444e+07
5.0000000e+02    2.6884382e+06    2.1246318e+07
5.1000000e+02    2.7077264e+06    2.1210192e+07
5.2000000e+02    2.7270145e+06    2.1174066e+07
5.3000000e+02    2.7463027e+06    2.1137939e+07
5.4000000e+02    2.7655909e+06    2.1101813e+07
5.5000000e+02    2.7848791e+06    2.1065687e+07
5.6000000e+02    2.8041673e+06    2.1029561e+07
5.7000000e+02    2.8234554e+06    2.0993435e+07
5.8000000e+02    2.8427436e+06    2.0957309e+07
5.9000000e+02    2.8620318e+06    2.0921182e+07
6.0000000e+02    2.8810121e+06    2.0885209e+07
6.1000000e+02    2.8987849e+06    2.0849836e+07
6.2000000e+02    2.9165576e+06    2.0814464e+07
6.3000000e+02    2.9343304e+06    2.0779091e+07
6.4000000e+02    2.9521032e+06    2.0743718e+07
6.5000000e+02    2.9698760e+06    2.0708345e+07
6.6000000e+02    2.9876487e+06    2.0672972e+07
6.7000000e+02    3.0038202e+06    2.0641245e+07
6.8000000e+02    3.0196788e+06    2.0610230e+07
6.9000000e+02    3.0353983e+06    2.0579491e+07
7.0000000e+02    3.0505377e+06    2.0549903e+07
7.1000000e+02    3.0656771e+06    2.0520315e+07
7.2000000e+02    3.0806162e+06    2.0490791e+07
7.3000000e+02    3.0954912e+06    2.0461289e+07
7.4000000e+02    3.1103663e+06    2.0431786e+07
7.5000000e+02    3.1236088e+06    2.0404844e+07
7.6000000e+02    3.1365217e+06    2.0378418e+07
7.7000000e+02    3.1494345e+06    2.0351992e+07
7.8000000e+02    3.1623474e+06    2.0325566e+07
7.9000000e+02    3.1752603e+06    2.0299140e+07
8.0000000e+02    3.1881732e+06    2.0272714e+07
8.1000000e+02    3.2010861e+06    2.0246288e+07
8.2000000e+02    3.2137425e+06    2.0220216e+07
8.3000000e+02    3.2262894e+06    2.0194295e+07
8.4000000e+02    3.2388362e+06    2.0168374e+07
8.5000000e+02    3.2513831e+06    2.0142452e+07
8.6000000e+02    3.2639299e+06    2.0116531e+07
8.7000000e+02    3.2731915e+06    2.0094588e+07
8.8000000e+02    3.2789776e+06    2.0076176e+07
8.9000000e+02    3.2841852e+06    2.0057984e+07
9.0000000e+02    3.2893928e+06    2.0039792e+07
