# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
1.1700000e+03    1.1686611e+07    6.1968183e+07
1.1800000e+03    1.1704595e+07    6.1908924e+07
1.1900000e+03    1.1722579e+07    6.1849664e+07
1.2000000e+03    1.1740563e+07    6.1790405e+07
1.2100000e+03    1.1758547e+07    6.1731146e+07
1.2200000e+03    1.1776568e+07    6.1672003e+07
1.2300000e+03    1.1794590e+07    6.1612862e+07
1.2400000e+03    1.1812629e+07    6.1553757e+07
1.2500000e+03    1.1830677e+07    6.1494674e+07
1.2600000e+03    1.1848726e+07    6.1435590e+07
1.2700000e+03    1.1866775e+07    6.1376507e+07
1.2800000e+03    1.1884824e+07    6.1317424e+07
1.2900000e+03    1.1902873e+07    6.1258340e+07
1.3000000e+03    1.1920922e+07    6.1199257e+07
1.3100000e+03    1.1938971e+07    6.1140173e+07
1.3200000e+03    1.1957019e+07    6.1081090e+07
1.3300000e+03    1.1975068e+07    6.1022007e+07
1.3400000e+03    1.1993117e+07    6.0962923e+07
1.3500000e+03    1.2011166e+07    6.0903840e+07
1.3600000e+03    1.2029215e+07    6.0844757e+07
1.3700000e+03    1.2047264e+07    6.0785673e+07
1.3800000e+03    1.2065313e+07    6.0726590e+07
1.3900000e+03    1.2083361e+07    6.0667507e+07
1.4000000e+03    1.2101410e+07    6.0608423e+07
1.4100000e+03    1.2119459e+07    6.0549340e+07
1.4200000e+03    1.2137508e+07    6.0490256e+07
1.4300000e+03    1.2155557e+07    6.0431173e+07
1.4400000e+03    1.2173606e+07    6.0372090e+07
1.4500000e+03    1.2191655e+07    6.0313006e+07
1.4600000e+03    1.2209704e+07    6.0253923e+07
1.4700000e+03    1.2227752e+07    6.0194840e+07
1.4800000e+03    1.2245801e+07    6.0135756e+07
1.4900000e+03    1.2263850e+07    6.0076673e+07
1.5000000e+03    1.2281899e+07    6.0017589e+07
1.5100000e+03    1.2299948e+07    5.9958506e+07
1.5200000e+03    1.2317997e+07    5.9899423e+07
1.5300000e+03    1.2336046e+07    5.9840339e+07
1.5400000e+03    1.2354094e+07    5.9781256e+07
1.5500000e+03    1.2372143e+07    5.9722173e+07
1.5600000e+03    1.2390192e+07    5.9663089e+07
1.5700000e+03    1.2408241e+07    5.9604006e+07
1.5800000e+03    1.2426290e+07    5.9544922e+07
1.5900000e+03    1.2444339e+07    5.9485839e+07
1.6000000e+03    1.2462388e+07    5.9426756e+07
1.6100000e+03    1.2480436e+07    5.9367672e+07
1.6200000e+03    1.2498485e+07    5.9308589e+07
1.6300000e+03    1.2516534e+07    5.9249506e+07
1.6400000e+03    1.2534583e+07    5.9190422e+07
1.6500000e+03    1.2552632e+07    5.9131339e+07
1.6600000e+03    1.2570681e+07    5.9072256e+07
