# This wake function is calculated with resonator para. from IDDEFIX fitting.
# bunch sigma is 0.4 mm.
# "s [mm]"	"Wake potential [V/pC/m]"
7.681536307261452201e+00	1.039392373763519256e-01
7.721544308861772343e+00	1.028142590208721979e-01
7.761552310462092485e+00	1.016878855416525201e-01
7.801560312062413516e+00	1.005604201197730502e-01
7.841568313662732770e+00	9.943216277179675600e-02
7.881576315263052912e+00	9.830341026179545416e-02
7.921584316863373054e+00	9.717445601527618937e-02
7.961592318463693196e+00	9.604559003503464198e-02
8.001600320064012450e+00	9.491709881896036316e-02
8.041608321664332593e+00	9.378926527981909511e-02
8.081616323264652735e+00	9.266236866703603248e-02
8.121624324864972877e+00	9.153668449050179901e-02
8.161632326465293019e+00	9.041248444642394078e-02
8.201640328065613161e+00	8.929003634524332322e-02
8.241648329665933304e+00	8.816960404163619314e-02
8.281656331266253446e+00	8.705144736661929450e-02
8.321664332866573588e+00	8.593582206177674543e-02
8.361672334466891954e+00	8.482297971562424710e-02
8.401680336067213872e+00	8.371316770212607061e-02
8.441688337667534014e+00	8.260662912138085068e-02
8.481696339267854157e+00	8.150360274248670545e-02
8.521704340868174299e+00	8.040432294860078155e-02
8.561712342468494441e+00	7.930901968420299430e-02
8.601720344068812807e+00	7.821791840457452405e-02
8.641728345669132949e+00	7.713124002750039454e-02
8.681736347269453091e+00	7.604920088720462656e-02
8.721744348869775010e+00	7.497201269052404526e-02
8.761752350470093376e+00	7.389988247532838783e-02
8.801760352070415294e+00	7.283301257119001448e-02
8.841768353670733660e+00	7.177160056230924567e-02
8.881776355271055579e+00	7.071583925269622761e-02
8.921784356871373944e+00	6.966591663361322573e-02
8.961792358471692310e+00	6.862201585327672160e-02
9.001800360072014229e+00	6.758431518882049294e-02
9.041808361672334371e+00	6.655298802051774765e-02
9.081816363272654513e+00	6.552820280826107679e-02
9.121824364872974655e+00	6.451012307029604931e-02
9.161832366473294798e+00	6.349890736420547854e-02
9.201840368073614940e+00	6.249470927013914268e-02
9.241848369673935082e+00	6.149767737628169390e-02
9.281856371274255224e+00	6.050795526655405876e-02
9.321864372874573590e+00	5.952568151053842793e-02
9.361872374474893732e+00	5.855098965561852248e-02
9.401880376075215651e+00	5.758400822132601210e-02
9.441888377675534016e+00	5.662486069588109489e-02
9.481896379275855935e+00	5.567366553491705922e-02
9.521904380876176077e+00	5.473053616237468638e-02
9.561912382476496219e+00	5.379558097355414265e-02
9.601920384076814585e+00	5.286890334030946992e-02
9.641928385677134727e+00	5.195060161837070783e-02
9.681936387277456646e+00	5.104076915677715348e-02
9.721944388877775012e+00	5.013949430940545932e-02
9.761952390478095154e+00	4.924686044857392447e-02
9.801960392078417073e+00	4.836294598070502160e-02
9.841968393678735438e+00	4.748782436402676499e-02
9.881976395279057357e+00	4.662156412829152746e-02
9.921984396879375723e+00	4.576422889649351539e-02
9.961992398479694089e+00	4.491587740856075456e-02
1.000200040008001601e+01	4.407656354700043022e-02
1.004200840168033615e+01	4.324633636447412777e-02
1.008201640328065629e+01	4.242524011327879901e-02
1.012202440488097643e+01	4.161331427670816874e-02
1.016203240648129658e+01	4.081059360227107247e-02
1.020204040808161672e+01	4.001710813673770711e-02
1.024204840968193686e+01	3.923288326299011197e-02
1.028205641128225700e+01	3.845793973864729959e-02
1.032206441288257537e+01	3.769229373643794012e-02
1.036207241448289551e+01	3.693595688629202484e-02
1.040208041608321743e+01	3.618893631912199066e-02
1.044208841768353579e+01	3.545123471226369755e-02
1.048209641928385771e+01	3.472285033654654712e-02
1.052210442088417786e+01	3.400377710496260003e-02
1.056211242248449622e+01	3.329400462290269674e-02
1.060212042408481636e+01	3.259351823992714947e-02
1.064212842568513651e+01	3.190229910304056421e-02
1.068213642728545665e+01	3.122032421143509928e-02
1.072214442888577679e+01	3.054756647267127187e-02
1.076215243048609693e+01	2.988399476026139603e-02
1.080216043208641707e+01	2.922957397262131510e-02
1.084216843368673722e+01	2.858426509335655966e-02
1.088217643528705914e+01	2.794802525284757755e-02
1.092218443688737750e+01	2.732080779109863355e-02
1.096219243848769587e+01	2.670256232181493841e-02
1.100220044008801779e+01	2.609323479767193532e-02
1.104220844168833793e+01	2.549276757674074495e-02
1.108221644328865807e+01	2.490109949003242729e-02
1.112222444488897821e+01	2.431816591012521747e-02
1.116223244648929835e+01	2.374389882083725867e-02
1.120224044808961850e+01	2.317822688790728905e-02
1.124224844968993864e+01	2.262107553064589271e-02
1.128225645129025878e+01	2.207236699452014630e-02
1.132226445289057715e+01	2.153202042463312274e-02
1.136227245449089729e+01	2.099995194006037610e-02
1.140228045609121921e+01	2.047607470900569479e-02
1.144228845769153757e+01	1.996029902473733450e-02
1.148229645929185949e+01	1.945253238226651513e-02
1.152230446089217963e+01	1.895267955573008700e-02
1.156231246249249800e+01	1.846064267643830054e-02
1.160232046409281992e+01	1.797632131154968185e-02
1.164232846569313828e+01	1.749961254333397970e-02
1.168233646729345665e+01	1.703041104898507171e-02
1.172234446889377857e+01	1.656860918094468782e-02
1.176235247049409871e+01	1.611409704769925164e-02
1.180236047209441885e+01	1.566676259501049301e-02
1.184236847369473900e+01	1.522649168754191401e-02
1.188237647529506091e+01	1.479316819084294625e-02
1.192238447689537928e+01	1.436667405365178382e-02
1.196239247849569765e+01	1.394688939047968555e-02
1.200240048009601956e+01	1.353369256443831201e-02
1.204240848169633793e+01	1.312696027027216751e-02
1.208241648329665985e+01	1.272656761755869802e-02
1.212242448489697999e+01	1.233238821403846198e-02
1.216243248649729836e+01	1.194429424903820439e-02
1.220244048809762027e+01	1.156215657694951993e-02
1.224244848969794042e+01	1.118584480072638832e-02
1.228245649129825878e+01	1.081522735536517670e-02
1.232246449289857892e+01	1.045017159133019603e-02
1.236247249449889907e+01	1.009054385788950292e-02
1.240248049609921921e+01	9.736209586324472490e-03
1.244248849769953935e+01	9.387033372978055915e-03
1.248249649929986127e+01	9.042879062106344568e-03
1.252250450090018141e+01	8.703609828498916345e-03
1.256251250250049978e+01	8.369088259832917556e-03
1.260252050410082170e+01	8.039176438727268365e-03
1.264252850570114006e+01	7.713736024463113509e-03
1.268253650730145843e+01	7.392628334336648691e-03
1.272254450890178035e+01	7.075714424612002118e-03
1.276255251050210049e+01	6.762855171041198474e-03
1.280256051210242063e+01	6.453911348919118968e-03
1.284256851370274077e+01	6.148743712641490007e-03
1.288257651530306269e+01	5.847213074735062299e-03
1.292258451690338106e+01	5.549180384328674699e-03
1.296259251850369942e+01	5.254506805034844276e-03
1.300260052010402134e+01	4.963053792212433930e-03
1.304260852170433971e+01	4.674683169580196029e-03
1.308261652330466163e+01	4.389257205152697489e-03
1.312262452490498177e+01	4.106638686470407557e-03
1.316263252650530013e+01	3.826690995095159264e-03
1.320264052810562205e+01	3.549278180344189564e-03
1.324264852970594220e+01	3.274265032236217329e-03
1.328265653130626056e+01	3.001517153621729040e-03
1.332266453290658070e+01	2.730901031473214214e-03
1.336267253450690085e+01	2.462284107309213078e-03
1.340268053610722099e+01	2.195534846727460569e-03
1.344268853770754113e+01	1.930522808023343818e-03
1.348269653930786305e+01	1.667118709869270556e-03
1.352270454090818141e+01	1.405194498033153581e-03
1.356271254250850156e+01	1.144623411111901677e-03
1.360272054410882347e+01	8.852800452596800177e-04
1.364272854570914006e+01	6.270404178883878885e-04
1.368273654730946021e+01	3.697820303201513692e-04
1.372274454890978213e+01	1.133839293719231782e-04
1.376275255051010049e+01	-1.422732321479440139e-04
1.380276055211042241e+01	-3.973071360494130643e-04
1.384276855371074255e+01	-6.518337404956554533e-04
1.388277655531106092e+01	-9.059672228803110306e-04
1.392278455691138284e+01	-1.159819923864702923e-03
1.396279255851170120e+01	-1.413502292591099644e-03
1.400280056011202312e+01	-1.667122833088007699e-03
1.404280856171234149e+01	-1.920788051882823004e-03
1.408281656331266163e+01	-2.174602406836547829e-03
1.412282456491298355e+01	-2.428668257214229662e-03
1.416283256651330191e+01	-2.683085815004856555e-03
1.420284056811362383e+01	-2.937953097503501025e-03
1.424284856971394397e+01	-3.193365881167472848e-03
1.428285657131426234e+01	-3.449417656758557455e-03
1.432286457291458248e+01	-3.706199585781912425e-03
1.436287257451490262e+01	-3.963800458231677391e-03
1.440288057611522277e+01	-4.222306651653883088e-03
1.444288857771554291e+01	-4.481802091534698232e-03
1.448289657931586483e+01	-4.742368213022971069e-03
1.452290458091618319e+01	-5.004083923995032712e-03
1.456291258251650333e+01	-5.267025569468697724e-03
1.460292058411682525e+01	-5.531266897373142769e-03
1.464292858571714184e+01	-5.796879025680835504e-03
1.468293658731746198e+01	-6.063930410906884401e-03
1.472294458891778390e+01	-6.332486817980555703e-03
1.476295259051810227e+01	-6.602611291493114785e-03
1.480296059211842419e+01	-6.874364128326006934e-03
1.484296859371874433e+01	-7.147802851662036876e-03
1.488297659531906270e+01	-7.422982186382115315e-03
1.492298459691938461e+01	-7.699954035849847570e-03
1.496299259851970476e+01	-7.978767460084348548e-03
1.500300060012002312e+01	-8.259468655323320627e-03
1.504300860172034326e+01	-8.542100934975807233e-03
1.508301660332066341e+01	-8.826704711963895278e-03
1.512302460492098355e+01	-9.113317482453602361e-03
1.516303260652130369e+01	-9.401973810972638970e-03
1.520304060812162561e+01	-9.692705316912970936e-03
1.524304860972194398e+01	-9.985540662416471716e-03
1.528305661132226412e+01	-1.028050554163962606e-02
1.532306461292258426e+01	-1.057762267139453552e-02
1.536307261452290440e+01	-1.087691178316164443e-02
1.540308061612322454e+01	-1.117838961646955634e-02
1.544308861772354469e+01	-1.148206991363747050e-02
1.548309661932386661e+01	-1.178796341587387553e-02
1.552310462092418497e+01	-1.209607786072571835e-02
1.556311262252450511e+01	-1.240641798087195949e-02
1.560312062412482703e+01	-1.271898550425369818e-02
1.564312862572514362e+01	-1.303377915553405840e-02
1.568313662732546554e+01	-1.335079465887934434e-02
1.572314462892578391e+01	-1.367002474205396105e-02
1.576315263052610582e+01	-1.399145914181881140e-02
1.580316063212642419e+01	-1.431508461062590623e-02
1.584316863372674611e+01	-1.464088492459734644e-02
1.588317663532706447e+01	-1.496884089278054802e-02
1.592318463692738639e+01	-1.529893036766795562e-02
1.596319263852770831e+01	-1.563112825697062641e-02
1.600320064012802490e+01	-1.596540653663504339e-02
1.604320864172834860e+01	-1.630173426509056583e-02
1.608321664332866519e+01	-1.664007759871597922e-02
1.612322464492898533e+01	-1.698039980851303102e-02
1.616323264652930547e+01	-1.732266129797377721e-02
1.620324064812962561e+01	-1.766681962212837340e-02
1.624324864972994575e+01	-1.801282950776101136e-02
1.628325665133026590e+01	-1.836064287477910673e-02
1.632326465293058604e+01	-1.871020885872206815e-02
1.636327265453090618e+01	-1.906147383439560014e-02
1.640328065613122632e+01	-1.941438144061641280e-02
1.644328865773154646e+01	-1.976887260605258295e-02
1.648329665933186661e+01	-2.012488557614437734e-02
1.652330466093218675e+01	-2.048235594108969645e-02
1.656331266253250689e+01	-2.084121666487895319e-02
1.660332066413282703e+01	-2.120139811536257343e-02
1.664332866573314718e+01	-2.156282809533567948e-02
1.668333666733346732e+01	-2.192543187462253976e-02
1.672334466893378391e+01	-2.228913222314479053e-02
1.676335267053410760e+01	-2.265384944495629424e-02
1.680336067213442774e+01	-2.301950141322674226e-02
1.684336867373474789e+01	-2.338600360615772020e-02
1.688337667533506803e+01	-2.375326914381281629e-02
1.692338467693538462e+01	-2.412120882584468939e-02
1.696339267853570831e+01	-2.448973117010017422e-02
1.700340068013602490e+01	-2.485874245208633329e-02
1.704340868173634860e+01	-2.522814674527875181e-02
1.708341668333666874e+01	-2.559784596225331277e-02
1.712342468493698888e+01	-2.596773989662384124e-02
1.716343268653730902e+01	-2.633772626576563053e-02
1.720344068813762561e+01	-2.670770075430709337e-02
1.724344868973794576e+01	-2.707755705837011639e-02
1.728345669133826590e+01	-2.744718693054011213e-02
1.732346469293858959e+01	-2.781648022554674554e-02
1.736347269453890618e+01	-2.818532494663570503e-02
1.740348069613922988e+01	-2.855360729261272046e-02
1.744348869773955002e+01	-2.892121170553997936e-02
1.748349669933987016e+01	-2.928802091906564098e-02
1.752350470094018675e+01	-2.965391600736665481e-02
1.756351270254050689e+01	-3.001877643468580867e-02
1.760352070414083059e+01	-3.038248010544272737e-02
1.764352870574114718e+01	-3.074490341489912945e-02
1.768353670734146732e+01	-3.110592130035948893e-02
1.772354470894178746e+01	-3.146540729288602178e-02
1.776355271054211116e+01	-3.182323356950898796e-02
1.780356071214242775e+01	-3.217927100591268241e-02
1.784356871374274789e+01	-3.253338922957643015e-02
1.788357671534306803e+01	-3.288545667335150691e-02
1.792358471694338462e+01	-3.323534062945415757e-02
1.796359271854371187e+01	-3.358290730385420086e-02
1.800360072014402846e+01	-3.392802187104006217e-02
1.804360872174434860e+01	-3.427054852914050709e-02
1.808361672334466874e+01	-3.461035055538268235e-02
1.812362472494498888e+01	-3.494729036186718096e-02
1.816363272654530903e+01	-3.528122955164088304e-02
1.820364072814562917e+01	-3.561202897504674864e-02
1.824364872974594931e+01	-3.593954878633202205e-02
1.828365673134626590e+01	-3.626364850049513394e-02
1.832366473294658960e+01	-3.658418705035126200e-02
1.836367273454690974e+01	-3.690102284379753739e-02
1.840368073614722988e+01	-3.721401382125887752e-02
1.844368873774755002e+01	-3.752301751329426005e-02
1.848369673934787016e+01	-3.782789109834518160e-02
1.852370474094818675e+01	-3.812849146060681704e-02
1.856371274254851045e+01	-3.842467524800231155e-02
1.860372074414883059e+01	-3.871629893024215729e-02
1.864372874574914718e+01	-3.900321885694934404e-02
1.868373674734947087e+01	-3.928529131583152756e-02
1.872374474894978746e+01	-3.956237259088154351e-02
1.876375275055011116e+01	-3.983431902058771207e-02
1.880376075215043130e+01	-4.010098705613614894e-02
1.884376875375074789e+01	-4.036223331958495308e-02
1.888377675535106803e+01	-4.061791466199494993e-02
1.892378475695138818e+01	-4.086788822149542422e-02
1.896379275855171187e+01	-4.111201148127010402e-02
1.900380076015202846e+01	-4.135014232744345375e-02
1.904380876175235215e+01	-4.158213910684990799e-02
1.908381676335266874e+01	-4.180786068466942063e-02
1.912382476495299244e+01	-4.202716650191083009e-02
1.916383276655331258e+01	-4.223991663272592956e-02
1.920384076815362917e+01	-4.244597184153731106e-02
1.924384876975395287e+01	-4.264519363996299717e-02
1.928385677135426945e+01	-4.283744434352026315e-02
1.932386477295458960e+01	-4.302258712809282903e-02
1.936387277455491329e+01	-4.320048608614402569e-02
1.940388077615523343e+01	-4.337100628265974644e-02
1.944388877775555002e+01	-4.353401381080527349e-02
1.948389677935587372e+01	-4.368937584727859702e-02
1.952390478095619031e+01	-4.383696070734561384e-02
1.956391278255651045e+01	-4.397663789954072561e-02
1.960392078415683415e+01	-4.410827818001634287e-02
1.964392878575715073e+01	-4.423175360652749355e-02
1.968393678735747088e+01	-4.434693759203409830e-02
1.972394478895779102e+01	-4.445370495790743059e-02
1.976395279055811471e+01	-4.455193198672451060e-02
1.980396079215843130e+01	-4.464149647463595827e-02
1.984396879375875145e+01	-4.472227778329244952e-02
1.988397679535907159e+01	-4.479415689131530098e-02
1.992398479695938818e+01	-4.485701644529654919e-02
1.996399279855971542e+01	-4.491074081031422999e-02
2.000400080016003201e+01	-4.495521611994917482e-02
2.004400880176035216e+01	-4.499033032578845376e-02
2.008401680336067230e+01	-4.501597324640319031e-02
2.012402480496099244e+01	-4.503203661578497607e-02
2.016403280656131258e+01	-4.503841413123019916e-02
2.020404080816163273e+01	-4.503500150065600782e-02
2.024404880976195287e+01	-4.502169648933738999e-02
2.028405681136226946e+01	-4.499839896605077605e-02
2.032406481296259315e+01	-4.496501094861223013e-02
2.036407281456291329e+01	-4.492143664879715004e-02
2.040408081616323344e+01	-4.486758251662946451e-02
2.044408881776355358e+01	-4.480335728402775469e-02
2.048409681936387372e+01	-4.472867200779649666e-02
2.052410482096419031e+01	-4.464344011194999740e-02
2.056411282256451400e+01	-4.454757742935817888e-02
2.060412082416483415e+01	-4.444100224270156052e-02
2.064412882576515074e+01	-4.432363532472537171e-02
2.068413682736547443e+01	-4.419539997777972851e-02
2.072414482896579102e+01	-4.405622207263708290e-02
2.076415283056611472e+01	-4.390603008657403827e-02
2.080416083216643486e+01	-4.374475514070824689e-02
2.084416883376675500e+01	-4.357233103657921769e-02
2.088417683536707159e+01	-4.338869429196237637e-02
2.092418483696739173e+01	-4.319378417590769709e-02
2.096419283856771543e+01	-4.298754274299063788e-02
2.100420084016803202e+01	-4.276991486676793436e-02
2.104420884176835571e+01	-4.254084827242646943e-02
2.108421684336867230e+01	-4.230029356861789158e-02
2.112422484496899244e+01	-4.204820427846739372e-02
2.116423284656931614e+01	-4.178453686974997056e-02
2.120424084816963273e+01	-4.150925078422319087e-02
2.124424884976995287e+01	-4.122230846610876881e-02
2.128425685137027301e+01	-4.092367538971460744e-02
2.132426485297059315e+01	-4.061332008618778050e-02
2.136427285457091330e+01	-4.029121416939190209e-02
2.140428085617123699e+01	-3.995733236089923229e-02
2.144428885777155358e+01	-3.961165251409076021e-02
2.148429685937187372e+01	-3.925415563735629859e-02
2.152430486097219386e+01	-3.888482591638704050e-02
2.156431286257251401e+01	-3.850365073555352818e-02
2.160432086417283415e+01	-3.811062069836155392e-02
2.164432886577315429e+01	-3.770572964697965768e-02
2.168433686737347443e+01	-3.728897468083111622e-02
2.172434486897379102e+01	-3.686035617424378991e-02
2.176435287057411827e+01	-3.641987779315178364e-02
2.180436087217443486e+01	-3.596754651084313470e-02
2.184436887377475500e+01	-3.550337262274651934e-02
2.188437687537507514e+01	-3.502736976025189186e-02
2.192438487697539173e+01	-3.453955490356035857e-02
2.196439287857571898e+01	-3.403994839355543867e-02
2.200440088017603557e+01	-3.352857394269403990e-02
2.204440888177635571e+01	-3.300545864490861403e-02
2.208441688337667586e+01	-3.247063298451809826e-02
2.212442488497699600e+01	-3.192413084414301438e-02
2.216443288657731614e+01	-3.136598951161831406e-02
2.220444088817763628e+01	-3.079624968590254086e-02
2.224444888977795642e+01	-3.021495548197741104e-02
2.228445689137827301e+01	-2.962215443473494719e-02
2.232446489297859671e+01	-2.901789750184802577e-02
2.236447289457891685e+01	-2.840223906562237832e-02
2.240448089617923699e+01	-2.777523693382475192e-02
2.244448889777955713e+01	-2.713695233948627480e-02
2.248449689937987728e+01	-2.648744993967799485e-02
2.252450490098019387e+01	-2.582679781325455254e-02
2.256451290258051756e+01	-2.515506745756645665e-02
