# Frequency [GHz]	Re(Z) [Ohm]	Im(Z) [Ohm]	|Z| [Ohm]
4.897270e-01	1.901418e-02	1.555403e-02	2.456556e-02
4.947242e-01	1.886617e-02	1.565042e-02	2.451261e-02
4.997214e-01	1.871746e-02	1.574514e-02	2.445920e-02
5.047186e-01	1.856806e-02	1.583817e-02	2.440533e-02
5.097158e-01	1.841799e-02	1.592952e-02	2.435102e-02
5.147130e-01	1.826728e-02	1.601918e-02	2.429625e-02
5.197103e-01	1.811594e-02	1.610715e-02	2.424103e-02
5.247075e-01	1.796400e-02	1.619342e-02	2.418536e-02
5.297047e-01	1.781147e-02	1.627798e-02	2.412926e-02
5.347019e-01	1.765839e-02	1.636083e-02	2.407271e-02
5.396991e-01	1.750476e-02	1.644197e-02	2.401572e-02
5.446963e-01	1.735062e-02	1.652139e-02	2.395830e-02
5.496935e-01	1.719598e-02	1.659909e-02	2.390045e-02
5.546908e-01	1.704086e-02	1.667506e-02	2.384216e-02
5.596880e-01	1.688529e-02	1.674931e-02	2.378345e-02
5.646852e-01	1.672928e-02	1.682182e-02	2.372431e-02
5.696824e-01	1.657286e-02	1.689261e-02	2.366474e-02
5.746796e-01	1.641606e-02	1.696166e-02	2.360476e-02
5.796768e-01	1.625888e-02	1.702897e-02	2.354436e-02
5.846740e-01	1.610135e-02	1.709454e-02	2.348354e-02
5.896713e-01	1.594350e-02	1.715837e-02	2.342232e-02
5.946685e-01	1.578534e-02	1.722046e-02	2.336068e-02
5.996657e-01	1.562690e-02	1.728081e-02	2.329863e-02
6.046629e-01	1.546819e-02	1.733942e-02	2.323619e-02
6.096601e-01	1.530924e-02	1.739628e-02	2.317334e-02
6.146573e-01	1.515007e-02	1.745140e-02	2.311009e-02
6.196545e-01	1.499071e-02	1.750478e-02	2.304644e-02
6.246518e-01	1.483116e-02	1.755641e-02	2.298241e-02
6.296490e-01	1.467146e-02	1.760631e-02	2.291798e-02
6.346462e-01	1.451163e-02	1.765446e-02	2.285317e-02
6.396434e-01	1.435167e-02	1.770088e-02	2.278797e-02
6.446406e-01	1.419163e-02	1.774555e-02	2.272239e-02
6.496378e-01	1.403151e-02	1.778850e-02	2.265643e-02
6.546350e-01	1.387134e-02	1.782971e-02	2.259010e-02
6.596323e-01	1.371115e-02	1.786918e-02	2.252339e-02
6.646295e-01	1.355094e-02	1.790694e-02	2.245632e-02
6.696267e-01	1.339074e-02	1.794296e-02	2.238888e-02
6.746239e-01	1.323057e-02	1.797727e-02	2.232107e-02
6.796211e-01	1.307046e-02	1.800986e-02	2.225291e-02
6.846183e-01	1.291042e-02	1.804073e-02	2.218438e-02
6.896155e-01	1.275048e-02	1.806989e-02	2.211551e-02
6.946128e-01	1.259064e-02	1.809735e-02	2.204628e-02
6.996100e-01	1.243095e-02	1.812311e-02	2.197670e-02
7.046072e-01	1.227140e-02	1.814717e-02	2.190678e-02
7.096044e-01	1.211203e-02	1.816954e-02	2.183652e-02
7.146016e-01	1.195286e-02	1.819022e-02	2.176591e-02
7.195988e-01	1.179390e-02	1.820923e-02	2.169498e-02
7.245960e-01	1.163517e-02	1.822656e-02	2.162371e-02
7.295933e-01	1.147670e-02	1.824222e-02	2.155211e-02
7.345905e-01	1.131851e-02	1.825622e-02	2.148018e-02
7.395877e-01	1.116060e-02	1.826857e-02	2.140793e-02
7.445849e-01	1.100301e-02	1.827927e-02	2.133537e-02
7.495821e-01	1.084575e-02	1.828833e-02	2.126248e-02
7.545793e-01	1.068885e-02	1.829575e-02	2.118929e-02
7.595765e-01	1.053231e-02	1.830155e-02	2.111578e-02
7.645738e-01	1.037616e-02	1.830573e-02	2.104197e-02
7.695710e-01	1.022042e-02	1.830830e-02	2.096785e-02
7.745682e-01	1.006510e-02	1.830927e-02	2.089344e-02
7.795654e-01	9.910235e-03	1.830865e-02	2.081873e-02
7.845626e-01	9.755829e-03	1.830644e-02	2.074372e-02
7.895598e-01	9.601905e-03	1.830266e-02	2.066843e-02
7.945570e-01	9.448480e-03	1.829732e-02	2.059285e-02
7.995542e-01	9.295573e-03	1.829041e-02	2.051699e-02
8.045515e-01	9.143201e-03	1.828196e-02	2.044085e-02
8.095487e-01	8.991381e-03	1.827198e-02	2.036443e-02
8.145459e-01	8.840132e-03	1.826047e-02	2.028774e-02
8.195431e-01	8.689471e-03	1.824744e-02	2.021079e-02
8.245403e-01	8.539414e-03	1.823290e-02	2.013356e-02
8.295375e-01	8.389978e-03	1.821688e-02	2.005608e-02
8.345347e-01	8.241181e-03	1.819936e-02	1.997834e-02
8.395320e-01	8.093039e-03	1.818038e-02	1.990034e-02
8.445292e-01	7.945568e-03	1.815994e-02	1.982209e-02
8.495264e-01	7.798785e-03	1.813804e-02	1.974360e-02
8.545236e-01	7.652705e-03	1.811471e-02	1.966486e-02
8.595208e-01	7.507345e-03	1.808995e-02	1.958588e-02
8.645180e-01	7.362720e-03	1.806378e-02	1.950666e-02
8.695152e-01	7.218846e-03	1.803621e-02	1.942721e-02
8.745125e-01	7.075737e-03	1.800725e-02	1.934753e-02
8.795097e-01	6.933410e-03	1.797691e-02	1.926763e-02
8.845069e-01	6.791878e-03	1.794521e-02	1.918750e-02
8.895041e-01	6.651157e-03	1.791217e-02	1.910716e-02
8.945013e-01	6.511262e-03	1.787778e-02	1.902660e-02
8.994985e-01	6.372206e-03	1.784207e-02	1.894583e-02
9.044957e-01	6.234003e-03	1.780506e-02	1.886486e-02
9.094930e-01	6.096668e-03	1.776674e-02	1.878368e-02
9.144902e-01	5.960214e-03	1.772715e-02	1.870230e-02
9.194874e-01	5.824655e-03	1.768629e-02	1.862072e-02
9.244846e-01	5.690004e-03	1.764417e-02	1.853896e-02
9.294818e-01	5.556273e-03	1.760082e-02	1.845700e-02
9.344790e-01	5.423477e-03	1.755624e-02	1.837486e-02
9.394762e-01	5.291626e-03	1.751045e-02	1.829254e-02
9.444735e-01	5.160735e-03	1.746346e-02	1.821004e-02
9.494707e-01	5.030815e-03	1.741530e-02	1.812738e-02
9.544679e-01	4.901877e-03	1.736597e-02	1.804454e-02
9.594651e-01	4.773934e-03	1.731549e-02	1.796153e-02
9.644623e-01	4.646997e-03	1.726388e-02	1.787837e-02
9.694595e-01	4.521078e-03	1.721115e-02	1.779505e-02
9.744567e-01	4.396187e-03	1.715731e-02	1.771157e-02
9.794540e-01	4.272335e-03	1.710239e-02	1.762795e-02
9.844512e-01	4.149533e-03	1.704640e-02	1.754418e-02
9.894484e-01	4.027791e-03	1.698935e-02	1.746027e-02
9.944456e-01	3.907119e-03	1.693126e-02	1.737622e-02
9.994428e-01	3.787528e-03	1.687214e-02	1.729204e-02
1.004440e+00	3.669026e-03	1.681202e-02	1.720773e-02
1.009437e+00	3.551623e-03	1.675091e-02	1.712329e-02
1.014434e+00	3.435329e-03	1.668883e-02	1.703873e-02
1.019432e+00	3.320151e-03	1.662579e-02	1.695406e-02
1.024429e+00	3.206100e-03	1.656180e-02	1.686927e-02
1.029426e+00	3.093183e-03	1.649689e-02	1.678437e-02
1.034423e+00	2.981408e-03	1.643107e-02	1.669937e-02
1.039421e+00	2.870783e-03	1.636437e-02	1.661427e-02
1.044418e+00	2.761317e-03	1.629679e-02	1.652907e-02
1.049415e+00	2.653016e-03	1.622835e-02	1.644378e-02
1.054412e+00	2.545888e-03	1.615907e-02	1.635839e-02
1.059409e+00	2.439939e-03	1.608897e-02	1.627293e-02
1.064407e+00	2.335177e-03	1.601806e-02	1.618738e-02
1.069404e+00	2.231608e-03	1.594637e-02	1.610176e-02
1.074401e+00	2.129238e-03	1.587390e-02	1.601607e-02
1.079398e+00	2.028072e-03	1.580068e-02	1.593030e-02
1.084395e+00	1.928118e-03	1.572672e-02	1.584448e-02
1.089393e+00	1.829379e-03	1.565205e-02	1.575859e-02
1.094390e+00	1.731862e-03	1.557667e-02	1.567265e-02
1.099387e+00	1.635571e-03	1.550061e-02	1.558666e-02
1.104384e+00	1.540512e-03	1.542389e-02	1.550063e-02
1.109382e+00	1.446688e-03	1.534651e-02	1.541455e-02
1.114379e+00	1.354103e-03	1.526850e-02	1.532843e-02
1.119376e+00	1.262762e-03	1.518988e-02	1.524228e-02
1.124373e+00	1.172669e-03	1.511067e-02	1.515610e-02
1.129370e+00	1.083827e-03	1.503087e-02	1.506990e-02
1.134368e+00	9.962388e-04	1.495052e-02	1.498367e-02
1.139365e+00	9.099077e-04	1.486962e-02	1.489743e-02
1.144362e+00	8.248364e-04	1.478819e-02	1.481118e-02
1.149359e+00	7.410274e-04	1.470626e-02	1.472492e-02
1.154356e+00	6.584830e-04	1.462384e-02	1.463866e-02
1.159354e+00	5.772051e-04	1.454094e-02	1.455240e-02
1.164351e+00	4.971954e-04	1.445759e-02	1.446614e-02
1.169348e+00	4.184554e-04	1.437381e-02	1.437990e-02
1.174345e+00	3.409865e-04	1.428960e-02	1.429367e-02
1.179343e+00	2.647895e-04	1.420499e-02	1.420746e-02
1.184340e+00	1.898653e-04	1.411999e-02	1.412127e-02
1.189337e+00	1.162144e-04	1.403463e-02	1.403511e-02
1.194334e+00	4.383695e-05	1.394892e-02	1.394899e-02
1.199331e+00	-2.726689e-05	1.386287e-02	1.386290e-02
1.204329e+00	-9.709736e-05	1.377651e-02	1.377685e-02
1.209326e+00	-1.656549e-04	1.368985e-02	1.369085e-02
1.214323e+00	-2.329402e-04	1.360291e-02	1.360491e-02
1.219320e+00	-2.989543e-04	1.351571e-02	1.351901e-02
1.224317e+00	-3.636981e-04	1.342826e-02	1.343318e-02
1.229315e+00	-4.271732e-04	1.334058e-02	1.334742e-02
1.234312e+00	-4.893811e-04	1.325269e-02	1.326172e-02
1.239309e+00	-5.503238e-04	1.316460e-02	1.317610e-02
1.244306e+00	-6.100032e-04	1.307634e-02	1.309056e-02
1.249304e+00	-6.684218e-04	1.298791e-02	1.300510e-02
1.254301e+00	-7.255820e-04	1.289934e-02	1.291973e-02
1.259298e+00	-7.814866e-04	1.281064e-02	1.283445e-02
1.264295e+00	-8.361386e-04	1.272183e-02	1.274927e-02
1.269292e+00	-8.895413e-04	1.263292e-02	1.266420e-02
1.274290e+00	-9.416980e-04	1.254393e-02	1.257923e-02
1.279287e+00	-9.926125e-04	1.245489e-02	1.249438e-02
1.284284e+00	-1.042289e-03	1.236579e-02	1.240964e-02
1.289281e+00	-1.090730e-03	1.227667e-02	1.232503e-02
1.294278e+00	-1.137942e-03	1.218753e-02	1.224054e-02
1.299276e+00	-1.183928e-03	1.209840e-02	1.215619e-02
1.304273e+00	-1.228694e-03	1.200928e-02	1.207197e-02
1.309270e+00	-1.272243e-03	1.192020e-02	1.198790e-02
1.314267e+00	-1.314582e-03	1.183116e-02	1.190397e-02
1.319265e+00	-1.355716e-03	1.174219e-02	1.182020e-02
1.324262e+00	-1.395650e-03	1.165330e-02	1.173658e-02
1.329259e+00	-1.434390e-03	1.156451e-02	1.165312e-02
1.334256e+00	-1.471941e-03	1.147582e-02	1.156984e-02
1.339253e+00	-1.508311e-03	1.138727e-02	1.148672e-02
1.344251e+00	-1.543506e-03	1.129885e-02	1.140379e-02
1.349248e+00	-1.577531e-03	1.121058e-02	1.132103e-02
1.354245e+00	-1.610394e-03	1.112249e-02	1.123847e-02
1.359242e+00	-1.642101e-03	1.103458e-02	1.115610e-02
1.364239e+00	-1.672660e-03	1.094687e-02	1.107392e-02
1.369237e+00	-1.702078e-03	1.085937e-02	1.099196e-02
1.374234e+00	-1.730363e-03	1.077210e-02	1.091020e-02
1.379231e+00	-1.757521e-03	1.068507e-02	1.082865e-02
1.384228e+00	-1.783562e-03	1.059830e-02	1.074733e-02
1.389226e+00	-1.808492e-03	1.051179e-02	1.066623e-02
1.394223e+00	-1.832320e-03	1.042557e-02	1.058536e-02
1.399220e+00	-1.855054e-03	1.033964e-02	1.050473e-02
1.404217e+00	-1.876704e-03	1.025401e-02	1.042434e-02
1.409214e+00	-1.897277e-03	1.016871e-02	1.034420e-02
1.414212e+00	-1.916782e-03	1.008375e-02	1.026431e-02
1.419209e+00	-1.935228e-03	9.999127e-03	1.018468e-02
1.424206e+00	-1.952624e-03	9.914867e-03	1.010531e-02
1.429203e+00	-1.968980e-03	9.830978e-03	1.002622e-02
1.434200e+00	-1.984306e-03	9.747472e-03	9.947396e-03
1.439198e+00	-1.998609e-03	9.664363e-03	9.868858e-03
1.444195e+00	-2.011901e-03	9.581661e-03	9.790607e-03
1.449192e+00	-2.024192e-03	9.499379e-03	9.712649e-03
1.454189e+00	-2.035490e-03	9.417527e-03	9.634990e-03
1.459187e+00	-2.045807e-03	9.336118e-03	9.557637e-03
1.464184e+00	-2.055152e-03	9.255162e-03	9.480594e-03
1.469181e+00	-2.063536e-03	9.174670e-03	9.403869e-03
1.474178e+00	-2.070969e-03	9.094653e-03	9.327466e-03
1.479175e+00	-2.077462e-03	9.015122e-03	9.251393e-03
1.484173e+00	-2.083027e-03	8.936086e-03	9.175655e-03
1.489170e+00	-2.087672e-03	8.857557e-03	9.100258e-03
1.494167e+00	-2.091411e-03	8.779545e-03	9.025209e-03
1.499164e+00	-2.094253e-03	8.702058e-03	8.950514e-03
1.504161e+00	-2.096210e-03	8.625107e-03	8.876180e-03
1.509159e+00	-2.097293e-03	8.548702e-03	8.802212e-03
1.514156e+00	-2.097514e-03	8.472851e-03	8.728617e-03
1.519153e+00	-2.096883e-03	8.397563e-03	8.655402e-03
1.524150e+00	-2.095414e-03	8.322848e-03	8.582573e-03
1.529148e+00	-2.093117e-03	8.248714e-03	8.510137e-03
1.534145e+00	-2.090004e-03	8.175170e-03	8.438100e-03
1.539142e+00	-2.086087e-03	8.102224e-03	8.366468e-03
1.544139e+00	-2.081378e-03	8.029884e-03	8.295250e-03
