# Frequency [GHz]	Re(Z) [Ohm]	Im(Z) [Ohm]	|Z| [Ohm]
2.083838e+00	4.323739e-04	4.352244e-03	4.373669e-03
2.088835e+00	4.523715e-04	4.351951e-03	4.375400e-03
2.093833e+00	4.720117e-04	4.352053e-03	4.377574e-03
2.098830e+00	4.912902e-04	4.352540e-03	4.380179e-03
2.103827e+00	5.102028e-04	4.353403e-03	4.383198e-03
2.108824e+00	5.287458e-04	4.354634e-03	4.386617e-03
2.113822e+00	5.469153e-04	4.356225e-03	4.390423e-03
2.118819e+00	5.647077e-04	4.358166e-03	4.394600e-03
2.123816e+00	5.821196e-04	4.360449e-03	4.399134e-03
2.128813e+00	5.991476e-04	4.363065e-03	4.404011e-03
2.133810e+00	6.157888e-04	4.366004e-03	4.409216e-03
2.138808e+00	6.320400e-04	4.369259e-03	4.414737e-03
2.143805e+00	6.478985e-04	4.372820e-03	4.420557e-03
2.148802e+00	6.633616e-04	4.376679e-03	4.426665e-03
2.153799e+00	6.784269e-04	4.380826e-03	4.433046e-03
2.158796e+00	6.930920e-04	4.385252e-03	4.439686e-03
2.163794e+00	7.073547e-04	4.389950e-03	4.446573e-03
2.168791e+00	7.212131e-04	4.394909e-03	4.453692e-03
2.173788e+00	7.346652e-04	4.400121e-03	4.461031e-03
2.178785e+00	7.477094e-04	4.405578e-03	4.468578e-03
2.183783e+00	7.603441e-04	4.411270e-03	4.476318e-03
2.188780e+00	7.725678e-04	4.417188e-03	4.484240e-03
2.193777e+00	7.843795e-04	4.423324e-03	4.492332e-03
2.198774e+00	7.957780e-04	4.429668e-03	4.500580e-03
2.203771e+00	8.067623e-04	4.436213e-03	4.508974e-03
2.208769e+00	8.173317e-04	4.442949e-03	4.517502e-03
2.213766e+00	8.274855e-04	4.449867e-03	4.526152e-03
2.218763e+00	8.372233e-04	4.456959e-03	4.534912e-03
2.223760e+00	8.465448e-04	4.464216e-03	4.543772e-03
2.228757e+00	8.554497e-04	4.471630e-03	4.552721e-03
2.233755e+00	8.639380e-04	4.479191e-03	4.561747e-03
2.238752e+00	8.720099e-04	4.486891e-03	4.570842e-03
2.243749e+00	8.796655e-04	4.494722e-03	4.579993e-03
2.248746e+00	8.869054e-04	4.502675e-03	4.589192e-03
2.253744e+00	8.937300e-04	4.510742e-03	4.598429e-03
2.258741e+00	9.001400e-04	4.518914e-03	4.607693e-03
2.263738e+00	9.061364e-04	4.527183e-03	4.616976e-03
2.268735e+00	9.117199e-04	4.535540e-03	4.626268e-03
2.273732e+00	9.168918e-04	4.543978e-03	4.635561e-03
2.278730e+00	9.216533e-04	4.552487e-03	4.644845e-03
2.283727e+00	9.260058e-04	4.561060e-03	4.654112e-03
2.288724e+00	9.299508e-04	4.569690e-03	4.663354e-03
2.293721e+00	9.334899e-04	4.578366e-03	4.672563e-03
2.298718e+00	9.366249e-04	4.587083e-03	4.681730e-03
2.303716e+00	9.393577e-04	4.595831e-03	4.690848e-03
2.308713e+00	9.416905e-04	4.604604e-03	4.699910e-03
2.313710e+00	9.436252e-04	4.613392e-03	4.708908e-03
2.318707e+00	9.451643e-04	4.622189e-03	4.717835e-03
2.323705e+00	9.463102e-04	4.630987e-03	4.726684e-03
2.328702e+00	9.470653e-04	4.639778e-03	4.735449e-03
2.333699e+00	9.474324e-04	4.648555e-03	4.744122e-03
2.338696e+00	9.474142e-04	4.657311e-03	4.752698e-03
2.343693e+00	9.470136e-04	4.666037e-03	4.761170e-03
2.348691e+00	9.462336e-04	4.674728e-03	4.769532e-03
2.353688e+00	9.450774e-04	4.683375e-03	4.777779e-03
2.358685e+00	9.435482e-04	4.691972e-03	4.785904e-03
2.363682e+00	9.416494e-04	4.700511e-03	4.793903e-03
2.368679e+00	9.393843e-04	4.708986e-03	4.801770e-03
2.373677e+00	9.367566e-04	4.717390e-03	4.809499e-03
2.378674e+00	9.337699e-04	4.725716e-03	4.817087e-03
2.383671e+00	9.304281e-04	4.733958e-03	4.824527e-03
2.388668e+00	9.267348e-04	4.742109e-03	4.831815e-03
2.393666e+00	9.226943e-04	4.750163e-03	4.838948e-03
2.398663e+00	9.183104e-04	4.758113e-03	4.845919e-03
2.403660e+00	9.135874e-04	4.765953e-03	4.852726e-03
2.408657e+00	9.085295e-04	4.773677e-03	4.859364e-03
2.413654e+00	9.031411e-04	4.781279e-03	4.865829e-03
2.418652e+00	8.974266e-04	4.788753e-03	4.872118e-03
2.423649e+00	8.913905e-04	4.796094e-03	4.878226e-03
2.428646e+00	8.850374e-04	4.803294e-03	4.884151e-03
2.433643e+00	8.783721e-04	4.810350e-03	4.889888e-03
2.438640e+00	8.713992e-04	4.817255e-03	4.895435e-03
2.443638e+00	8.641237e-04	4.824004e-03	4.900788e-03
2.448635e+00	8.565504e-04	4.830592e-03	4.905945e-03
2.453632e+00	8.486844e-04	4.837013e-03	4.910902e-03
2.458629e+00	8.405307e-04	4.843263e-03	4.915657e-03
2.463627e+00	8.320945e-04	4.849336e-03	4.920207e-03
2.468624e+00	8.233810e-04	4.855228e-03	4.924550e-03
2.473621e+00	8.143954e-04	4.860933e-03	4.928683e-03
2.478618e+00	8.051431e-04	4.866449e-03	4.932604e-03
2.483615e+00	7.956295e-04	4.871769e-03	4.936310e-03
2.488613e+00	7.858600e-04	4.876889e-03	4.939800e-03
2.493610e+00	7.758402e-04	4.881806e-03	4.943072e-03
2.498607e+00	7.655756e-04	4.886515e-03	4.946123e-03
2.503604e+00	7.550719e-04	4.891012e-03	4.948953e-03
2.508601e+00	7.443347e-04	4.895293e-03	4.951558e-03
2.513599e+00	7.333697e-04	4.899355e-03	4.953939e-03
2.518596e+00	7.221827e-04	4.903193e-03	4.956092e-03
2.523593e+00	7.107795e-04	4.906805e-03	4.958018e-03
2.528590e+00	6.991659e-04	4.910186e-03	4.959714e-03
2.533588e+00	6.873479e-04	4.913334e-03	4.961179e-03
2.538585e+00	6.753313e-04	4.916245e-03	4.962412e-03
2.543582e+00	6.631222e-04	4.918916e-03	4.963413e-03
2.548579e+00	6.507265e-04	4.921345e-03	4.964180e-03
2.553576e+00	6.381501e-04	4.923528e-03	4.964712e-03
2.558574e+00	6.253993e-04	4.925463e-03	4.965009e-03
2.563571e+00	6.124800e-04	4.927148e-03	4.965070e-03
2.568568e+00	5.993983e-04	4.928579e-03	4.964894e-03
2.573565e+00	5.861603e-04	4.929755e-03	4.964480e-03
2.578562e+00	5.727723e-04	4.930673e-03	4.963829e-03
2.583560e+00	5.592402e-04	4.931331e-03	4.962940e-03
2.588557e+00	5.455704e-04	4.931728e-03	4.961813e-03
2.593554e+00	5.317689e-04	4.931860e-03	4.960446e-03
2.598551e+00	5.178420e-04	4.931728e-03	4.958841e-03
2.603549e+00	5.037958e-04	4.931329e-03	4.956997e-03
2.608546e+00	4.896366e-04	4.930662e-03	4.954914e-03
2.613543e+00	4.753705e-04	4.929725e-03	4.952591e-03
2.618540e+00	4.610037e-04	4.928517e-03	4.950030e-03
2.623537e+00	4.465424e-04	4.927037e-03	4.947231e-03
2.628535e+00	4.319929e-04	4.925284e-03	4.944193e-03
2.633532e+00	4.173614e-04	4.923257e-03	4.940916e-03
2.638529e+00	4.026539e-04	4.920956e-03	4.937402e-03
2.643526e+00	3.878767e-04	4.918380e-03	4.933651e-03
2.648523e+00	3.730359e-04	4.915528e-03	4.929662e-03
2.653521e+00	3.581377e-04	4.912400e-03	4.925437e-03
2.658518e+00	3.431883e-04	4.908995e-03	4.920977e-03
2.663515e+00	3.281936e-04	4.905314e-03	4.916281e-03
2.668512e+00	3.131599e-04	4.901357e-03	4.911351e-03
2.673510e+00	2.980931e-04	4.897123e-03	4.906187e-03
2.678507e+00	2.829994e-04	4.892613e-03	4.900790e-03
2.683504e+00	2.678847e-04	4.887826e-03	4.895162e-03
2.688501e+00	2.527551e-04	4.882765e-03	4.889302e-03
2.693498e+00	2.376164e-04	4.877428e-03	4.883213e-03
2.698496e+00	2.224746e-04	4.871817e-03	4.876894e-03
2.703493e+00	2.073357e-04	4.865933e-03	4.870348e-03
2.708490e+00	1.922054e-04	4.859775e-03	4.863575e-03
2.713487e+00	1.770897e-04	4.853346e-03	4.856576e-03
2.718484e+00	1.619941e-04	4.846647e-03	4.849353e-03
2.723482e+00	1.469246e-04	4.839677e-03	4.841907e-03
2.728479e+00	1.318868e-04	4.832440e-03	4.834239e-03
2.733476e+00	1.168863e-04	4.824936e-03	4.826351e-03
2.738473e+00	1.019288e-04	4.817166e-03	4.818244e-03
2.743471e+00	8.701978e-05	4.809133e-03	4.809920e-03
2.748468e+00	7.216475e-05	4.800837e-03	4.801380e-03
2.753465e+00	5.736917e-05	4.792282e-03	4.792625e-03
2.758462e+00	4.263844e-05	4.783468e-03	4.783658e-03
2.763459e+00	2.797790e-05	4.774398e-03	4.774480e-03
2.768457e+00	1.339284e-05	4.765073e-03	4.765092e-03
2.773454e+00	-1.111522e-06	4.755496e-03	4.755497e-03
2.778451e+00	-1.553002e-05	4.745670e-03	4.745696e-03
2.783448e+00	-2.985754e-05	4.735596e-03	4.735690e-03
2.788445e+00	-4.408906e-05	4.725278e-03	4.725483e-03
2.793443e+00	-5.821959e-05	4.714716e-03	4.715076e-03
2.798440e+00	-7.224422e-05	4.703915e-03	4.704470e-03
2.803437e+00	-8.615810e-05	4.692877e-03	4.693668e-03
2.808434e+00	-9.995648e-05	4.681605e-03	4.682672e-03
2.813432e+00	-1.136346e-04	4.670101e-03	4.671483e-03
2.818429e+00	-1.271879e-04	4.658369e-03	4.660105e-03
2.823426e+00	-1.406118e-04	4.646411e-03	4.648539e-03
2.828423e+00	-1.539018e-04	4.634232e-03	4.636786e-03
2.833420e+00	-1.670535e-04	4.621833e-03	4.624851e-03
2.838418e+00	-1.800626e-04	4.609218e-03	4.612734e-03
2.843415e+00	-1.929247e-04	4.596391e-03	4.600438e-03
2.848412e+00	-2.056358e-04	4.583355e-03	4.587966e-03
2.853409e+00	-2.181917e-04	4.570113e-03	4.575319e-03
2.858406e+00	-2.305884e-04	4.556670e-03	4.562501e-03
2.863404e+00	-2.428220e-04	4.543028e-03	4.549513e-03
2.868401e+00	-2.548886e-04	4.529192e-03	4.536358e-03
2.873398e+00	-2.667845e-04	4.515164e-03	4.523039e-03
2.878395e+00	-2.785059e-04	4.500950e-03	4.509558e-03
2.883393e+00	-2.900494e-04	4.486552e-03	4.495918e-03
2.888390e+00	-3.014113e-04	4.471975e-03	4.482121e-03
2.893387e+00	-3.125882e-04	4.457223e-03	4.468170e-03
2.898384e+00	-3.235768e-04	4.442299e-03	4.454068e-03
2.903381e+00	-3.343740e-04	4.427209e-03	4.439818e-03
2.908379e+00	-3.449764e-04	4.411955e-03	4.425421e-03
2.913376e+00	-3.553810e-04	4.396543e-03	4.410882e-03
2.918373e+00	-3.655849e-04	4.380976e-03	4.396203e-03
2.923370e+00	-3.755852e-04	4.365258e-03	4.381386e-03
2.928367e+00	-3.853791e-04	4.349395e-03	4.366435e-03
2.933365e+00	-3.949639e-04	4.333390e-03	4.351352e-03
2.938362e+00	-4.043370e-04	4.317248e-03	4.336141e-03
2.943359e+00	-4.134959e-04	4.300974e-03	4.320805e-03
2.948356e+00	-4.224381e-04	4.284571e-03	4.305346e-03
2.953354e+00	-4.311613e-04	4.268044e-03	4.289767e-03
2.958351e+00	-4.396634e-04	4.251398e-03	4.274072e-03
2.963348e+00	-4.479422e-04	4.234638e-03	4.258264e-03
2.968345e+00	-4.559956e-04	4.217768e-03	4.242346e-03
2.973342e+00	-4.638217e-04	4.200792e-03	4.226321e-03
2.978340e+00	-4.714187e-04	4.183716e-03	4.210192e-03
2.983337e+00	-4.787848e-04	4.166544e-03	4.193962e-03
2.988334e+00	-4.859184e-04	4.149280e-03	4.177636e-03
2.993331e+00	-4.928179e-04	4.131930e-03	4.161216e-03
2.998328e+00	-4.994819e-04	4.114498e-03	4.144705e-03
3.003326e+00	-5.059090e-04	4.096989e-03	4.128107e-03
3.008323e+00	-5.120979e-04	4.079408e-03	4.111425e-03
3.013320e+00	-5.180475e-04	4.061760e-03	4.094663e-03
3.018317e+00	-5.237567e-04	4.044048e-03	4.077824e-03
3.023315e+00	-5.292245e-04	4.026279e-03	4.060912e-03
3.028312e+00	-5.344501e-04	4.008457e-03	4.043929e-03
3.033309e+00	-5.394327e-04	3.990586e-03	4.026881e-03
3.038306e+00	-5.441716e-04	3.972672e-03	4.009769e-03
3.043303e+00	-5.486662e-04	3.954720e-03	3.992599e-03
3.048301e+00	-5.529160e-04	3.936733e-03	3.975372e-03
3.053298e+00	-5.569207e-04	3.918718e-03	3.958094e-03
3.058295e+00	-5.606799e-04	3.900678e-03	3.940768e-03
3.063292e+00	-5.641935e-04	3.882619e-03	3.923397e-03
3.068289e+00	-5.674612e-04	3.864546e-03	3.905986e-03
3.073287e+00	-5.704832e-04	3.846462e-03	3.888537e-03
3.078284e+00	-5.732595e-04	3.828374e-03	3.871056e-03
3.083281e+00	-5.757903e-04	3.810285e-03	3.853544e-03
3.088278e+00	-5.780758e-04	3.792200e-03	3.836008e-03
3.093276e+00	-5.801164e-04	3.774125e-03	3.818449e-03
3.098273e+00	-5.819125e-04	3.756064e-03	3.800873e-03
3.103270e+00	-5.834647e-04	3.738021e-03	3.783283e-03
3.108267e+00	-5.847736e-04	3.720002e-03	3.765683e-03
3.113264e+00	-5.858400e-04	3.702010e-03	3.748078e-03
3.118262e+00	-5.866646e-04	3.684051e-03	3.730470e-03
3.123259e+00	-5.872484e-04	3.666128e-03	3.712864e-03
3.128256e+00	-5.875923e-04	3.648248e-03	3.695264e-03
3.133253e+00	-5.876975e-04	3.630413e-03	3.677674e-03
3.138250e+00	-5.875650e-04	3.612630e-03	3.660099e-03
3.143248e+00	-5.871961e-04	3.594901e-03	3.642542e-03
3.148245e+00	-5.865922e-04	3.577232e-03	3.625007e-03
3.153242e+00	-5.857547e-04	3.559626e-03	3.607499e-03
3.158239e+00	-5.846850e-04	3.542089e-03	3.590021e-03
3.163236e+00	-5.833848e-04	3.524625e-03	3.572579e-03
3.168234e+00	-5.818557e-04	3.507237e-03	3.555175e-03
3.173231e+00	-5.800994e-04	3.489931e-03	3.537815e-03
3.178228e+00	-5.781179e-04	3.472709e-03	3.520501e-03
3.183225e+00	-5.759128e-04	3.455578e-03	3.503240e-03
3.188223e+00	-5.734864e-04	3.438539e-03	3.486035e-03
3.193220e+00	-5.708405e-04	3.421598e-03	3.468889e-03
3.198217e+00	-5.679773e-04	3.404759e-03	3.451808e-03
3.203214e+00	-5.648991e-04	3.388025e-03	3.434796e-03
3.208211e+00	-5.616080e-04	3.371401e-03	3.417857e-03
3.213209e+00	-5.581065e-04	3.354889e-03	3.400995e-03
3.218206e+00	-5.543969e-04	3.338495e-03	3.384214e-03
3.223203e+00	-5.504818e-04	3.322222e-03	3.367519e-03
3.228200e+00	-5.463636e-04	3.306072e-03	3.350914e-03
3.233197e+00	-5.420450e-04	3.290051e-03	3.334404e-03
3.238195e+00	-5.375286e-04	3.274162e-03	3.317992e-03
3.243192e+00	-5.328173e-04	3.258407e-03	3.301683e-03
3.248189e+00	-5.279138e-04	3.242791e-03	3.285481e-03
3.253186e+00	-5.228210e-04	3.227317e-03	3.269391e-03
3.258184e+00	-5.175418e-04	3.211988e-03	3.253416e-03
3.263181e+00	-5.120792e-04	3.196807e-03	3.237561e-03
3.268178e+00	-5.064362e-04	3.181778e-03	3.221831e-03
3.273175e+00	-5.006159e-04	3.166904e-03	3.206228e-03
3.278172e+00	-4.946216e-04	3.152188e-03	3.190758e-03
3.283170e+00	-4.884564e-04	3.137632e-03	3.175425e-03
3.288167e+00	-4.821235e-04	3.123240e-03	3.160233e-03
3.293164e+00	-4.756262e-04	3.109014e-03	3.145185e-03
3.298161e+00	-4.689680e-04	3.094958e-03	3.130287e-03
3.303158e+00	-4.621522e-04	3.081073e-03	3.115541e-03
3.308156e+00	-4.551823e-04	3.067364e-03	3.100953e-03
3.313153e+00	-4.480618e-04	3.053831e-03	3.086526e-03
3.318150e+00	-4.407941e-04	3.040478e-03	3.072264e-03
3.323147e+00	-4.333829e-04	3.027307e-03	3.058170e-03
3.328145e+00	-4.258318e-04	3.014320e-03	3.044250e-03
3.333142e+00	-4.181445e-04	3.001519e-03	3.030506e-03
3.338139e+00	-4.103246e-04	2.988908e-03	3.016942e-03
3.343136e+00	-4.023758e-04	2.976487e-03	3.003562e-03
3.348133e+00	-3.943020e-04	2.964260e-03	2.990369e-03
3.353131e+00	-3.861068e-04	2.952227e-03	2.977368e-03
3.358128e+00	-3.777942e-04	2.940390e-03	2.964561e-03
3.363125e+00	-3.693680e-04	2.928753e-03	2.951953e-03
3.368122e+00	-3.608321e-04	2.917315e-03	2.939545e-03
3.373119e+00	-3.521903e-04	2.906079e-03	2.927343e-03
3.378117e+00	-3.434466e-04	2.895047e-03	2.915348e-03
3.383114e+00	-3.346049e-04	2.884220e-03	2.903564e-03
3.388111e+00	-3.256692e-04	2.873598e-03	2.891994e-03
3.393108e+00	-3.166435e-04	2.863185e-03	2.880641e-03
3.398106e+00	-3.075318e-04	2.852980e-03	2.869507e-03
3.403103e+00	-2.983382e-04	2.842985e-03	2.858596e-03
3.408100e+00	-2.890666e-04	2.833201e-03	2.847909e-03
3.413097e+00	-2.797211e-04	2.823629e-03	2.837451e-03
3.418094e+00	-2.703058e-04	2.814270e-03	2.827222e-03
3.423092e+00	-2.608247e-04	2.805125e-03	2.817225e-03
3.428089e+00	-2.512819e-04	2.796194e-03	2.807462e-03
3.433086e+00	-2.416816e-04	2.787479e-03	2.797936e-03
3.438083e+00	-2.320277e-04	2.778979e-03	2.788648e-03
3.443080e+00	-2.223245e-04	2.770695e-03	2.779601e-03
3.448078e+00	-2.125759e-04	2.762628e-03	2.770795e-03
3.453075e+00	-2.027861e-04	2.754779e-03	2.762232e-03
3.458072e+00	-1.929591e-04	2.747146e-03	2.753914e-03
3.463069e+00	-1.830992e-04	2.739731e-03	2.745842e-03
3.468067e+00	-1.732102e-04	2.732533e-03	2.738018e-03
3.473064e+00	-1.632965e-04	2.725553e-03	2.730441e-03
3.478061e+00	-1.533619e-04	2.718791e-03	2.723113e-03
3.483058e+00	-1.434106e-04	2.712246e-03	2.716035e-03
3.488055e+00	-1.334466e-04	2.705918e-03	2.709207e-03
3.493053e+00	-1.234740e-04	2.699807e-03	2.702629e-03
3.498050e+00	-1.134968e-04	2.693913e-03	2.696303e-03
3.503047e+00	-1.035190e-04	2.688235e-03	2.690227e-03
3.508044e+00	-9.354455e-05	2.682772e-03	2.684402e-03
3.513041e+00	-8.357753e-05	2.677524e-03	2.678828e-03
3.518039e+00	-7.362185e-05	2.672491e-03	2.673505e-03
3.523036e+00	-6.368145e-05	2.667671e-03	2.668431e-03
3.528033e+00	-5.376025e-05	2.663064e-03	2.663606e-03
3.533030e+00	-4.386214e-05	2.658668e-03	2.659030e-03
3.538028e+00	-3.399099e-05	2.654484e-03	2.654701e-03
3.543025e+00	-2.415063e-05	2.650509e-03	2.650619e-03
3.548022e+00	-1.434489e-05	2.646743e-03	2.646782e-03
3.553019e+00	-4.577542e-06	2.643184e-03	2.643188e-03
3.558016e+00	5.147659e-06	2.639832e-03	2.639837e-03
3.563014e+00	1.482699e-05	2.636684e-03	2.636726e-03
3.568011e+00	2.445676e-05	2.633740e-03	2.633854e-03
3.573008e+00	3.403332e-05	2.630998e-03	2.631218e-03
3.578005e+00	4.355305e-05	2.628456e-03	2.628817e-03
3.583002e+00	5.301237e-05	2.626113e-03	2.626648e-03
3.588000e+00	6.240774e-05	2.623967e-03	2.624709e-03
3.592997e+00	7.173564e-05	2.622017e-03	2.622998e-03
3.597994e+00	8.099263e-05	2.620260e-03	2.621512e-03
3.602991e+00	9.017527e-05	2.618695e-03	2.620248e-03
3.607989e+00	9.928020e-05	2.617320e-03	2.619203e-03
3.612986e+00	1.083041e-04	2.616133e-03	2.618374e-03
3.617983e+00	1.172436e-04	2.615131e-03	2.617758e-03
3.622980e+00	1.260955e-04	2.614313e-03	2.617353e-03
3.627977e+00	1.348567e-04	2.613677e-03	2.617154e-03
3.632975e+00	1.435239e-04	2.613220e-03	2.617158e-03
3.637972e+00	1.520941e-04	2.612940e-03	2.617362e-03
3.642969e+00	1.605643e-04	2.612834e-03	2.617763e-03
3.647966e+00	1.689313e-04	2.612900e-03	2.618356e-03
3.652963e+00	1.771924e-04	2.613137e-03	2.619137e-03
3.657961e+00	1.853445e-04	2.613540e-03	2.620104e-03
3.662958e+00	1.933849e-04	2.614109e-03	2.621252e-03
3.667955e+00	2.013108e-04	2.614839e-03	2.622577e-03
3.672952e+00	2.091195e-04	2.615729e-03	2.624075e-03
3.677950e+00	2.168082e-04	2.616775e-03	2.625742e-03
3.682947e+00	2.243745e-04	2.617976e-03	2.627573e-03
3.687944e+00	2.318156e-04	2.619328e-03	2.629566e-03
3.692941e+00	2.391292e-04	2.620828e-03	2.631715e-03
3.697938e+00	2.463128e-04	2.622473e-03	2.634015e-03
3.702936e+00	2.533641e-04	2.624262e-03	2.636464e-03
3.707933e+00	2.602807e-04	2.626189e-03	2.639056e-03
3.712930e+00	2.670603e-04	2.628254e-03	2.641787e-03
3.717927e+00	2.737008e-04	2.630452e-03	2.644653e-03
3.722924e+00	2.802001e-04	2.632780e-03	2.647649e-03
3.727922e+00	2.865562e-04	2.635236e-03	2.650770e-03
3.732919e+00	2.927669e-04	2.637816e-03	2.654013e-03
3.737916e+00	2.988304e-04	2.640517e-03	2.657373e-03
3.742913e+00	3.047449e-04	2.643336e-03	2.660844e-03
3.747911e+00	3.105085e-04	2.646269e-03	2.664424e-03
3.752908e+00	3.161194e-04	2.649314e-03	2.668107e-03
3.757905e+00	3.215762e-04	2.652467e-03	2.671889e-03
3.762902e+00	3.268770e-04	2.655725e-03	2.675766e-03
3.767899e+00	3.320205e-04	2.659084e-03	2.679732e-03
3.772897e+00	3.370052e-04	2.662541e-03	2.683784e-03
3.777894e+00	3.418296e-04	2.666092e-03	2.687916e-03
3.782891e+00	3.464924e-04	2.669735e-03	2.692126e-03
3.787888e+00	3.509924e-04	2.673466e-03	2.696408e-03
3.792885e+00	3.553284e-04	2.677281e-03	2.700757e-03
3.797883e+00	3.594993e-04	2.681176e-03	2.705170e-03
3.802880e+00	3.635041e-04	2.685150e-03	2.709643e-03
3.807877e+00	3.673417e-04	2.689197e-03	2.714170e-03
3.812874e+00	3.710112e-04	2.693314e-03	2.718748e-03
3.817872e+00	3.745119e-04	2.697499e-03	2.723373e-03
3.822869e+00	3.778430e-04	2.701747e-03	2.728040e-03
3.827866e+00	3.810036e-04	2.706054e-03	2.732745e-03
3.832863e+00	3.839934e-04	2.710418e-03	2.737484e-03
3.837860e+00	3.868116e-04	2.714835e-03	2.742253e-03
3.842858e+00	3.894578e-04	2.719301e-03	2.747049e-03
3.847855e+00	3.919315e-04	2.723813e-03	2.751866e-03
3.852852e+00	3.942325e-04	2.728367e-03	2.756702e-03
3.857849e+00	3.963604e-04	2.732959e-03	2.761552e-03
3.862846e+00	3.983151e-04	2.737587e-03	2.766412e-03
3.867844e+00	4.000964e-04	2.742246e-03	2.771279e-03
3.872841e+00	4.017043e-04	2.746933e-03	2.776149e-03
3.877838e+00	4.031387e-04	2.751644e-03	2.781019e-03
3.882835e+00	4.043997e-04	2.756376e-03	2.785884e-03
3.887833e+00	4.054874e-04	2.761126e-03	2.790741e-03
3.892830e+00	4.064022e-04	2.765889e-03	2.795587e-03
3.897827e+00	4.071441e-04	2.770663e-03	2.800418e-03
3.902824e+00	4.077137e-04	2.775444e-03	2.805231e-03
3.907821e+00	4.081112e-04	2.780228e-03	2.810022e-03
3.912819e+00	4.083373e-04	2.785012e-03	2.814788e-03
3.917816e+00	4.083923e-04	2.789793e-03	2.819526e-03
3.922813e+00	4.082770e-04	2.794567e-03	2.824233e-03
3.927810e+00	4.079920e-04	2.799330e-03	2.828906e-03
3.932807e+00	4.075380e-04	2.804080e-03	2.833541e-03
3.937805e+00	4.069159e-04	2.808813e-03	2.838135e-03
3.942802e+00	4.061265e-04	2.813525e-03	2.842686e-03
3.947799e+00	4.051708e-04	2.818214e-03	2.847191e-03
3.952796e+00	4.040498e-04	2.822876e-03	2.851646e-03
3.957794e+00	4.027644e-04	2.827508e-03	2.856049e-03
3.962791e+00	4.013159e-04	2.832106e-03	2.860398e-03
3.967788e+00	3.997055e-04	2.836667e-03	2.864689e-03
3.972785e+00	3.979342e-04	2.841189e-03	2.868920e-03
3.977782e+00	3.960036e-04	2.845667e-03	2.873089e-03
3.982780e+00	3.939149e-04	2.850100e-03	2.877193e-03
3.987777e+00	3.916695e-04	2.854483e-03	2.881229e-03
3.992774e+00	3.892690e-04	2.858814e-03	2.885195e-03
3.997771e+00	3.867148e-04	2.863090e-03	2.889088e-03
4.002768e+00	3.840086e-04	2.867307e-03	2.892908e-03
4.007766e+00	3.811520e-04	2.871464e-03	2.896650e-03
4.012763e+00	3.781467e-04	2.875556e-03	2.900313e-03
4.017760e+00	3.749945e-04	2.879581e-03	2.903896e-03
4.022757e+00	3.716971e-04	2.883537e-03	2.907395e-03
4.027755e+00	3.682564e-04	2.887420e-03	2.910809e-03
4.032752e+00	3.646743e-04	2.891228e-03	2.914136e-03
4.037749e+00	3.609528e-04	2.894958e-03	2.917374e-03
4.042746e+00	3.570940e-04	2.898607e-03	2.920521e-03
4.047743e+00	3.530997e-04	2.902174e-03	2.923575e-03
4.052741e+00	3.489723e-04	2.905654e-03	2.926535e-03
4.057738e+00	3.447137e-04	2.909046e-03	2.929399e-03
4.062735e+00	3.403262e-04	2.912347e-03	2.932165e-03
4.067732e+00	3.358121e-04	2.915555e-03	2.934831e-03
4.072729e+00	3.311735e-04	2.918668e-03	2.937397e-03
4.077727e+00	3.264130e-04	2.921683e-03	2.939860e-03
4.082724e+00	3.215327e-04	2.924598e-03	2.942219e-03
4.087721e+00	3.165351e-04	2.927410e-03	2.944473e-03
4.092718e+00	3.114227e-04	2.930118e-03	2.946621e-03
4.097716e+00	3.061979e-04	2.932719e-03	2.948660e-03
4.102713e+00	3.008633e-04	2.935212e-03	2.950591e-03
4.107710e+00	2.954213e-04	2.937594e-03	2.952411e-03
4.112707e+00	2.898747e-04	2.939863e-03	2.954119e-03
4.117704e+00	2.842260e-04	2.942018e-03	2.955715e-03
4.122702e+00	2.784778e-04	2.944056e-03	2.957198e-03
4.127699e+00	2.726329e-04	2.945977e-03	2.958565e-03
4.132696e+00	2.666940e-04	2.947777e-03	2.959817e-03
4.137693e+00	2.606638e-04	2.949456e-03	2.960952e-03
4.142690e+00	2.545450e-04	2.951012e-03	2.961970e-03
4.147688e+00	2.483406e-04	2.952443e-03	2.962869e-03
4.152685e+00	2.420532e-04	2.953748e-03	2.963649e-03
4.157682e+00	2.356858e-04	2.954925e-03	2.964310e-03
4.162679e+00	2.292412e-04	2.955974e-03	2.964849e-03
4.167677e+00	2.227223e-04	2.956892e-03	2.965268e-03
4.172674e+00	2.161320e-04	2.957678e-03	2.965564e-03
4.177671e+00	2.094732e-04	2.958332e-03	2.965739e-03
4.182668e+00	2.027490e-04	2.958851e-03	2.965790e-03
4.187665e+00	1.959622e-04	2.959236e-03	2.965717e-03
4.192663e+00	1.891158e-04	2.959485e-03	2.965521e-03
4.197660e+00	1.822129e-04	2.959597e-03	2.965201e-03
4.202657e+00	1.752564e-04	2.959571e-03	2.964755e-03
4.207654e+00	1.682493e-04	2.959406e-03	2.964185e-03
4.212651e+00	1.611948e-04	2.959102e-03	2.963489e-03
4.217649e+00	1.540957e-04	2.958658e-03	2.962668e-03
4.222646e+00	1.469553e-04	2.958073e-03	2.961721e-03
4.227643e+00	1.397764e-04	2.957346e-03	2.960648e-03
4.232640e+00	1.325623e-04	2.956478e-03	2.959449e-03
