# Frequency [GHz]	Re(Z) [Ohm/m]	Im(Z) [Ohm/m]	|Z| [Ohm/m]
2.068847e+00	2.561654e-02	-3.006340e-02	3.949702e-02
2.073844e+00	2.493046e-02	-3.087798e-02	3.968598e-02
2.078841e+00	2.422911e-02	-3.167374e-02	3.987826e-02
2.083838e+00	2.351294e-02	-3.245044e-02	4.007354e-02
2.088835e+00	2.278238e-02	-3.320785e-02	4.027155e-02
2.093833e+00	2.203789e-02	-3.394575e-02	4.047200e-02
2.098830e+00	2.127992e-02	-3.466394e-02	4.067461e-02
2.103827e+00	2.050892e-02	-3.536222e-02	4.087911e-02
2.108824e+00	1.972533e-02	-3.604039e-02	4.108526e-02
2.113822e+00	1.892963e-02	-3.669827e-02	4.129278e-02
2.118819e+00	1.812226e-02	-3.733570e-02	4.150146e-02
2.123816e+00	1.730369e-02	-3.795252e-02	4.171105e-02
2.128813e+00	1.647439e-02	-3.854856e-02	4.192132e-02
2.133810e+00	1.563481e-02	-3.912369e-02	4.213206e-02
2.138808e+00	1.478542e-02	-3.967779e-02	4.234307e-02
2.143805e+00	1.392670e-02	-4.021071e-02	4.255413e-02
2.148802e+00	1.305910e-02	-4.072236e-02	4.276506e-02
2.153799e+00	1.218309e-02	-4.121262e-02	4.297566e-02
2.158796e+00	1.129915e-02	-4.168140e-02	4.318576e-02
2.163794e+00	1.040775e-02	-4.212863e-02	4.339519e-02
2.168791e+00	9.509351e-03	-4.255421e-02	4.360377e-02
2.173788e+00	8.604427e-03	-4.295810e-02	4.381135e-02
2.178785e+00	7.693447e-03	-4.334023e-02	4.401778e-02
2.183783e+00	6.776882e-03	-4.370055e-02	4.422290e-02
2.188780e+00	5.855200e-03	-4.403904e-02	4.442657e-02
2.193777e+00	4.928870e-03	-4.435565e-02	4.462866e-02
2.198774e+00	3.998359e-03	-4.465038e-02	4.482905e-02
2.203771e+00	3.064133e-03	-4.492322e-02	4.502759e-02
2.208769e+00	2.126657e-03	-4.517416e-02	4.522419e-02
2.213766e+00	1.186396e-03	-4.540321e-02	4.541871e-02
2.218763e+00	2.438109e-04	-4.561040e-02	4.561105e-02
2.223760e+00	-7.006377e-04	-4.579575e-02	4.580111e-02
2.228757e+00	-1.646491e-03	-4.595930e-02	4.598879e-02
2.233755e+00	-2.593294e-03	-4.610110e-02	4.617399e-02
2.238752e+00	-3.540592e-03	-4.622120e-02	4.635661e-02
2.243749e+00	-4.487933e-03	-4.631967e-02	4.653658e-02
2.248746e+00	-5.434869e-03	-4.639657e-02	4.671381e-02
2.253744e+00	-6.380953e-03	-4.645200e-02	4.688821e-02
2.258741e+00	-7.325744e-03	-4.648603e-02	4.705972e-02
2.263738e+00	-8.268800e-03	-4.649878e-02	4.722827e-02
2.268735e+00	-9.209685e-03	-4.649034e-02	4.739377e-02
2.273732e+00	-1.014797e-02	-4.646083e-02	4.755618e-02
2.278730e+00	-1.108321e-02	-4.641038e-02	4.771542e-02
2.283727e+00	-1.201500e-02	-4.633913e-02	4.787144e-02
2.288724e+00	-1.294291e-02	-4.624720e-02	4.802419e-02
2.293721e+00	-1.386652e-02	-4.613475e-02	4.817360e-02
2.298718e+00	-1.478542e-02	-4.600194e-02	4.831963e-02
2.303716e+00	-1.569919e-02	-4.584893e-02	4.846224e-02
2.308713e+00	-1.660744e-02	-4.567589e-02	4.860137e-02
2.313710e+00	-1.750976e-02	-4.548300e-02	4.873700e-02
2.318707e+00	-1.840576e-02	-4.527045e-02	4.886907e-02
2.323705e+00	-1.929505e-02	-4.503844e-02	4.899755e-02
2.328702e+00	-2.017724e-02	-4.478716e-02	4.912240e-02
2.333699e+00	-2.105195e-02	-4.451683e-02	4.924360e-02
2.338696e+00	-2.191881e-02	-4.422765e-02	4.936111e-02
2.343693e+00	-2.277745e-02	-4.391987e-02	4.947491e-02
2.348691e+00	-2.362750e-02	-4.359370e-02	4.958497e-02
2.353688e+00	-2.446861e-02	-4.324938e-02	4.969127e-02
2.358685e+00	-2.530043e-02	-4.288716e-02	4.979377e-02
2.363682e+00	-2.612260e-02	-4.250728e-02	4.989247e-02
2.368679e+00	-2.693479e-02	-4.211000e-02	4.998734e-02
2.373677e+00	-2.773666e-02	-4.169558e-02	5.007837e-02
2.378674e+00	-2.852789e-02	-4.126429e-02	5.016555e-02
2.383671e+00	-2.930815e-02	-4.081641e-02	5.024885e-02
2.388668e+00	-3.007714e-02	-4.035221e-02	5.032827e-02
2.393666e+00	-3.083453e-02	-3.987198e-02	5.040380e-02
2.398663e+00	-3.158003e-02	-3.937600e-02	5.047542e-02
2.403660e+00	-3.231334e-02	-3.886459e-02	5.054313e-02
2.408657e+00	-3.303418e-02	-3.833803e-02	5.060693e-02
2.413654e+00	-3.374226e-02	-3.779663e-02	5.066681e-02
2.418652e+00	-3.443731e-02	-3.724071e-02	5.072276e-02
2.423649e+00	-3.511907e-02	-3.667057e-02	5.077479e-02
2.428646e+00	-3.578726e-02	-3.608655e-02	5.082290e-02
2.433643e+00	-3.644164e-02	-3.548895e-02	5.086707e-02
2.438640e+00	-3.708196e-02	-3.487812e-02	5.090732e-02
2.443638e+00	-3.770799e-02	-3.425439e-02	5.094365e-02
2.448635e+00	-3.831949e-02	-3.361809e-02	5.097607e-02
2.453632e+00	-3.891625e-02	-3.296956e-02	5.100457e-02
2.458629e+00	-3.949803e-02	-3.230914e-02	5.102916e-02
2.463627e+00	-4.006464e-02	-3.163719e-02	5.104985e-02
2.468624e+00	-4.061588e-02	-3.095406e-02	5.106666e-02
2.473621e+00	-4.115155e-02	-3.026009e-02	5.107958e-02
2.478618e+00	-4.167146e-02	-2.955566e-02	5.108862e-02
2.483615e+00	-4.217544e-02	-2.884110e-02	5.109381e-02
2.488613e+00	-4.266333e-02	-2.811680e-02	5.109514e-02
2.493610e+00	-4.313495e-02	-2.738311e-02	5.109264e-02
2.498607e+00	-4.359015e-02	-2.664039e-02	5.108632e-02
2.503604e+00	-4.402879e-02	-2.588903e-02	5.107618e-02
2.508601e+00	-4.445073e-02	-2.512939e-02	5.106225e-02
2.513599e+00	-4.485584e-02	-2.436184e-02	5.104455e-02
2.518596e+00	-4.524400e-02	-2.358676e-02	5.102308e-02
2.523593e+00	-4.561509e-02	-2.280453e-02	5.099787e-02
2.528590e+00	-4.596900e-02	-2.201552e-02	5.096893e-02
2.533588e+00	-4.630565e-02	-2.122011e-02	5.093629e-02
2.538585e+00	-4.662493e-02	-2.041868e-02	5.089997e-02
2.543582e+00	-4.692676e-02	-1.961162e-02	5.085997e-02
2.548579e+00	-4.721108e-02	-1.879930e-02	5.081633e-02
2.553576e+00	-4.747781e-02	-1.798210e-02	5.076907e-02
2.558574e+00	-4.772690e-02	-1.716041e-02	5.071821e-02
2.563571e+00	-4.795830e-02	-1.633461e-02	5.066377e-02
2.568568e+00	-4.817196e-02	-1.550509e-02	5.060578e-02
2.573565e+00	-4.836785e-02	-1.467221e-02	5.054426e-02
2.578562e+00	-4.854594e-02	-1.383638e-02	5.047924e-02
2.583560e+00	-4.870621e-02	-1.299796e-02	5.041073e-02
2.588557e+00	-4.884866e-02	-1.215735e-02	5.033878e-02
2.593554e+00	-4.897328e-02	-1.131491e-02	5.026340e-02
2.598551e+00	-4.908007e-02	-1.047103e-02	5.018462e-02
2.603549e+00	-4.916906e-02	-9.626092e-03	5.010247e-02
2.608546e+00	-4.924025e-02	-8.780466e-03	5.001698e-02
2.613543e+00	-4.929367e-02	-7.934530e-03	4.992818e-02
2.618540e+00	-4.932937e-02	-7.088658e-03	4.983609e-02
2.623537e+00	-4.934739e-02	-6.243223e-03	4.974075e-02
2.628535e+00	-4.934777e-02	-5.398596e-03	4.964219e-02
2.633532e+00	-4.933057e-02	-4.555145e-03	4.954043e-02
2.638529e+00	-4.929587e-02	-3.713237e-03	4.943552e-02
2.643526e+00	-4.924372e-02	-2.873235e-03	4.932747e-02
2.648523e+00	-4.917422e-02	-2.035503e-03	4.921633e-02
2.653521e+00	-4.908745e-02	-1.200399e-03	4.910213e-02
2.658518e+00	-4.898351e-02	-3.682803e-04	4.898490e-02
2.663515e+00	-4.886250e-02	4.604996e-04	4.886467e-02
2.668512e+00	-4.872452e-02	1.285590e-03	4.874147e-02
2.673510e+00	-4.856969e-02	2.106642e-03	4.861535e-02
2.678507e+00	-4.839814e-02	2.923313e-03	4.848634e-02
2.683504e+00	-4.820999e-02	3.735260e-03	4.835447e-02
2.688501e+00	-4.800538e-02	4.542146e-03	4.821978e-02
2.693498e+00	-4.778446e-02	5.343637e-03	4.808231e-02
2.698496e+00	-4.754736e-02	6.139402e-03	4.794209e-02
2.703493e+00	-4.729426e-02	6.929115e-03	4.779916e-02
2.708490e+00	-4.702531e-02	7.712454e-03	4.765356e-02
2.713487e+00	-4.674067e-02	8.489100e-03	4.750532e-02
2.718484e+00	-4.644053e-02	9.258739e-03	4.735448e-02
2.723482e+00	-4.612506e-02	1.002106e-02	4.720109e-02
2.728479e+00	-4.579445e-02	1.077576e-02	4.704518e-02
2.733476e+00	-4.544890e-02	1.152254e-02	4.688679e-02
2.738473e+00	-4.508859e-02	1.226110e-02	4.672596e-02
2.743471e+00	-4.471374e-02	1.299114e-02	4.656274e-02
2.748468e+00	-4.432456e-02	1.371239e-02	4.639716e-02
2.753465e+00	-4.392125e-02	1.442457e-02	4.622926e-02
2.758462e+00	-4.350404e-02	1.512738e-02	4.605908e-02
2.763459e+00	-4.307315e-02	1.582057e-02	4.588668e-02
2.768457e+00	-4.262882e-02	1.650387e-02	4.571208e-02
2.773454e+00	-4.217128e-02	1.717702e-02	4.553533e-02
2.778451e+00	-4.170076e-02	1.783976e-02	4.535648e-02
2.783448e+00	-4.121752e-02	1.849184e-02	4.517557e-02
2.788445e+00	-4.072180e-02	1.913302e-02	4.499264e-02
2.793443e+00	-4.021386e-02	1.976306e-02	4.480773e-02
2.798440e+00	-3.969395e-02	2.038173e-02	4.462090e-02
2.803437e+00	-3.916234e-02	2.098880e-02	4.443218e-02
2.808434e+00	-3.861929e-02	2.158405e-02	4.424162e-02
2.813432e+00	-3.806507e-02	2.216726e-02	4.404926e-02
2.818429e+00	-3.749997e-02	2.273824e-02	4.385516e-02
2.823426e+00	-3.692425e-02	2.329676e-02	4.365935e-02
2.828423e+00	-3.633819e-02	2.384265e-02	4.346189e-02
2.833420e+00	-3.574209e-02	2.437570e-02	4.326282e-02
2.838418e+00	-3.513623e-02	2.489574e-02	4.306219e-02
2.843415e+00	-3.452090e-02	2.540258e-02	4.286005e-02
2.848412e+00	-3.389639e-02	2.589607e-02	4.265644e-02
2.853409e+00	-3.326301e-02	2.637602e-02	4.245141e-02
2.858406e+00	-3.262105e-02	2.684228e-02	4.224501e-02
2.863404e+00	-3.197081e-02	2.729471e-02	4.203729e-02
2.868401e+00	-3.131260e-02	2.773315e-02	4.182830e-02
2.873398e+00	-3.064673e-02	2.815747e-02	4.161809e-02
2.878395e+00	-2.997351e-02	2.856754e-02	4.140671e-02
2.883393e+00	-2.929325e-02	2.896323e-02	4.119421e-02
2.888390e+00	-2.860626e-02	2.934442e-02	4.098064e-02
2.893387e+00	-2.791285e-02	2.971100e-02	4.076605e-02
2.898384e+00	-2.721335e-02	3.006288e-02	4.055050e-02
2.903381e+00	-2.650807e-02	3.039993e-02	4.033403e-02
2.908379e+00	-2.579733e-02	3.072209e-02	4.011669e-02
2.913376e+00	-2.508145e-02	3.102926e-02	3.989855e-02
2.918373e+00	-2.436076e-02	3.132137e-02	3.967965e-02
2.923370e+00	-2.363557e-02	3.159834e-02	3.946005e-02
2.928367e+00	-2.290622e-02	3.186011e-02	3.923979e-02
2.933365e+00	-2.217302e-02	3.210662e-02	3.901894e-02
2.938362e+00	-2.143630e-02	3.233783e-02	3.879755e-02
2.943359e+00	-2.069638e-02	3.255369e-02	3.857567e-02
2.948356e+00	-1.995360e-02	3.275415e-02	3.835337e-02
2.953354e+00	-1.920827e-02	3.293921e-02	3.813068e-02
2.958351e+00	-1.846071e-02	3.310882e-02	3.790768e-02
2.963348e+00	-1.771127e-02	3.326297e-02	3.768441e-02
2.968345e+00	-1.696026e-02	3.340166e-02	3.746093e-02
2.973342e+00	-1.620800e-02	3.352488e-02	3.723730e-02
2.978340e+00	-1.545482e-02	3.363263e-02	3.701358e-02
2.983337e+00	-1.470104e-02	3.372493e-02	3.678983e-02
2.988334e+00	-1.394698e-02	3.380179e-02	3.656610e-02
2.993331e+00	-1.319297e-02	3.386324e-02	3.634245e-02
2.998328e+00	-1.243932e-02	3.390930e-02	3.611893e-02
3.003326e+00	-1.168635e-02	3.394002e-02	3.589562e-02
3.008323e+00	-1.093439e-02	3.395543e-02	3.567257e-02
3.013320e+00	-1.018373e-02	3.395559e-02	3.544983e-02
3.018317e+00	-9.434713e-03	3.394055e-02	3.522748e-02
3.023315e+00	-8.687634e-03	3.391038e-02	3.500556e-02
3.028312e+00	-7.942805e-03	3.386515e-02	3.478414e-02
3.033309e+00	-7.200537e-03	3.380492e-02	3.456328e-02
3.038306e+00	-6.461134e-03	3.372978e-02	3.434304e-02
3.043303e+00	-5.724900e-03	3.363983e-02	3.412349e-02
3.048301e+00	-4.992137e-03	3.353514e-02	3.390468e-02
3.053298e+00	-4.263143e-03	3.341583e-02	3.368668e-02
3.058295e+00	-3.538214e-03	3.328200e-02	3.346955e-02
3.063292e+00	-2.817644e-03	3.313376e-02	3.325335e-02
3.068289e+00	-2.101723e-03	3.297123e-02	3.303814e-02
3.073287e+00	-1.390738e-03	3.279452e-02	3.282400e-02
3.078284e+00	-6.849730e-04	3.260378e-02	3.261098e-02
3.083281e+00	1.529051e-05	3.239913e-02	3.239914e-02
3.088278e+00	7.097751e-04	3.218072e-02	3.218855e-02
3.093276e+00	1.398207e-03	3.194869e-02	3.197927e-02
3.098273e+00	2.080314e-03	3.170319e-02	3.177137e-02
3.103270e+00	2.755831e-03	3.144438e-02	3.156491e-02
3.108267e+00	3.424495e-03	3.117242e-02	3.135996e-02
3.113264e+00	4.086044e-03	3.088747e-02	3.115657e-02
3.118262e+00	4.740226e-03	3.058972e-02	3.095481e-02
3.123259e+00	5.386787e-03	3.027933e-02	3.075476e-02
3.128256e+00	6.025481e-03	2.995648e-02	3.055646e-02
3.133253e+00	6.656065e-03	2.962137e-02	3.035998e-02
3.138250e+00	7.278300e-03	2.927418e-02	3.016540e-02
3.143248e+00	7.891952e-03	2.891511e-02	2.997276e-02
3.148245e+00	8.496791e-03	2.854436e-02	2.978214e-02
3.153242e+00	9.092592e-03	2.816213e-02	2.959359e-02
3.158239e+00	9.679135e-03	2.776863e-02	2.940719e-02
3.163236e+00	1.025620e-02	2.736408e-02	2.922298e-02
3.168234e+00	1.082359e-02	2.694869e-02	2.904104e-02
3.173231e+00	1.138108e-02	2.652269e-02	2.886142e-02
3.178228e+00	1.192848e-02	2.608629e-02	2.868419e-02
3.183225e+00	1.246559e-02	2.563972e-02	2.850941e-02
3.188223e+00	1.299223e-02	2.518323e-02	2.833713e-02
3.193220e+00	1.350819e-02	2.471703e-02	2.816741e-02
3.198217e+00	1.401332e-02	2.424138e-02	2.800031e-02
3.203214e+00	1.450742e-02	2.375651e-02	2.783589e-02
3.208211e+00	1.499033e-02	2.326267e-02	2.767421e-02
3.213209e+00	1.546188e-02	2.276011e-02	2.751531e-02
3.218206e+00	1.592192e-02	2.224908e-02	2.735926e-02
3.223203e+00	1.637030e-02	2.172983e-02	2.720610e-02
3.228200e+00	1.680685e-02	2.120262e-02	2.705589e-02
3.233197e+00	1.723145e-02	2.066771e-02	2.690868e-02
3.238195e+00	1.764396e-02	2.012536e-02	2.676451e-02
3.243192e+00	1.804423e-02	1.957583e-02	2.662344e-02
3.248189e+00	1.843216e-02	1.901940e-02	2.648551e-02
3.253186e+00	1.880761e-02	1.845633e-02	2.635075e-02
3.258184e+00	1.917048e-02	1.788689e-02	2.621923e-02
3.263181e+00	1.952065e-02	1.731135e-02	2.609097e-02
3.268178e+00	1.985803e-02	1.672999e-02	2.596601e-02
3.273175e+00	2.018251e-02	1.614308e-02	2.584440e-02
3.278172e+00	2.049401e-02	1.555090e-02	2.572616e-02
3.283170e+00	2.079245e-02	1.495373e-02	2.561132e-02
3.288167e+00	2.107774e-02	1.435185e-02	2.549993e-02
3.293164e+00	2.134981e-02	1.374554e-02	2.539201e-02
3.298161e+00	2.160859e-02	1.313507e-02	2.528757e-02
3.303158e+00	2.185403e-02	1.252075e-02	2.518665e-02
3.308156e+00	2.208606e-02	1.190284e-02	2.508927e-02
3.313153e+00	2.230465e-02	1.128163e-02	2.499545e-02
3.318150e+00	2.250974e-02	1.065740e-02	2.490519e-02
3.323147e+00	2.270130e-02	1.003045e-02	2.481852e-02
3.328145e+00	2.287929e-02	9.401053e-03	2.473544e-02
3.333142e+00	2.304371e-02	8.769498e-03	2.465596e-02
3.338139e+00	2.319451e-02	8.136069e-03	2.458009e-02
3.343136e+00	2.333170e-02	7.501053e-03	2.450783e-02
3.348133e+00	2.345526e-02	6.864733e-03	2.443918e-02
3.353131e+00	2.356519e-02	6.227394e-03	2.437414e-02
3.358128e+00	2.366150e-02	5.589321e-03	2.431269e-02
3.363125e+00	2.374419e-02	4.950797e-03	2.425484e-02
3.368122e+00	2.381329e-02	4.312105e-03	2.420056e-02
3.373119e+00	2.386882e-02	3.673526e-03	2.414985e-02
3.378117e+00	2.391079e-02	3.035341e-03	2.410268e-02
3.383114e+00	2.393926e-02	2.397831e-03	2.405905e-02
3.388111e+00	2.395425e-02	1.761275e-03	2.401891e-02
3.393108e+00	2.395581e-02	1.125948e-03	2.398226e-02
3.398106e+00	2.394399e-02	4.921283e-04	2.394905e-02
3.403103e+00	2.391885e-02	-1.399109e-04	2.391926e-02
3.408100e+00	2.388045e-02	-7.698968e-04	2.389286e-02
3.413097e+00	2.382886e-02	-1.397558e-03	2.386981e-02
3.418094e+00	2.376415e-02	-2.022626e-03	2.385007e-02
3.423092e+00	2.368640e-02	-2.644833e-03	2.383360e-02
3.428089e+00	2.359569e-02	-3.263915e-03	2.382036e-02
3.433086e+00	2.349211e-02	-3.879609e-03	2.381030e-02
3.438083e+00	2.337575e-02	-4.491653e-03	2.380338e-02
3.443080e+00	2.324673e-02	-5.099791e-03	2.379954e-02
3.448078e+00	2.310513e-02	-5.703766e-03	2.379874e-02
3.453075e+00	2.295107e-02	-6.303326e-03	2.380091e-02
3.458072e+00	2.278467e-02	-6.898221e-03	2.380602e-02
3.463069e+00	2.260604e-02	-7.488203e-03	2.381399e-02
3.468067e+00	2.241531e-02	-8.073027e-03	2.382477e-02
3.473064e+00	2.221260e-02	-8.652452e-03	2.383830e-02
3.478061e+00	2.199807e-02	-9.226240e-03	2.385453e-02
3.483058e+00	2.177183e-02	-9.794156e-03	2.387338e-02
3.488055e+00	2.153404e-02	-1.035597e-02	2.389479e-02
3.493053e+00	2.128485e-02	-1.091145e-02	2.391870e-02
3.498050e+00	2.102440e-02	-1.146037e-02	2.394505e-02
3.503047e+00	2.075285e-02	-1.200251e-02	2.397376e-02
3.508044e+00	2.047037e-02	-1.253766e-02	2.400477e-02
3.513041e+00	2.017713e-02	-1.306559e-02	2.403801e-02
3.518039e+00	1.987328e-02	-1.358610e-02	2.407342e-02
3.523036e+00	1.955901e-02	-1.409899e-02	2.411091e-02
3.528033e+00	1.923449e-02	-1.460404e-02	2.415044e-02
3.533030e+00	1.889990e-02	-1.510107e-02	2.419191e-02
3.538028e+00	1.855543e-02	-1.558988e-02	2.423527e-02
3.543025e+00	1.820127e-02	-1.607027e-02	2.428044e-02
3.548022e+00	1.783762e-02	-1.654206e-02	2.432736e-02
3.553019e+00	1.746466e-02	-1.700507e-02	2.437595e-02
3.558016e+00	1.708260e-02	-1.745912e-02	2.442614e-02
3.563014e+00	1.669164e-02	-1.790405e-02	2.447786e-02
3.568011e+00	1.629198e-02	-1.833967e-02	2.453105e-02
3.573008e+00	1.588384e-02	-1.876584e-02	2.458563e-02
3.578005e+00	1.546743e-02	-1.918238e-02	2.464153e-02
3.583002e+00	1.504297e-02	-1.958915e-02	2.469870e-02
3.588000e+00	1.461067e-02	-1.998599e-02	2.475704e-02
3.592997e+00	1.417074e-02	-2.037276e-02	2.481651e-02
3.597994e+00	1.372343e-02	-2.074932e-02	2.487703e-02
3.602991e+00	1.326895e-02	-2.111553e-02	2.493854e-02
3.607989e+00	1.280753e-02	-2.147127e-02	2.500097e-02
3.612986e+00	1.233940e-02	-2.181641e-02	2.506425e-02
3.617983e+00	1.186479e-02	-2.215083e-02	2.512832e-02
3.622980e+00	1.138395e-02	-2.247441e-02	2.519312e-02
3.627977e+00	1.089710e-02	-2.278704e-02	2.525858e-02
3.632975e+00	1.040449e-02	-2.308862e-02	2.532465e-02
3.637972e+00	9.906353e-03	-2.337905e-02	2.539125e-02
3.642969e+00	9.402936e-03	-2.365823e-02	2.545834e-02
3.647966e+00	8.894481e-03	-2.392608e-02	2.552585e-02
3.652963e+00	8.381235e-03	-2.418250e-02	2.559372e-02
3.657961e+00	7.863442e-03	-2.442742e-02	2.566189e-02
3.662958e+00	7.341353e-03	-2.466077e-02	2.573032e-02
3.667955e+00	6.815214e-03	-2.488248e-02	2.579893e-02
3.672952e+00	6.285278e-03	-2.509248e-02	2.586769e-02
3.677950e+00	5.751794e-03	-2.529072e-02	2.593653e-02
3.682947e+00	5.215014e-03	-2.547713e-02	2.600540e-02
3.687944e+00	4.675190e-03	-2.565169e-02	2.607425e-02
3.692941e+00	4.132576e-03	-2.581433e-02	2.614303e-02
3.697938e+00	3.587424e-03	-2.596503e-02	2.621169e-02
3.702936e+00	3.039990e-03	-2.610376e-02	2.628018e-02
3.707933e+00	2.490525e-03	-2.623048e-02	2.634845e-02
3.712930e+00	1.939285e-03	-2.634518e-02	2.641646e-02
3.717927e+00	1.386524e-03	-2.644784e-02	2.648416e-02
3.722924e+00	8.324951e-04	-2.653846e-02	2.655151e-02
3.727922e+00	2.774527e-04	-2.661701e-02	2.661846e-02
3.732919e+00	-2.783501e-04	-2.668352e-02	2.668497e-02
3.737916e+00	-8.346600e-04	-2.673797e-02	2.675100e-02
3.742913e+00	-1.391225e-03	-2.678039e-02	2.681650e-02
3.747911e+00	-1.947792e-03	-2.681078e-02	2.688144e-02
3.752908e+00	-2.504112e-03	-2.682918e-02	2.694578e-02
3.757905e+00	-3.059933e-03	-2.683560e-02	2.700949e-02
3.762902e+00	-3.615006e-03	-2.683007e-02	2.707251e-02
3.767899e+00	-4.169084e-03	-2.681264e-02	2.713483e-02
3.772897e+00	-4.721918e-03	-2.678334e-02	2.719639e-02
3.777894e+00	-5.273264e-03	-2.674222e-02	2.725718e-02
3.782891e+00	-5.822876e-03	-2.668934e-02	2.731715e-02
3.787888e+00	-6.370513e-03	-2.662474e-02	2.737627e-02
3.792885e+00	-6.915932e-03	-2.654850e-02	2.743452e-02
3.797883e+00	-7.458894e-03	-2.646067e-02	2.749186e-02
3.802880e+00	-7.999161e-03	-2.636133e-02	2.754825e-02
3.807877e+00	-8.536497e-03	-2.625056e-02	2.760369e-02
3.812874e+00	-9.070668e-03	-2.612843e-02	2.765812e-02
3.817872e+00	-9.601442e-03	-2.599503e-02	2.771154e-02
3.822869e+00	-1.012859e-02	-2.585046e-02	2.776391e-02
3.827866e+00	-1.065188e-02	-2.569480e-02	2.781520e-02
3.832863e+00	-1.117109e-02	-2.552816e-02	2.786540e-02
3.837860e+00	-1.168600e-02	-2.535064e-02	2.791447e-02
3.842858e+00	-1.219639e-02	-2.516235e-02	2.796240e-02
3.847855e+00	-1.270204e-02	-2.496340e-02	2.800916e-02
3.852852e+00	-1.320273e-02	-2.475391e-02	2.805473e-02
3.857849e+00	-1.369825e-02	-2.453400e-02	2.809910e-02
3.862846e+00	-1.418840e-02	-2.430379e-02	2.814223e-02
3.867844e+00	-1.467296e-02	-2.406343e-02	2.818412e-02
3.872841e+00	-1.515174e-02	-2.381303e-02	2.822473e-02
3.877838e+00	-1.562453e-02	-2.355274e-02	2.826407e-02
3.882835e+00	-1.609114e-02	-2.328270e-02	2.830210e-02
3.887833e+00	-1.655136e-02	-2.300305e-02	2.833881e-02
3.892830e+00	-1.700502e-02	-2.271395e-02	2.837419e-02
3.897827e+00	-1.745193e-02	-2.241555e-02	2.840821e-02
3.902824e+00	-1.789189e-02	-2.210800e-02	2.844088e-02
3.907821e+00	-1.832474e-02	-2.179147e-02	2.847217e-02
3.912819e+00	-1.875029e-02	-2.146612e-02	2.850206e-02
3.917816e+00	-1.916837e-02	-2.113211e-02	2.853056e-02
3.922813e+00	-1.957882e-02	-2.078962e-02	2.855764e-02
3.927810e+00	-1.998146e-02	-2.043883e-02	2.858329e-02
3.932807e+00	-2.037614e-02	-2.007990e-02	2.860751e-02
3.937805e+00	-2.076271e-02	-1.971302e-02	2.863028e-02
3.942802e+00	-2.114099e-02	-1.933836e-02	2.865160e-02
3.947799e+00	-2.151086e-02	-1.895613e-02	2.867145e-02
3.952796e+00	-2.187215e-02	-1.856650e-02	2.868982e-02
3.957794e+00	-2.222474e-02	-1.816967e-02	2.870672e-02
3.962791e+00	-2.256848e-02	-1.776584e-02	2.872213e-02
3.967788e+00	-2.290324e-02	-1.735519e-02	2.873605e-02
3.972785e+00	-2.322889e-02	-1.693792e-02	2.874847e-02
3.977782e+00	-2.354531e-02	-1.651425e-02	2.875938e-02
3.982780e+00	-2.385238e-02	-1.608436e-02	2.876878e-02
3.987777e+00	-2.414999e-02	-1.564848e-02	2.877667e-02
3.992774e+00	-2.443802e-02	-1.520680e-02	2.878304e-02
3.997771e+00	-2.471637e-02	-1.475954e-02	2.878789e-02
4.002768e+00	-2.498493e-02	-1.430690e-02	2.879122e-02
4.007766e+00	-2.524361e-02	-1.384910e-02	2.879301e-02
4.012763e+00	-2.549232e-02	-1.338637e-02	2.879328e-02
4.017760e+00	-2.573097e-02	-1.291890e-02	2.879202e-02
4.022757e+00	-2.595947e-02	-1.244693e-02	2.878923e-02
4.027755e+00	-2.617774e-02	-1.197066e-02	2.878491e-02
4.032752e+00	-2.638572e-02	-1.149033e-02	2.877906e-02
4.037749e+00	-2.658334e-02	-1.100615e-02	2.877167e-02
4.042746e+00	-2.677052e-02	-1.051835e-02	2.876276e-02
4.047743e+00	-2.694721e-02	-1.002715e-02	2.875232e-02
4.052741e+00	-2.711336e-02	-9.532781e-03	2.874036e-02
4.057738e+00	-2.726891e-02	-9.035462e-03	2.872687e-02
4.062735e+00	-2.741382e-02	-8.535421e-03	2.871186e-02
4.067732e+00	-2.754804e-02	-8.032887e-03	2.869533e-02
4.072729e+00	-2.767155e-02	-7.528087e-03	2.867729e-02
4.077727e+00	-2.778431e-02	-7.021250e-03	2.865774e-02
4.082724e+00	-2.788630e-02	-6.512602e-03	2.863668e-02
4.087721e+00	-2.797749e-02	-6.002374e-03	2.861413e-02
4.092718e+00	-2.805786e-02	-5.490794e-03	2.859008e-02
4.097716e+00	-2.812741e-02	-4.978091e-03	2.856454e-02
4.102713e+00	-2.818613e-02	-4.464492e-03	2.853751e-02
4.107710e+00	-2.823401e-02	-3.950227e-03	2.850901e-02
4.112707e+00	-2.827107e-02	-3.435523e-03	2.847904e-02
4.117704e+00	-2.829729e-02	-2.920609e-03	2.844761e-02
4.122702e+00	-2.831271e-02	-2.405710e-03	2.841473e-02
4.127699e+00	-2.831732e-02	-1.891055e-03	2.838039e-02
4.132696e+00	-2.831116e-02	-1.376868e-03	2.834462e-02
4.137693e+00	-2.829425e-02	-8.633755e-04	2.830742e-02
4.142690e+00	-2.826663e-02	-3.508008e-04	2.826880e-02
4.147688e+00	-2.822832e-02	1.606326e-04	2.822877e-02
4.152685e+00	-2.817936e-02	6.707026e-04	2.818734e-02
4.157682e+00	-2.811981e-02	1.179188e-03	2.814452e-02
