# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.000000e+00    2.532053e+07    8.665962e+07
1.000000e-02    2.387185e+06    2.547588e+06
2.000000e-02    1.720696e+06    1.802161e+06
3.000000e-02    1.421893e+06    1.476995e+06
4.000000e-02    1.234585e+06    1.275653e+06
5.000000e-02    1.107819e+06    1.140622e+06
6.000000e-02    1.016978e+06    1.044494e+06
7.000000e-02    9.447048e+05    9.683071e+05
8.000000e-02    8.815111e+05    9.018595e+05
9.000000e-02    8.357765e+05    8.540149e+05
1.000000e-01    7.906123e+05    8.067739e+05
1.100000e-01    7.575039e+05    7.722919e+05
1.200000e-01    7.249658e+05    7.384134e+05
1.300000e-01    6.962892e+05    7.085972e+05
1.400000e-01    6.731525e+05    6.846086e+05
1.500000e-01    6.500158e+05    6.606200e+05
1.600000e-01    6.279835e+05    6.377869e+05
1.700000e-01    6.114466e+05    6.207038e+05
1.800000e-01    5.950030e+05    6.037182e+05
1.900000e-01    5.785593e+05    5.867327e+05
2.000000e-01    5.623911e+05    5.700339e+05
2.100000e-01    5.506596e+05    5.579552e+05
2.200000e-01    5.389779e+05    5.459283e+05
2.300000e-01    5.272963e+05    5.339014e+05
2.400000e-01    5.156146e+05    5.218746e+05
2.500000e-01    5.040045e+05    5.099219e+05
2.600000e-01    4.952349e+05    5.009146e+05
2.700000e-01    4.869394e+05    4.923988e+05
2.800000e-01    4.786440e+05    4.838830e+05
2.900000e-01    4.703485e+05    4.753672e+05
3.000000e-01    4.620530e+05    4.668514e+05
3.100000e-01    4.537575e+05    4.583356e+05
3.200000e-01    4.463698e+05    4.507575e+05
3.300000e-01    4.404810e+05    4.447278e+05
3.400000e-01    4.345922e+05    4.386980e+05
3.500000e-01    4.287034e+05    4.326682e+05
3.600000e-01    4.228146e+05    4.266384e+05
3.700000e-01    4.169258e+05    4.206086e+05
3.800000e-01    4.110370e+05    4.145789e+05
3.900000e-01    4.051482e+05    4.085491e+05
4.000000e-01    3.997501e+05    4.030245e+05
4.100000e-01    3.954039e+05    3.985829e+05
4.200000e-01    3.912249e+05    3.943134e+05
4.300000e-01    3.870458e+05    3.900438e+05
4.400000e-01    3.828668e+05    3.857742e+05
4.500000e-01    3.786877e+05    3.815047e+05
4.600000e-01    3.745087e+05    3.772351e+05
4.700000e-01    3.703297e+05    3.729655e+05
4.800000e-01    3.661506e+05    3.686960e+05
4.900000e-01    3.619716e+05    3.644264e+05
5.000000e-01    3.579494e+05    3.603179e+05
5.100000e-01    3.546835e+05    3.569856e+05
5.200000e-01    3.517187e+05    3.539624e+05
5.300000e-01    3.487538e+05    3.509391e+05
5.400000e-01    3.457889e+05    3.479159e+05
5.500000e-01    3.428241e+05    3.448927e+05
5.600000e-01    3.398592e+05    3.418694e+05
5.700000e-01    3.368944e+05    3.388462e+05
5.800000e-01    3.339295e+05    3.358229e+05
5.900000e-01    3.309647e+05    3.327997e+05
6.000000e-01    3.279998e+05    3.297764e+05
6.100000e-01    3.250349e+05    3.267532e+05
6.200000e-01    3.220701e+05    3.237299e+05
6.300000e-01    3.192452e+05    3.208500e+05
6.400000e-01    3.169198e+05    3.184814e+05
6.500000e-01    3.148169e+05    3.163406e+05
6.600000e-01    3.127140e+05    3.141998e+05
6.700000e-01    3.106111e+05    3.120590e+05
6.800000e-01    3.085082e+05    3.099182e+05
6.900000e-01    3.064053e+05    3.077774e+05
7.000000e-01    3.043023e+05    3.056366e+05
7.100000e-01    3.021994e+05    3.034958e+05
7.200000e-01    3.000965e+05    3.013550e+05
7.300000e-01    2.979936e+05    2.992142e+05
7.400000e-01    2.958907e+05    2.970734e+05
7.500000e-01    2.937878e+05    2.949326e+05
7.600000e-01    2.916849e+05    2.927918e+05
7.700000e-01    2.895820e+05    2.906510e+05
7.800000e-01    2.874791e+05    2.885102e+05
7.900000e-01    2.854751e+05    2.864704e+05
8.000000e-01    2.836202e+05    2.845830e+05
8.100000e-01    2.821290e+05    2.830670e+05
8.200000e-01    2.806378e+05    2.815510e+05
8.300000e-01    2.791466e+05    2.800351e+05
8.400000e-01    2.776554e+05    2.785191e+05
8.500000e-01    2.761642e+05    2.770031e+05
8.600000e-01    2.746730e+05    2.754871e+05
8.700000e-01    2.731818e+05    2.739711e+05
8.800000e-01    2.716906e+05    2.724552e+05
8.900000e-01    2.701994e+05    2.709392e+05
9.000000e-01    2.687082e+05    2.694232e+05
9.100000e-01    2.672170e+05    2.679072e+05
9.200000e-01    2.657258e+05    2.663912e+05
9.300000e-01    2.642346e+05    2.648753e+05
9.400000e-01    2.627434e+05    2.633593e+05
9.500000e-01    2.612522e+05    2.618433e+05
9.600000e-01    2.597610e+05    2.603273e+05
9.700000e-01    2.582698e+05    2.588114e+05
9.800000e-01    2.567786e+05    2.572954e+05
9.900000e-01    2.552874e+05    2.557794e+05
1.000000e+00    2.539462e+05    2.544164e+05
1.010000e+00    2.527812e+05    2.532330e+05
1.020000e+00    2.516817e+05    2.521163e+05
1.030000e+00    2.506245e+05    2.510427e+05
1.040000e+00    2.495673e+05    2.499692e+05
1.050000e+00    2.485101e+05    2.488956e+05
1.060000e+00    2.474529e+05    2.478220e+05
1.070000e+00    2.463957e+05    2.467485e+05
1.080000e+00    2.453385e+05    2.456749e+05
1.090000e+00    2.442812e+05    2.446013e+05
1.100000e+00    2.432240e+05    2.435278e+05
1.110000e+00    2.421668e+05    2.424542e+05
1.120000e+00    2.411096e+05    2.413806e+05
1.130000e+00    2.400524e+05    2.403071e+05
1.140000e+00    2.389952e+05    2.392335e+05
1.150000e+00    2.379380e+05    2.381599e+05
1.160000e+00    2.368808e+05    2.370864e+05
1.170000e+00    2.358235e+05    2.360128e+05
1.180000e+00    2.347663e+05    2.349392e+05
1.190000e+00    2.337091e+05    2.338657e+05
1.200000e+00    2.326519e+05    2.327921e+05
1.210000e+00    2.315947e+05    2.317186e+05
1.220000e+00    2.305375e+05    2.306450e+05
1.230000e+00    2.294803e+05    2.295714e+05
1.240000e+00    2.284231e+05    2.284979e+05
1.250000e+00    2.274316e+05    2.274912e+05
1.260000e+00    2.264557e+05    2.265004e+05
1.270000e+00    2.255923e+05    2.256241e+05
1.280000e+00    2.248429e+05    2.248638e+05
1.290000e+00    2.240936e+05    2.241035e+05
1.300000e+00    2.233442e+05    2.233432e+05
1.310000e+00    2.225948e+05    2.225829e+05
1.320000e+00    2.218454e+05    2.218226e+05
1.330000e+00    2.210960e+05    2.210623e+05
1.340000e+00    2.203466e+05    2.203020e+05
1.350000e+00    2.195973e+05    2.195417e+05
1.360000e+00    2.188479e+05    2.187814e+05
1.370000e+00    2.180985e+05    2.180211e+05
1.380000e+00    2.173491e+05    2.172607e+05
1.390000e+00    2.165997e+05    2.165004e+05
1.400000e+00    2.158503e+05    2.157401e+05
1.410000e+00    2.151010e+05    2.149798e+05
1.420000e+00    2.143516e+05    2.142195e+05
1.430000e+00    2.136022e+05    2.134592e+05
1.440000e+00    2.128528e+05    2.126989e+05
1.450000e+00    2.121034e+05    2.119386e+05
1.460000e+00    2.113540e+05    2.111783e+05
1.470000e+00    2.106047e+05    2.104180e+05
1.480000e+00    2.098553e+05    2.096577e+05
1.490000e+00    2.091059e+05    2.088974e+05
1.500000e+00    2.083565e+05    2.081371e+05
1.510000e+00    2.076071e+05    2.073768e+05
1.520000e+00    2.068577e+05    2.066165e+05
1.530000e+00    2.061084e+05    2.058562e+05
1.540000e+00    2.053590e+05    2.050959e+05
1.550000e+00    2.046096e+05    2.043356e+05
1.560000e+00    2.038602e+05    2.035753e+05
1.570000e+00    2.031108e+05    2.028150e+05
1.580000e+00    2.023897e+05    2.020834e+05
1.590000e+00    2.018099e+05    2.014954e+05
1.600000e+00    2.012300e+05    2.009074e+05
1.610000e+00    2.006614e+05    2.003307e+05
1.620000e+00    2.001303e+05    1.997922e+05
1.630000e+00    1.995992e+05    1.992537e+05
1.640000e+00    1.990681e+05    1.987152e+05
1.650000e+00    1.985370e+05    1.981768e+05
1.660000e+00    1.980059e+05    1.976383e+05
1.670000e+00    1.974748e+05    1.970998e+05
1.680000e+00    1.969437e+05    1.965613e+05
1.690000e+00    1.964126e+05    1.960228e+05
1.700000e+00    1.958815e+05    1.954843e+05
1.710000e+00    1.953505e+05    1.949459e+05
1.720000e+00    1.948194e+05    1.944074e+05
1.730000e+00    1.942883e+05    1.938689e+05
1.740000e+00    1.937572e+05    1.933304e+05
1.750000e+00    1.932261e+05    1.927919e+05
1.760000e+00    1.926950e+05    1.922534e+05
1.770000e+00    1.921639e+05    1.917150e+05
1.780000e+00    1.916328e+05    1.911765e+05
1.790000e+00    1.911017e+05    1.906380e+05
1.800000e+00    1.905706e+05    1.900995e+05
1.810000e+00    1.900395e+05    1.895610e+05
1.820000e+00    1.895085e+05    1.890225e+05
1.830000e+00    1.889774e+05    1.884840e+05
1.840000e+00    1.884463e+05    1.879456e+05
1.850000e+00    1.879152e+05    1.874071e+05
1.860000e+00    1.873841e+05    1.868686e+05
1.870000e+00    1.868530e+05    1.863301e+05
1.880000e+00    1.863219e+05    1.857916e+05
1.890000e+00    1.857908e+05    1.852531e+05
1.900000e+00    1.852597e+05    1.847147e+05
1.910000e+00    1.847286e+05    1.841762e+05
1.920000e+00    1.841975e+05    1.836377e+05
1.930000e+00    1.836665e+05    1.830992e+05
1.940000e+00    1.831354e+05    1.825607e+05
1.950000e+00    1.826043e+05    1.820222e+05
1.960000e+00    1.820732e+05    1.814838e+05
1.970000e+00    1.815456e+05    1.809488e+05
1.980000e+00    1.810593e+05    1.804558e+05
1.990000e+00    1.805730e+05    1.799628e+05
2.000000e+00    1.800867e+05    1.794697e+05
2.010000e+00    1.796458e+05    1.790228e+05
2.020000e+00    1.792695e+05    1.786414e+05
2.030000e+00    1.788932e+05    1.782600e+05
2.040000e+00    1.785168e+05    1.778786e+05
2.050000e+00    1.781405e+05    1.774972e+05
2.060000e+00    1.777642e+05    1.771158e+05
2.070000e+00    1.773879e+05    1.767344e+05
2.080000e+00    1.770115e+05    1.763530e+05
2.090000e+00    1.766352e+05    1.759716e+05
2.100000e+00    1.762589e+05    1.755901e+05
2.110000e+00    1.758826e+05    1.752087e+05
2.120000e+00    1.755063e+05    1.748273e+05
2.130000e+00    1.751299e+05    1.744459e+05
2.140000e+00    1.747536e+05    1.740645e+05
2.150000e+00    1.743773e+05    1.736831e+05
2.160000e+00    1.740010e+05    1.733017e+05
2.170000e+00    1.736246e+05    1.729203e+05
2.180000e+00    1.732483e+05    1.725389e+05
2.190000e+00    1.728720e+05    1.721575e+05
2.200000e+00    1.724957e+05    1.717761e+05
2.210000e+00    1.721193e+05    1.713946e+05
2.220000e+00    1.717430e+05    1.710132e+05
2.230000e+00    1.713667e+05    1.706318e+05
2.240000e+00    1.709904e+05    1.702504e+05
2.250000e+00    1.706140e+05    1.698690e+05
2.260000e+00    1.702377e+05    1.694876e+05
2.270000e+00    1.698614e+05    1.691062e+05
2.280000e+00    1.694851e+05    1.687248e+05
2.290000e+00    1.691087e+05    1.683434e+05
2.300000e+00    1.687324e+05    1.679620e+05
2.310000e+00    1.683561e+05    1.675805e+05
2.320000e+00    1.679798e+05    1.671991e+05
2.330000e+00    1.676034e+05    1.668177e+05
2.340000e+00    1.672271e+05    1.664363e+05
2.350000e+00    1.668508e+05    1.660549e+05
2.360000e+00    1.664745e+05    1.656735e+05
2.370000e+00    1.660982e+05    1.652921e+05
2.380000e+00    1.657218e+05    1.649107e+05
2.390000e+00    1.653455e+05    1.645293e+05
2.400000e+00    1.649692e+05    1.641479e+05
2.410000e+00    1.645929e+05    1.637664e+05
2.420000e+00    1.642165e+05    1.633850e+05
2.430000e+00    1.638402e+05    1.630036e+05
2.440000e+00    1.634639e+05    1.626222e+05
2.450000e+00    1.630876e+05    1.622408e+05
2.460000e+00    1.627112e+05    1.618594e+05
2.470000e+00    1.623349e+05    1.614780e+05
2.480000e+00    1.619586e+05    1.610966e+05
2.490000e+00    1.615823e+05    1.607152e+05
2.500000e+00    1.612059e+05    1.603338e+05
2.510000e+00    1.608943e+05    1.600180e+05
2.520000e+00    1.606059e+05    1.597257e+05
2.530000e+00    1.603175e+05    1.594334e+05
2.540000e+00    1.600291e+05    1.591412e+05
2.550000e+00    1.597425e+05    1.588507e+05
2.560000e+00    1.594758e+05    1.585805e+05
2.570000e+00    1.592092e+05    1.583103e+05
2.580000e+00    1.589426e+05    1.580401e+05
2.590000e+00    1.586760e+05    1.577699e+05
2.600000e+00    1.584094e+05    1.574998e+05
2.610000e+00    1.581428e+05    1.572296e+05
2.620000e+00    1.578761e+05    1.569594e+05
2.630000e+00    1.576095e+05    1.566892e+05
2.640000e+00    1.573429e+05    1.564191e+05
2.650000e+00    1.570763e+05    1.561489e+05
2.660000e+00    1.568097e+05    1.558787e+05
2.670000e+00    1.565431e+05    1.556085e+05
2.680000e+00    1.562764e+05    1.553383e+05
2.690000e+00    1.560098e+05    1.550682e+05
2.700000e+00    1.557432e+05    1.547980e+05
2.710000e+00    1.554766e+05    1.545278e+05
2.720000e+00    1.552100e+05    1.542576e+05
2.730000e+00    1.549434e+05    1.539875e+05
2.740000e+00    1.546767e+05    1.537173e+05
2.750000e+00    1.544101e+05    1.534471e+05
2.760000e+00    1.541435e+05    1.531769e+05
2.770000e+00    1.538769e+05    1.529067e+05
2.780000e+00    1.536103e+05    1.526366e+05
2.790000e+00    1.533437e+05    1.523664e+05
2.800000e+00    1.530770e+05    1.520962e+05
2.810000e+00    1.528104e+05    1.518260e+05
2.820000e+00    1.525438e+05    1.515559e+05
2.830000e+00    1.522772e+05    1.512857e+05
2.840000e+00    1.520106e+05    1.510155e+05
2.850000e+00    1.517440e+05    1.507453e+05
2.860000e+00    1.514773e+05    1.504751e+05
2.870000e+00    1.512107e+05    1.502050e+05
2.880000e+00    1.509441e+05    1.499348e+05
2.890000e+00    1.506775e+05    1.496646e+05
2.900000e+00    1.504109e+05    1.493944e+05
2.910000e+00    1.501443e+05    1.491242e+05
2.920000e+00    1.498776e+05    1.488541e+05
2.930000e+00    1.496110e+05    1.485839e+05
2.940000e+00    1.493444e+05    1.483137e+05
2.950000e+00    1.490778e+05    1.480435e+05
2.960000e+00    1.488112e+05    1.477734e+05
2.970000e+00    1.485446e+05    1.475032e+05
2.980000e+00    1.482779e+05    1.472330e+05
2.990000e+00    1.480113e+05    1.469628e+05
3.000000e+00    1.477447e+05    1.466926e+05
3.010000e+00    1.474781e+05    1.464225e+05
3.020000e+00    1.472115e+05    1.461523e+05
3.030000e+00    1.469449e+05    1.458821e+05
3.040000e+00    1.466782e+05    1.456119e+05
3.050000e+00    1.464116e+05    1.453418e+05
3.060000e+00    1.461450e+05    1.450716e+05
3.070000e+00    1.458784e+05    1.448014e+05
3.080000e+00    1.456118e+05    1.445312e+05
3.090000e+00    1.453452e+05    1.442610e+05
3.100000e+00    1.450785e+05    1.439909e+05
3.110000e+00    1.448119e+05    1.437207e+05
3.120000e+00    1.445453e+05    1.434505e+05
3.130000e+00    1.442972e+05    1.431991e+05
3.140000e+00    1.440550e+05    1.429536e+05
3.150000e+00    1.438128e+05    1.427082e+05
3.160000e+00    1.435707e+05    1.424628e+05
3.170000e+00    1.433285e+05    1.422174e+05
3.180000e+00    1.430864e+05    1.419720e+05
3.190000e+00    1.428945e+05    1.417776e+05
3.200000e+00    1.427057e+05    1.415862e+05
3.210000e+00    1.425168e+05    1.413948e+05
3.220000e+00    1.423280e+05    1.412034e+05
3.230000e+00    1.421391e+05    1.410120e+05
3.240000e+00    1.419502e+05    1.408206e+05
3.250000e+00    1.417614e+05    1.406292e+05
3.260000e+00    1.415725e+05    1.404378e+05
3.270000e+00    1.413836e+05    1.402464e+05
