# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
1.310000e+00    7.480067e+04    7.515749e+04
1.320000e+00    7.454845e+04    7.490199e+04
1.330000e+00    7.429622e+04    7.464649e+04
1.340000e+00    7.404400e+04    7.439099e+04
1.350000e+00    7.379178e+04    7.413550e+04
1.360000e+00    7.353955e+04    7.388000e+04
1.370000e+00    7.328733e+04    7.362450e+04
1.380000e+00    7.303510e+04    7.336900e+04
1.390000e+00    7.278288e+04    7.311351e+04
1.400000e+00    7.253066e+04    7.285801e+04
1.410000e+00    7.227843e+04    7.260251e+04
1.420000e+00    7.202621e+04    7.234702e+04
1.430000e+00    7.177399e+04    7.209152e+04
1.440000e+00    7.152176e+04    7.183602e+04
1.450000e+00    7.126954e+04    7.158052e+04
1.460000e+00    7.101731e+04    7.132503e+04
1.470000e+00    7.076509e+04    7.106953e+04
1.480000e+00    7.051287e+04    7.081403e+04
1.490000e+00    7.026064e+04    7.055853e+04
1.500000e+00    7.000842e+04    7.030304e+04
1.510000e+00    6.975619e+04    7.004754e+04
1.520000e+00    6.950397e+04    6.979204e+04
1.530000e+00    6.925175e+04    6.953654e+04
1.540000e+00    6.899952e+04    6.928105e+04
1.550000e+00    6.874730e+04    6.902555e+04
1.560000e+00    6.849508e+04    6.877005e+04
1.570000e+00    6.824285e+04    6.851456e+04
1.580000e+00    6.800014e+04    6.826873e+04
1.590000e+00    6.780495e+04    6.807116e+04
1.600000e+00    6.760976e+04    6.787360e+04
1.610000e+00    6.741833e+04    6.767986e+04
1.620000e+00    6.723954e+04    6.749896e+04
1.630000e+00    6.706076e+04    6.731806e+04
1.640000e+00    6.688197e+04    6.713716e+04
1.650000e+00    6.670318e+04    6.695626e+04
1.660000e+00    6.652439e+04    6.677536e+04
1.670000e+00    6.634560e+04    6.659446e+04
1.680000e+00    6.616682e+04    6.641357e+04
1.690000e+00    6.598803e+04    6.623267e+04
1.700000e+00    6.580924e+04    6.605177e+04
1.710000e+00    6.563045e+04    6.587087e+04
1.720000e+00    6.545166e+04    6.568997e+04
1.730000e+00    6.527288e+04    6.550907e+04
1.740000e+00    6.509409e+04    6.532817e+04
1.750000e+00    6.491530e+04    6.514727e+04
1.760000e+00    6.473651e+04    6.496637e+04
1.770000e+00    6.455773e+04    6.478547e+04
1.780000e+00    6.437894e+04    6.460458e+04
1.790000e+00    6.420015e+04    6.442368e+04
1.800000e+00    6.402136e+04    6.424278e+04
1.810000e+00    6.384257e+04    6.406188e+04
1.820000e+00    6.366379e+04    6.388098e+04
1.830000e+00    6.348500e+04    6.370008e+04
1.840000e+00    6.330621e+04    6.351918e+04
1.850000e+00    6.312742e+04    6.333828e+04
1.860000e+00    6.294864e+04    6.315738e+04
1.870000e+00    6.276985e+04    6.297648e+04
1.880000e+00    6.259106e+04    6.279558e+04
1.890000e+00    6.241227e+04    6.261469e+04
1.900000e+00    6.223348e+04    6.243379e+04
1.910000e+00    6.205470e+04    6.225289e+04
1.920000e+00    6.187591e+04    6.207199e+04
1.930000e+00    6.169712e+04    6.189109e+04
1.940000e+00    6.151833e+04    6.171019e+04
1.950000e+00    6.133955e+04    6.152929e+04
1.960000e+00    6.116076e+04    6.134839e+04
1.970000e+00    6.098314e+04    6.116869e+04
1.980000e+00    6.081943e+04    6.100307e+04
1.990000e+00    6.065571e+04    6.083746e+04
2.000000e+00    6.049199e+04    6.067184e+04
2.010000e+00    6.034356e+04    6.052173e+04
2.020000e+00    6.021685e+04    6.039365e+04
2.030000e+00    6.009014e+04    6.026557e+04
2.040000e+00    5.996342e+04    6.013748e+04
2.050000e+00    5.983671e+04    6.000940e+04
2.060000e+00    5.971000e+04    5.988132e+04
2.070000e+00    5.958328e+04    5.975323e+04
2.080000e+00    5.945657e+04    5.962515e+04
2.090000e+00    5.932986e+04    5.949707e+04
2.100000e+00    5.920314e+04    5.936898e+04
2.110000e+00    5.907643e+04    5.924090e+04
2.120000e+00    5.894972e+04    5.911281e+04
2.130000e+00    5.882301e+04    5.898473e+04
2.140000e+00    5.869629e+04    5.885665e+04
2.150000e+00    5.856958e+04    5.872856e+04
2.160000e+00    5.844287e+04    5.860048e+04
2.170000e+00    5.831615e+04    5.847240e+04
2.180000e+00    5.818944e+04    5.834431e+04
2.190000e+00    5.806273e+04    5.821623e+04
2.200000e+00    5.793601e+04    5.808814e+04
2.210000e+00    5.780930e+04    5.796006e+04
2.220000e+00    5.768259e+04    5.783198e+04
2.230000e+00    5.755587e+04    5.770389e+04
2.240000e+00    5.742916e+04    5.757581e+04
2.250000e+00    5.730245e+04    5.744773e+04
2.260000e+00    5.717573e+04    5.731964e+04
2.270000e+00    5.704902e+04    5.719156e+04
2.280000e+00    5.692231e+04    5.706347e+04
2.290000e+00    5.679559e+04    5.693539e+04
2.300000e+00    5.666888e+04    5.680731e+04
2.310000e+00    5.654217e+04    5.667922e+04
2.320000e+00    5.641545e+04    5.655114e+04
2.330000e+00    5.628874e+04    5.642306e+04
2.340000e+00    5.616203e+04    5.629497e+04
2.350000e+00    5.603531e+04    5.616689e+04
2.360000e+00    5.590860e+04    5.603880e+04
2.370000e+00    5.578189e+04    5.591072e+04
2.380000e+00    5.565517e+04    5.578264e+04
2.390000e+00    5.552846e+04    5.565455e+04
2.400000e+00    5.540175e+04    5.552647e+04
2.410000e+00    5.527503e+04    5.539839e+04
2.420000e+00    5.514832e+04    5.527030e+04
2.430000e+00    5.502161e+04    5.514222e+04
