# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.000000e+00    4.052648e+08    3.254519e+08
1.000000e-02    4.294554e+06    4.315942e+06
2.000000e-02    2.301508e+06    3.758133e+06
3.000000e-02    2.035565e+06    4.022332e+06
4.000000e-02    2.489833e+06    3.902191e+06
5.000000e-02    2.902582e+06    3.223662e+06
6.000000e-02    2.812321e+06    2.362916e+06
7.000000e-02    2.271961e+06    1.809064e+06
8.000000e-02    1.690212e+06    1.754573e+06
9.000000e-02    1.463183e+06    2.015129e+06
1.000000e-01    1.590122e+06    2.170389e+06
1.100000e-01    1.826064e+06    2.033101e+06
1.200000e-01    1.851704e+06    1.682914e+06
1.300000e-01    1.615991e+06    1.406400e+06
1.400000e-01    1.314556e+06    1.387852e+06
1.500000e-01    1.171600e+06    1.549198e+06
1.600000e-01    1.250371e+06    1.671721e+06
1.700000e-01    1.412551e+06    1.610558e+06
1.800000e-01    1.450035e+06    1.398184e+06
1.900000e-01    1.304225e+06    1.214896e+06
2.000000e-01    1.094895e+06    1.196466e+06
2.100000e-01    9.990704e+05    1.318936e+06
2.200000e-01    1.060585e+06    1.419423e+06
2.300000e-01    1.179570e+06    1.379762e+06
2.400000e-01    1.210280e+06    1.224989e+06
2.500000e-01    1.102978e+06    1.088291e+06
2.600000e-01    9.509796e+05    1.081722e+06
2.700000e-01    8.783008e+05    1.179696e+06
2.800000e-01    9.285219e+05    1.263118e+06
2.900000e-01    1.026219e+06    1.236783e+06
3.000000e-01    1.055088e+06    1.117612e+06
3.100000e-01    9.730587e+05    1.010901e+06
3.200000e-01    8.494123e+05    1.005012e+06
3.300000e-01    7.905214e+05    1.087160e+06
3.400000e-01    8.326951e+05    1.158873e+06
3.500000e-01    9.150380e+05    1.140692e+06
3.600000e-01    9.414046e+05    1.045075e+06
3.700000e-01    8.752676e+05    9.587598e+05
3.800000e-01    7.716846e+05    9.549532e+05
3.900000e-01    7.195572e+05    1.023162e+06
4.000000e-01    7.541381e+05    1.084205e+06
4.100000e-01    8.259684e+05    1.071466e+06
4.200000e-01    8.510737e+05    9.924052e+05
4.300000e-01    7.967726e+05    9.205266e+05
4.400000e-01    7.098165e+05    9.194800e+05
4.500000e-01    6.668121e+05    9.805203e+05
4.600000e-01    6.978843e+05    1.034822e+06
4.700000e-01    7.596328e+05    1.023089e+06
4.800000e-01    7.804155e+05    9.529024e+05
4.900000e-01    7.315640e+05    8.888795e+05
5.000000e-01    6.542239e+05    8.871424e+05
5.100000e-01    6.168674e+05    9.419106e+05
5.200000e-01    6.472094e+05    9.915572e+05
5.300000e-01    7.052501e+05    9.827878e+05
5.400000e-01    7.270104e+05    9.223082e+05
5.500000e-01    6.870633e+05    8.672738e+05
5.600000e-01    6.213672e+05    8.673654e+05
5.700000e-01    5.898664e+05    9.165239e+05
5.800000e-01    6.170546e+05    9.606281e+05
5.900000e-01    6.686541e+05    9.523931e+05
6.000000e-01    6.877693e+05    8.976593e+05
6.100000e-01    6.513085e+05    8.476633e+05
6.200000e-01    5.914896e+05    8.473705e+05
6.300000e-01    5.629572e+05    8.917786e+05
6.400000e-01    5.884597e+05    9.326916e+05
6.500000e-01    6.366223e+05    9.267629e+05
6.600000e-01    6.553790e+05    8.786000e+05
6.700000e-01    6.235675e+05    8.347407e+05
6.800000e-01    5.705964e+05    8.362093e+05
6.900000e-01    5.458620e+05    8.779748e+05
7.000000e-01    5.694345e+05    9.155459e+05
7.100000e-01    6.132944e+05    9.098110e+05
7.200000e-01    6.301043e+05    8.653428e+05
7.300000e-01    6.005464e+05    8.249462e+05
7.400000e-01    5.516285e+05    8.260957e+05
7.500000e-01    5.286144e+05    8.642846e+05
7.600000e-01    5.500504e+05    8.986384e+05
7.700000e-01    5.903474e+05    8.926405e+05
7.800000e-01    6.064890e+05    8.497866e+05
7.900000e-01    5.801101e+05    8.109696e+05
8.000000e-01    5.361783e+05    8.108963e+05
8.100000e-01    5.170607e+05    8.459302e+05
8.200000e-01    5.392126e+05    8.772845e+05
8.300000e-01    5.784958e+05    8.715882e+05
8.400000e-01    5.945758e+05    8.329354e+05
8.500000e-01    5.709769e+05    7.978282e+05
8.600000e-01    5.307861e+05    7.984878e+05
8.700000e-01    5.130822e+05    8.310068e+05
8.800000e-01    5.336828e+05    8.599978e+05
8.900000e-01    5.702125e+05    8.544770e+05
9.000000e-01    5.850738e+05    8.182320e+05
9.100000e-01    5.628339e+05    7.853985e+05
9.200000e-01    5.252374e+05    7.860488e+05
9.300000e-01    5.087028e+05    8.163779e+05
9.400000e-01    5.280107e+05    8.433832e+05
9.500000e-01    5.622413e+05    8.380414e+05
9.600000e-01    5.760514e+05    8.038835e+05
9.700000e-01    5.551463e+05    7.730321e+05
9.800000e-01    5.199075e+05    7.735341e+05
9.900000e-01    5.044337e+05    8.018463e+05
1.000000e+00    5.229379e+05    8.273144e+05
1.010000e+00    5.557246e+05    8.226518e+05
1.020000e+00    5.693591e+05    7.912120e+05
1.030000e+00    5.501563e+05    7.620298e+05
1.040000e+00    5.173234e+05    7.617560e+05
1.050000e+00    5.032352e+05    7.876923e+05
1.060000e+00    5.209393e+05    8.104681e+05
1.070000e+00    5.516274e+05    8.044490e+05
1.080000e+00    5.640705e+05    7.730201e+05
1.090000e+00    5.456613e+05    7.446326e+05
1.100000e+00    5.145738e+05    7.442832e+05
1.110000e+00    5.013008e+05    7.686557e+05
1.120000e+00    5.180178e+05    7.899814e+05
1.130000e+00    5.469907e+05    7.840738e+05
1.140000e+00    5.586639e+05    7.541307e+05
1.150000e+00    5.410628e+05    7.271809e+05
1.160000e+00    5.115928e+05    7.268263e+05
1.170000e+00    4.990469e+05    7.498282e+05
1.180000e+00    5.149408e+05    7.699006e+05
1.190000e+00    5.424347e+05    7.640915e+05
1.200000e+00    5.533667e+05    7.354764e+05
1.210000e+00    5.365768e+05    7.098268e+05
