# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
1.310000e+00    8.249933e+05    1.013415e+06
1.320000e+00    8.327650e+05    9.876372e+05
1.330000e+00    8.153627e+05    9.646457e+05
1.340000e+00    7.878706e+05    9.647504e+05
1.350000e+00    7.752396e+05    9.849340e+05
1.360000e+00    7.872176e+05    1.002319e+06
1.370000e+00    8.090170e+05    9.971708e+05
1.380000e+00    8.163188e+05    9.723760e+05
1.390000e+00    7.994760e+05    9.503498e+05
1.400000e+00    7.730905e+05    9.504169e+05
1.410000e+00    7.609370e+05    9.696526e+05
1.420000e+00    7.723295e+05    9.861867e+05
1.430000e+00    7.930912e+05    9.811160e+05
1.440000e+00    7.998655e+05    9.572781e+05
1.450000e+00    7.836059e+05    9.361828e+05
1.460000e+00    7.582568e+05    9.362494e+05
1.470000e+00    7.465842e+05    9.546579e+05
1.480000e+00    7.575094e+05    9.703917e+05
1.490000e+00    7.773036e+05    9.653482e+05
1.500000e+00    7.836319e+05    9.424010e+05
1.510000e+00    7.678674e+05    9.221388e+05
1.520000e+00    7.434168e+05    9.222275e+05
1.530000e+00    7.322081e+05    9.399258e+05
1.540000e+00    7.426512e+05    9.549193e+05
1.550000e+00    7.615013e+05    9.499180e+05
1.560000e+00    7.673888e+05    9.277295e+05
1.570000e+00    7.520303e+05    9.081508e+05
1.580000e+00    7.284781e+05    9.083262e+05
1.590000e+00    7.182179e+05    9.258520e+05
1.600000e+00    7.287726e+05    9.407632e+05
1.610000e+00    7.474625e+05    9.365138e+05
1.620000e+00    7.537610e+05    9.158843e+05
1.630000e+00    7.395873e+05    8.978821e+05
1.640000e+00    7.175338e+05    8.987816e+05
1.650000e+00    7.078042e+05    9.158657e+05
1.660000e+00    7.181222e+05    9.304093e+05
1.670000e+00    7.362044e+05    9.264132e+05
1.680000e+00    7.421450e+05    9.065599e+05
1.690000e+00    7.284295e+05    8.892991e+05
1.700000e+00    7.071587e+05    8.902471e+05
1.710000e+00    6.977912e+05    9.067717e+05
1.720000e+00    7.077730e+05    9.207700e+05
1.730000e+00    7.251351e+05    9.168759e+05
1.740000e+00    7.307590e+05    8.977681e+05
1.750000e+00    7.174356e+05    8.812066e+05
1.760000e+00    6.968550e+05    8.822451e+05
1.770000e+00    6.878632e+05    8.983141e+05
1.780000e+00    6.975014e+05    9.118642e+05
1.790000e+00    7.142199e+05    9.081578e+05
1.800000e+00    7.195094e+05    8.898071e+05
1.810000e+00    7.064784e+05    8.739644e+05
