#Parameters = {Nmesh=17; sig_z=0.4; wakelength=200; xbeam=0; xshift=-0; ybeam=0; yshift=-0}
#"s / mm"	"Z [Real Part]"
#------------------------
-3.4195685278108	-1.1673934902491e-08
-3.4139932756688	-1.6955637785142e-08
-3.4084180235269	-2.6164990541972e-09
-3.4028427713849	-2.7408807956947e-09
-3.3972675192429	-2.8710811642662e-09
-3.3916922671009	-3.0074006318727e-09
-3.3861170149590	-3.1499260595557e-09
-3.3805417628170	-3.2989155742193e-09
-3.3749665106750	-3.4547794163065e-09
-3.3693912585330	-3.6176863345656e-09
-3.3638160063911	-3.7883308064317e-09
-3.3582407542491	-3.9670048290540e-09
-3.3526655021071	-4.1535976163448e-09
-3.3470902499651	-4.3488893323817e-09
-3.3415149978232	-4.5533487066503e-09
-3.3359397456812	-4.7671308775813e-09
-3.3303644935392	-4.9906169047035e-09
-3.3247892413973	-5.2242473612969e-09
-3.3192139892553	-5.4686272847449e-09
-3.3136387371133	-5.7242086366292e-09
-3.3080634849713	-5.9914401054870e-09
-3.3024882328294	-6.2709828773954e-09
-3.2969129806874	-6.5628225011544e-09
-3.2913377285454	-6.8674915576997e-09
-3.2857624764034	-7.1858954466954e-09
-3.2801872242615	-7.5194545109990e-09
-3.2746119721195	-7.8678060195865e-09
-3.2690367199775	-8.2316005083290e-09
-3.2634614678355	-8.6124562618124e-09
-3.2578862156936	-9.0099560873834e-09
-3.2523109635516	-9.4253366320716e-09
-3.2467357114096	-9.8585078554825e-09
-3.2411604592676	-1.0311784406760e-08
-3.2355852071257	-1.0785700011894e-08
-3.2300099549837	-1.1280200387830e-08
-3.2244347028417	-1.1796645628256e-08
-3.2188594506998	-1.2335635183785e-08
-3.2132841985578	-1.2899162184038e-08
-3.2077089464158	-1.3487732672310e-08
-3.2021336942738	-1.4102929178560e-08
-3.1965584421319	-1.4743765207422e-08
-3.1909831899899	-1.5412976536521e-08
-3.1854079378479	-1.6113140525502e-08
-3.1798326857059	-1.6843993221450e-08
-3.1742574335640	-1.7607032871400e-08
-3.1686821814220	-1.8403427313352e-08
-3.1631069292800	-1.9235547439879e-08
-3.1575316771380	-2.0104172407454e-08
-3.1519564249961	-2.1011040219179e-08
-3.1463811728541	-2.1957994617176e-08
-3.1408059207121	-2.2945691400597e-08
-3.1352306685701	-2.3976940411191e-08
-3.1296554164282	-2.5056160743428e-08
-3.1240801642862	-2.6179496974665e-08
-3.1185049121442	-2.7352349207028e-08
-3.1129296600023	-2.8575869138647e-08
-3.1073544078603	-2.9853570683961e-08
-3.1017791557183	-3.1187331722588e-08
-3.0962039035763	-3.2576727911556e-08
-3.0906286514344	-3.4026940474892e-08
-3.0850533992924	-3.5540322899805e-08
-3.0794781471504	-3.7117850743253e-08
-3.0739028950084	-3.8763115604860e-08
-3.0683276428665	-4.0476553091866e-08
-3.0627523907245	-4.2263861819253e-08
-3.0571771385825	-4.4131812178330e-08
-3.0516018864405	-4.6078101778122e-08
-3.0460266342986	-4.8106898422878e-08
-3.0404513821566	-5.0222107297578e-08
-3.0348761300146	-5.2423099448408e-08
-3.0293008778727	-5.4724091860659e-08
-3.0237256257307	-5.7121027018841e-08
-3.0181503735887	-5.9619237428647e-08
-3.0125751214467	-6.2224621887650e-08
-3.0069998693048	-6.4938008024095e-08
-3.0014246171628	-6.7767782016575e-08
-2.9958493650208	-7.0715267263475e-08
-2.9902741128788	-7.3787320405505e-08
-2.9846988607369	-7.6992806855258e-08
-2.9791236085949	-8.0333266030331e-08
-2.9735483564529	-8.3815171697757e-08
-2.9679731043109	-8.7441275142804e-08
-2.9623978521690	-9.1213647910553e-08
-2.9568226000270	-9.5147312078391e-08
-2.9512473478850	-9.9249267596443e-08
-2.9456720957430	-1.0351192607698e-07
-2.9400968436011	-1.0796094518721e-07
-2.9345215914591	-1.1259380376760e-07
-2.9289463393171	-1.1741450655140e-07
-2.9233710871752	-1.2244338253089e-07
-2.9177958350332	-1.2766876918437e-07
-2.9122205828912	-1.3311592614340e-07
-2.9066453307492	-1.3879837994901e-07
-2.9010700786073	-1.4470944194732e-07
-2.8954948264653	-1.5086850088030e-07
-2.8899195743233	-1.5726802550297e-07
-2.8843443221813	-1.6394408252085e-07
-2.8787690700394	-1.7089116513581e-07
-2.8731938178974	-1.7811679346774e-07
-2.8676185657554	-1.8565190891848e-07
-2.8620433136134	-1.9349981944843e-07
-2.8564680614715	-2.0163924298993e-07
-2.8508928093295	-2.1012021364915e-07
-2.8453175571875	-2.1894207624865e-07
-2.8397423050456	-2.2811252779438e-07
-2.8341670529036	-2.3764834518346e-07
-2.8285918007616	-2.4757558301670e-07
-2.8230165486196	-2.5791718962226e-07
-2.8174412964777	-2.6867388166075e-07
-2.8118660443357	-2.7986853203508e-07
-2.8062907921937	-2.9151541102442e-07
-2.8007155400517	-3.0364493846864e-07
-2.7951402879098	-3.1625362859098e-07
-2.7895650357678	-3.2936503240884e-07
-2.7839897836258	-3.4299004950856e-07
-2.7784145314838	-3.5716407341334e-07
-2.7728392793419	-3.7189586727439e-07
-2.7672640271999	-3.8726047157220e-07
-2.7616887750579	-4.0321929391798e-07
-2.7561135229159	-4.1978963984913e-07
-2.7505382707740	-4.3703337603021e-07
-2.7449630186320	-4.5494025776464e-07
-2.7393877664900	-4.7355456641984e-07
-2.7338125143481	-4.9291435782880e-07
-2.7282372622061	-5.1303040276314e-07
-2.7226620100641	-5.3398052554760e-07
-2.7170867579221	-5.5577013889750e-07
-2.7115115057802	-5.7835497974500e-07
-2.7059362536382	-6.0184777143486e-07
-2.7003610014962	-6.2623723093607e-07
-2.6947857493542	-6.5161364122024e-07
-2.6892104972123	-6.7792899057435e-07
-2.6836352450703	-7.0524800453024e-07
-2.6780599929283	-7.3362436572015e-07
-2.6724847407863	-7.6318068881913e-07
-2.6669094886444	-7.9386952947041e-07
-2.6613342365024	-8.2567587351188e-07
-2.6557589843604	-8.5878318469144e-07
-2.6501837322184	-8.9311905000837e-07
-2.6446084800765	-9.2876867910789e-07
-2.6390332279345	-9.6589720142473e-07
-2.6334579757925	-1.0044874335317e-06
