# Freq(GHz) Re(Z) Im(Z)
1.320000e+00 2.265214e+05 3.892410e+05
1.330000e+00 2.258046e+05 3.884767e+05
1.340000e+00 2.250879e+05 3.877125e+05
1.350000e+00 2.243712e+05 3.869483e+05
1.360000e+00 2.236545e+05 3.861841e+05
1.370000e+00 2.229378e+05 3.854199e+05
1.380000e+00 2.222212e+05 3.846557e+05
1.390000e+00 2.215045e+05 3.838916e+05
1.400000e+00 2.207879e+05 3.831275e+05
1.410000e+00 2.200713e+05 3.823633e+05
1.420000e+00 2.193548e+05 3.815993e+05
1.430000e+00 2.186383e+05 3.808352e+05
1.440000e+00 2.179217e+05 3.800712e+05
1.450000e+00 2.172052e+05 3.793071e+05
1.460000e+00 2.164887e+05 3.785432e+05
1.470000e+00 2.157723e+05 3.777792e+05
1.480000e+00 2.150558e+05 3.770152e+05
1.490000e+00 2.143394e+05 3.762512e+05
1.500000e+00 2.136230e+05 3.754873e+05
1.510000e+00 2.129066e+05 3.747234e+05
1.520000e+00 2.121903e+05 3.739595e+05
1.530000e+00 2.114739e+05 3.731956e+05
1.540000e+00 2.107576e+05 3.724317e+05
1.550000e+00 2.100413e+05 3.716679e+05
1.560000e+00 2.093250e+05 3.709041e+05
1.570000e+00 2.086087e+05 3.701402e+05
1.580000e+00 2.078924e+05 3.693764e+05
1.590000e+00 2.072871e+05 3.687263e+05
1.600000e+00 2.067882e+05 3.681852e+05
1.610000e+00 2.062892e+05 3.676440e+05
1.620000e+00 2.057903e+05 3.671028e+05
1.630000e+00 2.052914e+05 3.665617e+05
1.640000e+00 2.047925e+05 3.660206e+05
1.650000e+00 2.042936e+05 3.654795e+05
1.660000e+00 2.037947e+05 3.649384e+05
1.670000e+00 2.032959e+05 3.643973e+05
1.680000e+00 2.027970e+05 3.638563e+05
1.690000e+00 2.022982e+05 3.633152e+05
1.700000e+00 2.017994e+05 3.627742e+05
1.710000e+00 2.013006e+05 3.622331e+05
1.720000e+00 2.008018e+05 3.616921e+05
1.730000e+00 2.003031e+05 3.611511e+05
1.740000e+00 1.998043e+05 3.606101e+05
1.750000e+00 1.993056e+05 3.600692e+05
1.760000e+00 1.988068e+05 3.595282e+05
1.770000e+00 1.983081e+05 3.589872e+05
1.780000e+00 1.978094e+05 3.584463e+05
1.790000e+00 1.973107e+05 3.579054e+05
1.800000e+00 1.968121e+05 3.573644e+05
1.810000e+00 1.963134e+05 3.568235e+05
1.820000e+00 1.958147e+05 3.562826e+05
1.830000e+00 1.953161e+05 3.557417e+05
1.840000e+00 1.948175e+05 3.552008e+05
1.850000e+00 1.943188e+05 3.546600e+05
1.860000e+00 1.938202e+05 3.541191e+05
1.870000e+00 1.933216e+05 3.535782e+05
1.880000e+00 1.928231e+05 3.530374e+05
1.890000e+00 1.923245e+05 3.524966e+05
1.900000e+00 1.918259e+05 3.519557e+05
1.910000e+00 1.913273e+05 3.514149e+05
1.920000e+00 1.908288e+05 3.508741e+05
1.930000e+00 1.903303e+05 3.503333e+05
1.940000e+00 1.898318e+05 3.497925e+05
1.950000e+00 1.893333e+05 3.492518e+05
1.960000e+00 1.888348e+05 3.487110e+05
1.970000e+00 1.883362e+05 3.481702e+05
1.980000e+00 1.878378e+05 3.476295e+05
1.990000e+00 1.873393e+05 3.470887e+05
2.000000e+00 1.869139e+05 3.466226e+05
2.010000e+00 1.865697e+05 3.462395e+05
2.020000e+00 1.862255e+05 3.458564e+05
2.030000e+00 1.858813e+05 3.454732e+05
2.040000e+00 1.855371e+05 3.450901e+05
2.050000e+00 1.851930e+05 3.447071e+05
2.060000e+00 1.848488e+05 3.443240e+05
2.070000e+00 1.845046e+05 3.439409e+05
2.080000e+00 1.841604e+05 3.435578e+05
2.090000e+00 1.838163e+05 3.431747e+05
2.100000e+00 1.834722e+05 3.427916e+05
2.110000e+00 1.831281e+05 3.424086e+05
2.120000e+00 1.827840e+05 3.420255e+05
2.130000e+00 1.824398e+05 3.416425e+05
2.140000e+00 1.820957e+05 3.412594e+05
2.150000e+00 1.817517e+05 3.408764e+05
2.160000e+00 1.814076e+05 3.404934e+05
2.170000e+00 1.810635e+05 3.401104e+05
2.180000e+00 1.807195e+05 3.397274e+05
2.190000e+00 1.803754e+05 3.393444e+05
2.200000e+00 1.800313e+05 3.389613e+05
2.210000e+00 1.796873e+05 3.385784e+05
2.220000e+00 1.793433e+05 3.381954e+05
2.230000e+00 1.789993e+05 3.378124e+05
2.240000e+00 1.786553e+05 3.374294e+05
2.250000e+00 1.783112e+05 3.370465e+05
2.260000e+00 1.779672e+05 3.366635e+05
2.270000e+00 1.776232e+05 3.362805e+05
2.280000e+00 1.772793e+05 3.358976e+05
2.290000e+00 1.769353e+05 3.355147e+05
2.300000e+00 1.765913e+05 3.351317e+05
2.310000e+00 1.762474e+05 3.347488e+05
2.320000e+00 1.759034e+05 3.343658e+05
2.330000e+00 1.755595e+05 3.339829e+05
2.340000e+00 1.752155e+05 3.336000e+05
2.350000e+00 1.748716e+05 3.332171e+05
2.360000e+00 1.745277e+05 3.328342e+05
2.370000e+00 1.741838e+05 3.324513e+05
2.380000e+00 1.738399e+05 3.320684e+05
2.390000e+00 1.734959e+05 3.316855e+05
2.400000e+00 1.731521e+05 3.313026e+05
2.410000e+00 1.728082e+05 3.309198e+05
2.420000e+00 1.724643e+05 3.305369e+05
2.430000e+00 1.721204e+05 3.301540e+05
2.440000e+00 1.717766e+05 3.297711e+05
2.450000e+00 1.714327e+05 3.293883e+05
2.460000e+00 1.710889e+05 3.290054e+05
2.470000e+00 1.707450e+05 3.286226e+05
2.480000e+00 1.704012e+05 3.282397e+05
2.490000e+00 1.700574e+05 3.278569e+05
2.500000e+00 1.697135e+05 3.274741e+05
2.510000e+00 1.693697e+05 3.270912e+05
2.520000e+00 1.691147e+05 3.267989e+05
2.530000e+00 1.688803e+05 3.265277e+05
2.540000e+00 1.686460e+05 3.262564e+05
2.550000e+00 1.684117e+05 3.259852e+05
2.560000e+00 1.681773e+05 3.257139e+05
2.570000e+00 1.679430e+05 3.254427e+05
2.580000e+00 1.677087e+05 3.251715e+05
2.590000e+00 1.674743e+05 3.249002e+05
2.600000e+00 1.672400e+05 3.246290e+05
2.610000e+00 1.670057e+05 3.243578e+05
2.620000e+00 1.667714e+05 3.240866e+05
2.630000e+00 1.665372e+05 3.238154e+05
2.640000e+00 1.663029e+05 3.235442e+05
2.650000e+00 1.660686e+05 3.232730e+05
2.660000e+00 1.658343e+05 3.230018e+05
2.670000e+00 1.656000e+05 3.227306e+05
2.680000e+00 1.653658e+05 3.224594e+05
2.690000e+00 1.651315e+05 3.221882e+05
2.700000e+00 1.648973e+05 3.219170e+05
2.710000e+00 1.646630e+05 3.216458e+05
