# Freq(GHz) Re(Z) Im(Z)
1.290000e+00 -2.000033e+04 7.736516e+04
1.300000e+00 -4.856923e+03 9.845603e+04
1.310000e+00 2.059945e+04 9.600367e+04
1.320000e+00 3.094620e+04 7.300799e+04
1.330000e+00 1.611890e+04 5.279885e+04
1.340000e+00 -8.798171e+03 5.568597e+04
1.350000e+00 -1.885417e+04 7.865200e+04
1.360000e+00 -4.301103e+03 9.881928e+04
1.370000e+00 2.007330e+04 9.645360e+04
1.380000e+00 2.995004e+04 7.444128e+04
1.390000e+00 1.568225e+04 5.519751e+04
1.400000e+00 -8.128187e+03 5.804713e+04
1.410000e+00 -1.770839e+04 8.006902e+04
1.420000e+00 -3.743927e+03 9.939246e+04
1.430000e+00 1.958971e+04 9.711112e+04
1.440000e+00 2.893584e+04 7.606258e+04
1.450000e+00 1.524817e+04 5.775668e+04
1.460000e+00 -7.528962e+03 6.061277e+04
1.470000e+00 -1.662974e+04 8.181072e+04
1.480000e+00 -3.132585e+03 1.003340e+05
1.490000e+00 1.923354e+04 9.807997e+04
1.500000e+00 2.813381e+04 7.792232e+04
1.510000e+00 1.494125e+04 6.044962e+04
1.520000e+00 -6.937450e+03 6.332793e+04
1.530000e+00 -1.557425e+04 8.381576e+04
1.540000e+00 -2.525934e+03 1.016255e+05
1.550000e+00 1.897657e+04 9.947850e+04
1.560000e+00 2.751646e+04 8.014427e+04
1.570000e+00 1.481025e+04 6.341985e+04
1.580000e+00 -6.192015e+03 6.634614e+04
1.590000e+00 -1.441443e+04 8.610602e+04
1.600000e+00 -1.821921e+03 1.032514e+05
1.610000e+00 1.886526e+04 1.011952e+05
1.620000e+00 2.702481e+04 8.262145e+04
1.630000e+00 1.471217e+04 6.667510e+04
1.640000e+00 -5.480215e+03 6.963044e+04
1.650000e+00 -1.334869e+04 8.877037e+04
1.660000e+00 -1.169618e+03 1.053698e+05
1.670000e+00 1.877376e+04 1.034295e+05
1.680000e+00 2.657551e+04 8.563209e+04
1.690000e+00 1.472116e+04 7.042720e+04
1.700000e+00 -4.688540e+03 7.343104e+04
1.710000e+00 -1.219484e+04 9.201150e+04
1.720000e+00 -3.517931e+02 1.080657e+05
1.730000e+00 1.887144e+04 1.062276e+05
1.740000e+00 2.635664e+04 8.917562e+04
1.750000e+00 1.489441e+04 7.467006e+04
1.760000e+00 -3.824914e+03 7.776448e+04
1.770000e+00 -1.095545e+04 9.588941e+04
1.780000e+00 5.440167e+02 1.114955e+05
1.790000e+00 1.912388e+04 1.098451e+05
1.800000e+00 2.635719e+04 9.353273e+04
1.810000e+00 1.528889e+04 7.972446e+04
1.820000e+00 -2.715033e+03 8.298041e+04
1.830000e+00 -9.498073e+03 1.006650e+05
1.840000e+00 1.693876e+03 1.158968e+05
1.850000e+00 1.970044e+04 1.144564e+05
1.860000e+00 2.668890e+04 9.886871e+04
1.870000e+00 1.599307e+04 8.579941e+04
1.880000e+00 -1.330631e+03 8.921684e+04
1.890000e+00 -7.794468e+03 1.065759e+05
1.900000e+00 3.125650e+03 1.215624e+05
1.910000e+00 2.061081e+04 1.203967e+05
1.920000e+00 2.740477e+04 1.056236e+05
1.930000e+00 1.715312e+04 9.333121e+04
1.940000e+00 5.150539e+02 9.698905e+04
1.950000e+00 -5.606129e+03 1.141416e+05
1.960000e+00 5.120856e+03 1.289655e+05
1.970000e+00 2.213190e+04 1.282083e+05
1.980000e+00 2.882220e+04 1.143579e+05
1.990000e+00 1.905714e+04 1.029385e+05
2.000000e+00 3.143059e+03 1.069833e+05
2.010000e+00 -2.524903e+03 1.240927e+05
2.020000e+00 8.052992e+03 1.389451e+05
2.030000e+00 2.471475e+04 1.387930e+05
2.040000e+00 3.142699e+04 1.260333e+05
2.050000e+00 2.224507e+04 1.156916e+05
2.060000e+00 7.194087e+03 1.203760e+05
2.070000e+00 2.072722e+03 1.376928e+05
2.080000e+00 1.267881e+04 1.529094e+05
2.090000e+00 2.922661e+04 1.537106e+05
2.100000e+00 3.619914e+04 1.423987e+05
2.110000e+00 2.790530e+04 1.335360e+05
2.120000e+00 1.402817e+04 1.392416e+05
2.130000e+00 9.786653e+03 1.572661e+05
2.140000e+00 2.083159e+04 1.734364e+05
2.150000e+00 3.776063e+04 1.758251e+05
2.160000e+00 4.564160e+04 1.667182e+05
2.170000e+00 3.901838e+04 1.600887e+05
2.180000e+00 2.716252e+04 1.676491e+05
2.190000e+00 2.476930e+04 1.873574e+05
2.200000e+00 3.742502e+04 2.056236e+05
2.210000e+00 5.620148e+04 2.110519e+05
2.220000e+00 6.695027e+04 2.057377e+05
2.230000e+00 6.445074e+04 2.030098e+05
2.240000e+00 5.759927e+04 2.142104e+05
2.250000e+00 6.068491e+04 2.375817e+05
2.260000e+00 7.944719e+04 2.603132e+05
2.270000e+00 1.061074e+05 2.714641e+05
2.280000e+00 1.278415e+05 2.725827e+05
2.290000e+00 1.401262e+05 2.758360e+05
2.300000e+00 1.519803e+05 2.916205e+05
2.310000e+00 1.780673e+05 3.178830e+05
2.320000e+00 2.260556e+05 3.412495e+05
2.330000e+00 2.912600e+05 3.476122e+05
2.340000e+00 3.623885e+05 3.311558e+05
2.350000e+00 4.309031e+05 2.937861e+05
2.360000e+00 4.935315e+05 2.372179e+05
2.370000e+00 5.458735e+05 1.588436e+05
2.380000e+00 5.760348e+05 5.731351e+04
2.390000e+00 5.679477e+05 -5.750341e+04
2.400000e+00 5.145137e+05 -1.622133e+05
2.410000e+00 4.278312e+05 -2.313694e+05
2.420000e+00 3.356801e+05 -2.543693e+05
2.430000e+00 2.645651e+05 -2.431695e+05
2.440000e+00 2.227403e+05 -2.229686e+05
2.450000e+00 1.978943e+05 -2.127550e+05
2.460000e+00 1.715571e+05 -2.128620e+05
2.470000e+00 1.364087e+05 -2.097556e+05
2.480000e+00 1.013046e+05 -1.923341e+05
2.490000e+00 8.034963e+04 -1.641434e+05
2.500000e+00 7.741879e+04 -1.399625e+05
2.510000e+00 8.170221e+04 -1.311212e+05
2.520000e+00 7.799575e+04 -1.345139e+05
2.530000e+00 6.123974e+04 -1.359311e+05
2.540000e+00 4.101039e+04 -1.243345e+05
2.550000e+00 3.131814e+04 -1.026799e+05
2.560000e+00 3.644502e+04 -8.460444e+04
2.570000e+00 4.668498e+04 -8.068677e+04
2.580000e+00 4.797497e+04 -8.791576e+04
2.590000e+00 3.591270e+04 -9.274701e+04
2.600000e+00 1.983908e+04 -8.474488e+04
2.610000e+00 1.330974e+04 -6.678200e+04
2.620000e+00 2.055630e+04 -5.199745e+04
2.630000e+00 3.228329e+04 -5.060032e+04
2.640000e+00 3.506743e+04 -5.963168e+04
2.650000e+00 2.474026e+04 -6.611619e+04
2.660000e+00 1.035877e+04 -6.001061e+04
2.670000e+00 5.086542e+03 -4.412113e+04
2.680000e+00 1.299160e+04 -3.122620e+04
2.690000e+00 2.506664e+04 -3.115112e+04
2.700000e+00 2.836388e+04 -4.104816e+04
2.710000e+00 1.886142e+04 -4.834818e+04
2.720000e+00 5.394169e+03 -4.328987e+04
2.730000e+00 7.532758e+02 -2.870304e+04
2.740000e+00 8.838100e+03 -1.698320e+04
2.750000e+00 2.091246e+04 -1.766509e+04
2.760000e+00 2.438760e+04 -2.797762e+04
2.770000e+00 1.535732e+04 -3.564517e+04
2.780000e+00 2.509549e+03 -3.124439e+04
2.790000e+00 -1.754393e+03 -1.755196e+04
2.800000e+00 6.353066e+03 -6.637801e+03
2.810000e+00 1.830169e+04 -7.801879e+03
2.820000e+00 2.178851e+04 -1.829313e+04
2.830000e+00 1.311118e+04 -2.613000e+04
2.840000e+00 7.218055e+02 -2.216867e+04
2.850000e+00 -3.284650e+03 -9.131311e+03
2.860000e+00 4.785644e+03 1.170038e+03
2.870000e+00 1.653437e+04 -3.216040e+02
2.880000e+00 1.999630e+04 -1.084957e+04
2.890000e+00 1.158046e+04 -1.874480e+04
2.900000e+00 -4.469326e+02 -1.508585e+04
2.910000e+00 -4.232913e+03 -2.555857e+03
2.920000e+00 3.751628e+03 7.255075e+03
2.930000e+00 1.528527e+04 5.561853e+03
2.940000e+00 1.869989e+04 -4.934047e+03
2.950000e+00 1.049801e+04 -1.281813e+04
2.960000e+00 -1.189995e+03 -9.348229e+03
2.970000e+00 -4.791064e+03 2.741177e+03
2.980000e+00 3.098127e+03 1.214772e+04
2.990000e+00 1.443042e+04 1.029631e+04
3.000000e+00 1.777712e+04 -1.505418e+02
3.010000e+00 9.744945e+03 -7.967793e+03
3.020000e+00 -1.641919e+03 -4.680919e+03
3.030000e+00 -5.103395e+03 7.027635e+03
3.040000e+00 2.676970e+03 1.609123e+04
3.050000e+00 1.379124e+04 1.410658e+04
3.060000e+00 1.703311e+04 3.752601e+03
3.070000e+00 9.166658e+03 -3.978813e+03
3.080000e+00 -1.958945e+03 -8.255944e+02
3.090000e+00 -5.297769e+03 1.056658e+04
3.100000e+00 2.391753e+03 1.931448e+04
3.110000e+00 1.328155e+04 1.722869e+04
3.120000e+00 1.643714e+04 6.984975e+03
3.130000e+00 8.709564e+03 -6.604729e+02
3.140000e+00 -2.193425e+03 2.382200e+03
3.150000e+00 -5.404210e+03 1.349068e+04
3.160000e+00 2.156949e+03 2.195746e+04
3.170000e+00 1.281926e+04 1.981188e+04
3.180000e+00 1.587856e+04 9.691223e+03
3.190000e+00 8.260992e+03 2.160318e+03
3.200000e+00 -2.414486e+03 5.153836e+03
3.210000e+00 -5.525026e+03 1.600101e+04
3.220000e+00 1.919879e+03 2.423504e+04
3.230000e+00 1.238383e+04 2.204981e+04
3.240000e+00 1.534606e+04 1.205526e+04
3.250000e+00 7.840666e+03 4.664888e+03
3.260000e+00 -2.613295e+03 7.591951e+03
3.270000e+00 -5.628350e+03 1.820621e+04
3.280000e+00 1.713447e+03 2.623087e+04
3.290000e+00 1.197889e+04 2.399355e+04
3.300000e+00 1.484019e+04 1.414098e+04
3.310000e+00 7.453159e+03 6.882173e+03
3.320000e+00 -2.802767e+03 9.761135e+03
3.330000e+00 -5.729811e+03 2.017792e+04
3.340000e+00 1.532041e+03 2.799504e+04
3.350000e+00 1.160480e+04 2.573895e+04
3.360000e+00 1.439539e+04 1.603501e+04
3.370000e+00 7.129307e+03 8.900272e+03
3.380000e+00 -2.927143e+03 1.173971e+04
3.390000e+00 -5.729334e+03 2.195365e+04
3.400000e+00 1.431924e+03 2.956807e+04
3.410000e+00 1.132435e+04 2.728672e+04
3.420000e+00 1.403987e+04 1.770622e+04
3.430000e+00 6.864959e+03 1.069404e+04
3.440000e+00 -2.997316e+03 1.350848e+04
3.450000e+00 -5.715486e+03 2.352212e+04
3.460000e+00 1.347464e+03 3.095991e+04
3.470000e+00 1.107240e+04 2.866309e+04
3.480000e+00 1.369706e+04 1.920783e+04
3.490000e+00 6.621295e+03 1.233220e+04
3.500000e+00 -3.053347e+03 1.510705e+04
3.510000e+00 -5.690259e+03 2.493858e+04
3.520000e+00 1.285836e+03 3.221194e+04
3.530000e+00 1.083533e+04 2.987592e+04
3.540000e+00 1.337398e+04 2.055787e+04
3.550000e+00 6.395655e+03 1.380696e+04
3.560000e+00 -3.112649e+03 1.655350e+04
3.570000e+00 -5.669495e+03 2.622629e+04
3.580000e+00 1.233902e+03 3.332285e+04
3.590000e+00 1.061074e+04 3.098106e+04
3.600000e+00 1.307839e+04 2.179592e+04
3.610000e+00 6.189817e+03 1.516115e+04
3.620000e+00 -3.155833e+03 1.789451e+04
3.630000e+00 -5.615555e+03 2.740724e+04
3.640000e+00 1.197259e+03 3.434755e+04
3.650000e+00 1.041841e+04 3.199938e+04
3.660000e+00 1.282099e+04 2.293258e+04
3.670000e+00 6.007408e+03 1.642156e+04
3.680000e+00 -3.169031e+03 1.914012e+04
3.690000e+00 -5.555938e+03 2.849002e+04
3.700000e+00 1.172641e+03 3.528597e+04
3.710000e+00 1.024814e+04 3.292991e+04
3.720000e+00 1.255990e+04 2.397890e+04
3.730000e+00 5.830642e+03 1.759514e+04
3.740000e+00 -3.188673e+03 2.029340e+04
3.750000e+00 -5.505832e+03 2.950215e+04
3.760000e+00 1.154119e+03 3.616560e+04
3.770000e+00 1.007855e+04 3.378369e+04
3.780000e+00 1.232553e+04 2.496077e+04
3.790000e+00 5.683625e+03 1.868751e+04
3.800000e+00 -3.191757e+03 2.136420e+04
3.810000e+00 -5.434150e+03 3.043840e+04
3.820000e+00 1.157872e+03 3.695192e+04
3.830000e+00 9.931892e+03 3.457044e+04
3.840000e+00 1.211715e+04 2.586620e+04
3.850000e+00 5.551888e+03 1.969651e+04
3.860000e+00 -3.179230e+03 2.236978e+04
3.870000e+00 -5.341333e+03 3.130342e+04
3.880000e+00 1.169743e+03 3.768322e+04
3.890000e+00 9.805437e+03 3.529812e+04
3.900000e+00 1.192937e+04 2.669900e+04
3.910000e+00 5.421679e+03 2.064859e+04
3.920000e+00 -3.164276e+03 2.331156e+04
3.930000e+00 -5.264548e+03 3.211187e+04
3.940000e+00 1.174877e+03 3.837387e+04
3.950000e+00 9.684782e+03 3.598403e+04
3.960000e+00 1.172823e+04 2.749210e+04
3.970000e+00 5.300901e+03 2.155171e+04
3.980000e+00 -3.149085e+03 2.419619e+04
3.990000e+00 -5.191924e+03 3.287364e+04
4.000000e+00 1.184584e+03 3.901600e+04
4.010000e+00 9.553256e+03 3.660995e+04
4.020000e+00 1.153622e+04 2.823753e+04
4.030000e+00 5.181841e+03 2.240121e+04
4.040000e+00 -3.143726e+03 2.503495e+04
