# time [ns]	Wlong [V/pC]	Wxdip [V/pC.mm]	Wydip [V/pC.mm]
9.200000000000000e-02	-5.620530310374000e-01	-2.782210962800000e-02	-2.710692381878000e-02
9.300000000000000e-02	-5.839314157863000e-01	-2.757297613055000e-02	-2.679217913597000e-02
9.400000000000000e-02	-6.043173448582000e-01	-2.731492655316000e-02	-2.646819250173000e-02
9.500000000000000e-02	-6.247032739136001e-01	-2.705687697568000e-02	-2.614420586740000e-02
9.600000000000000e-02	-6.420234762489000e-01	-2.678258614132000e-02	-2.580365800238000e-02
9.700000000000000e-02	-6.593436785842000e-01	-2.650829530695000e-02	-2.546311013736000e-02
9.800000000000000e-02	-6.751048242187000e-01	-2.622670981503000e-02	-2.511527259150000e-02
9.900000000000000e-02	-6.893069131864001e-01	-2.593782966571000e-02	-2.476014536494000e-02
1.000000000000000e-01	-7.035090021370000e-01	-2.564894951633000e-02	-2.440501813831000e-02
1.010000000000000e-01	-7.145692089248999e-01	-2.534718044282000e-02	-2.403733731989000e-02
1.020000000000000e-01	-7.256294157127000e-01	-2.504541136930000e-02	-2.366965650146000e-02
1.030000000000000e-01	-7.351210626514000e-01	-2.473806585074000e-02	-2.329672599763000e-02
1.040000000000000e-01	-7.430441497751000e-01	-2.442514388726000e-02	-2.291854580850000e-02
1.050000000000000e-01	-7.509672368819000e-01	-2.411222192373000e-02	-2.254036561932000e-02
1.060000000000000e-01	-7.557861382931000e-01	-2.378990583601000e-02	-2.215375326388000e-02
1.070000000000000e-01	-7.606050397042000e-01	-2.346758974829000e-02	-2.176714090844000e-02
1.080000000000000e-01	-7.639020867483001e-01	-2.314146089172000e-02	-2.137734488602000e-02
1.090000000000000e-01	-7.656772794583001e-01	-2.281151926636000e-02	-2.098436519669000e-02
1.100000000000000e-01	-7.674524721522000e-01	-2.248157764097000e-02	-2.059138550734000e-02
1.110000000000000e-01	-7.662710869618000e-01	-2.214577608354000e-02	-2.019408583237000e-02
1.120000000000000e-01	-7.650897017714000e-01	-2.180997452611000e-02	-1.979678615741000e-02
1.130000000000000e-01	-7.624863499173001e-01	-2.147211802099000e-02	-1.939833405053000e-02
1.140000000000000e-01	-7.584610314305001e-01	-2.113220656823000e-02	-1.899872951176000e-02
1.150000000000000e-01	-7.544357129290001e-01	-2.079229511546000e-02	-1.859912497299000e-02
1.160000000000000e-01	-7.477032415081001e-01	-2.044999596423000e-02	-1.819918421574000e-02
1.170000000000000e-01	-7.409707700872000e-01	-2.010769681301000e-02	-1.779924345850000e-02
1.180000000000000e-01	-7.329643796941000e-01	-1.976504506330000e-02	-1.740008885591000e-02
1.190000000000000e-01	-7.236840703566000e-01	-1.942204071512000e-02	-1.700172040795000e-02
1.200000000000000e-01	-7.144037610062000e-01	-1.907903636695000e-02	-1.660335196001000e-02
1.210000000000000e-01	-7.027556564479001e-01	-1.873695828244000e-02	-1.620839130954000e-02
1.220000000000000e-01	-6.911075518896000e-01	-1.839488019793000e-02	-1.581343065908000e-02
1.230000000000000e-01	-6.783749380649000e-01	-1.805405008179000e-02	-1.542104908162000e-02
1.240000000000000e-01	-6.645578149973000e-01	-1.771446793397000e-02	-1.503124657710000e-02
1.250000000000000e-01	-6.507406919192000e-01	-1.737488578617000e-02	-1.464144407263000e-02
1.260000000000000e-01	-6.349699017092000e-01	-1.703929739530000e-02	-1.425845373837000e-02
1.270000000000000e-01	-6.191991114992000e-01	-1.670370900443000e-02	-1.387546340410000e-02
1.280000000000000e-01	-6.025662994758000e-01	-1.637082582198000e-02	-1.349665291323000e-02
1.290000000000000e-01	-5.850714656578001e-01	-1.604064784791000e-02	-1.312202226564000e-02
1.300000000000000e-01	-5.675766318318000e-01	-1.571046987387000e-02	-1.274739161812000e-02
1.310000000000000e-01	-5.485992284082000e-01	-1.538702933430000e-02	-1.238255255760000e-02
1.320000000000000e-01	-5.296218249846000e-01	-1.506358879472000e-02	-1.201771349708000e-02
1.330000000000000e-01	-5.100285410370000e-01	-1.474413186249000e-02	-1.165842438813000e-02
1.340000000000000e-01	-4.898193765786000e-01	-1.442865853753000e-02	-1.130468523062000e-02
1.350000000000000e-01	-4.696102121150000e-01	-1.411318521261000e-02	-1.095094607318000e-02
1.360000000000000e-01	-4.484268455115000e-01	-1.380680498754000e-02	-1.060948477477000e-02
1.370000000000000e-01	-4.272434789079000e-01	-1.350042476248000e-02	-1.026802347636000e-02
1.380000000000000e-01	-4.057038527405000e-01	-1.319909924462000e-02	-9.933222135274001e-03
1.390000000000000e-01	-3.838079670171000e-01	-1.290282843388000e-02	-9.605080751362001e-03
1.400000000000000e-01	-3.619120812912000e-01	-1.260655762319000e-02	-9.276939367528001e-03
1.410000000000000e-01	-3.395668422078000e-01	-1.232129830922000e-02	-8.963019776513001e-03
1.420000000000000e-01	-3.172216031244000e-01	-1.203603899525000e-02	-8.649100185498000e-03
1.430000000000000e-01	-2.947826966643000e-01	-1.175667754411000e-02	-8.342670844770000e-03
1.440000000000000e-01	-2.722501228296000e-01	-1.148321395567000e-02	-8.043731754166001e-03
1.450000000000000e-01	-2.497175489952000e-01	-1.120975036730000e-02	-7.744792663647001e-03
1.460000000000000e-01	-2.272559199751000e-01	-1.094874631182000e-02	-7.461447904585000e-03
1.470000000000000e-01	-2.047942909551000e-01	-1.068774225633000e-02	-7.178103145523001e-03
1.480000000000000e-01	-1.824941406348000e-01	-1.043323890630000e-02	-6.902789818140001e-03
1.490000000000000e-01	-1.603554690107000e-01	-1.018523626158000e-02	-6.635507922262001e-03
1.500000000000000e-01	-1.382167973897000e-01	-9.937233616930000e-03	-6.368226026472000e-03
1.510000000000000e-01	-1.166443899249000e-01	-9.702651877951000e-03	-6.117331067495001e-03
1.520000000000000e-01	-9.507198246018000e-02	-9.468070138973000e-03	-5.866436108517000e-03
1.530000000000000e-01	-7.389884474730000e-02	-9.240347703046001e-03	-5.623825464491000e-03
1.540000000000000e-01	-5.312497677765000e-02	-9.019484570024000e-03	-5.389499135237001e-03
1.550000000000000e-01	-3.235110881352000e-02	-8.798621437076002e-03	-5.155172806074000e-03
1.560000000000000e-01	-1.259483468032000e-02	-8.591654421978999e-03	-4.937457690736000e-03
1.570000000000000e-01	7.161439452882000e-03	-8.384687406882000e-03	-4.719742575398000e-03
1.580000000000000e-01	2.630701610170000e-02	-8.184698409290999e-03	-4.510287013228000e-03
1.590000000000000e-01	4.484189527938000e-02	-7.991687429053001e-03	-4.309091004049000e-03
1.600000000000000e-01	6.337677444942000e-02	-7.798676448891000e-03	-4.107894994958000e-03
1.610000000000000e-01	8.050356610591999e-02	-7.619567365116000e-03	-3.922996792591999e-03
1.620000000000000e-01	9.763035776243001e-02	-7.440458281340000e-03	-3.738098590225000e-03
1.630000000000000e-01	1.139691440489000e-01	-7.268218268007000e-03	-3.561177302893000e-03
1.640000000000000e-01	1.295199249825000e-01	-7.102847324966001e-03	-3.392232930422001e-03
1.650000000000000e-01	1.450707059067000e-01	-6.937476381998000e-03	-3.223288558035000e-03
1.660000000000000e-01	1.588977730537000e-01	-6.785575487276001e-03	-3.069838810156000e-03
1.670000000000000e-01	1.727248402007000e-01	-6.633674592554000e-03	-2.916389062276000e-03
1.680000000000000e-01	1.856269227234000e-01	-6.488325537901001e-03	-2.770403559040000e-03
1.690000000000000e-01	1.976040206418000e-01	-6.349528323174000e-03	-2.631882300284000e-03
1.700000000000000e-01	2.095811185496000e-01	-6.210731108515000e-03	-2.493361041606000e-03
1.710000000000000e-01	2.196044327454000e-01	-6.084579701772000e-03	-2.369104260758000e-03
1.720000000000000e-01	2.296277469413000e-01	-5.958428295028000e-03	-2.244847479911000e-03
1.730000000000000e-01	2.386338578897000e-01	-5.838328809237000e-03	-2.127346850625000e-03
1.740000000000000e-01	2.466227656126000e-01	-5.724281244267001e-03	-2.016602372753000e-03
1.750000000000000e-01	2.546116733242000e-01	-5.610233679358999e-03	-1.905857894951000e-03
1.760000000000000e-01	2.605092460253000e-01	-5.507671863627000e-03	-1.807795647738000e-03
1.770000000000000e-01	2.664068187264000e-01	-5.405110047895000e-03	-1.709733400526000e-03
1.780000000000000e-01	2.712422321971000e-01	-5.307948219135000e-03	-1.617563640693000e-03
1.790000000000000e-01	2.750154864603000e-01	-5.216186377230000e-03	-1.531286368111000e-03
1.800000000000000e-01	2.787887407120000e-01	-5.124424535379000e-03	-1.445009095588000e-03
1.810000000000000e-01	2.804286371084000e-01	-5.042718042132000e-03	-1.369563409352000e-03
1.820000000000000e-01	2.820685335047000e-01	-4.961011548885000e-03	-1.294117723116000e-03
1.830000000000000e-01	2.826490776649000e-01	-4.883935559873001e-03	-1.223588708932000e-03
1.840000000000000e-01	2.821702696119000e-01	-4.811490074996001e-03	-1.157976366694000e-03
1.850000000000000e-01	2.816914615476000e-01	-4.739044590163999e-03	-1.092364024504000e-03
1.860000000000000e-01	2.791317988550000e-01	-4.675025404852000e-03	-1.035553323362000e-03
1.870000000000000e-01	2.765721361623000e-01	-4.611006219540000e-03	-9.787426222199001e-04
1.880000000000000e-01	2.730022019653000e-01	-4.550767379637000e-03	-9.258058589813999e-04
1.890000000000000e-01	2.684219962858000e-01	-4.494308885060000e-03	-8.767430335624000e-04
1.900000000000000e-01	2.638417905958000e-01	-4.437850390519000e-03	-8.276802081796000e-04
1.910000000000000e-01	2.573228524511000e-01	-4.388065578438000e-03	-7.853007243461000e-04
1.920000000000000e-01	2.508039143065000e-01	-4.338280766356000e-03	-7.429212405126000e-04
1.930000000000000e-01	2.433666749179000e-01	-4.291383313804000e-03	-7.033513176422001e-04
1.940000000000000e-01	2.350111343055000e-01	-4.247373220719000e-03	-6.665909556739000e-04
1.950000000000000e-01	2.266555936837000e-01	-4.203363127659000e-03	-6.298305937304001e-04
1.960000000000000e-01	2.165845184722000e-01	-4.164226135892000e-03	-5.976362186556002e-04
1.970000000000000e-01	2.065134432608000e-01	-4.125089144123999e-03	-5.654418435809000e-04
1.980000000000000e-01	1.956538198271000e-01	-4.087941104204000e-03	-5.350146168233000e-04
1.990000000000000e-01	1.840056481883000e-01	-4.052782016088999e-03	-5.063545383447000e-04
2.000000000000000e-01	1.723574765417000e-01	-4.017622927990000e-03	-4.776944598799000e-04
2.010000000000000e-01	1.592862815237000e-01	-3.985561732891000e-03	-4.515682900043000e-04
2.020000000000000e-01	1.462150865056000e-01	-3.953500537792999e-03	-4.254421201287000e-04
2.030000000000000e-01	1.325162919945000e-01	-3.922560069327000e-03	-4.001029966885000e-04
2.040000000000000e-01	1.181898980038000e-01	-3.892740327468000e-03	-3.755509196667000e-04
2.050000000000000e-01	1.038635040074000e-01	-3.862920585617000e-03	-3.509988426486000e-04
2.060000000000000e-01	8.846147640813000e-02	-3.834517357604000e-03	-3.271102190790000e-04
2.070000000000000e-01	7.305944880887000e-02	-3.806114129591000e-03	-3.032215955094000e-04
2.080000000000000e-01	5.721420012850000e-02	-3.778026143822000e-03	-2.792379011590000e-04
2.090000000000000e-01	4.092573037664000e-02	-3.750253400292000e-03	-2.551591360298000e-04
2.100000000000000e-01	2.463726062103000e-02	-3.722480656761000e-03	-2.310803708953000e-04
2.110000000000000e-01	7.658970323257000e-03	-3.694598108663000e-03	-2.060219838470000e-04
2.120000000000000e-01	-9.319319974519000e-03	-3.666715560564000e-03	-1.809635967987000e-04
2.130000000000000e-01	-2.654162112692000e-02	-3.638433934791000e-03	-1.550558258101000e-04
2.140000000000000e-01	-4.400793312865000e-02	-3.609753231351000e-03	-1.282986708994000e-04
2.150000000000000e-01	-6.147424513191000e-02	-3.581072527904000e-03	-1.015415159760000e-04
2.160000000000000e-01	-7.922388809160000e-02	-3.550962776325000e-03	-7.244210761552999e-05
2.170000000000000e-01	-9.697353105128000e-02	-3.520853024746000e-03	-4.334269925508000e-05
2.180000000000000e-01	-1.147621946637000e-01	-3.489744433060000e-03	-1.279045078038000e-05
2.190000000000000e-01	-1.325898789279000e-01	-3.457637001289000e-03	1.921463777707000e-05
2.200000000000000e-01	-1.504175631915000e-01	-3.425529569505000e-03	5.121972635287000e-05
2.210000000000000e-01	-1.681196761837000e-01	-3.390922141010000e-03	8.661041573231000e-05
2.220000000000000e-01	-1.858217891758000e-01	-3.356314712516000e-03	1.220011051117000e-04
2.230000000000000e-01	-2.033612660940000e-01	-3.320240926875000e-03	1.592815610173000e-04
2.240000000000000e-01	-2.207381069420000e-01	-3.282700784119001e-03	1.984517834080000e-04
2.250000000000000e-01	-2.381149477871000e-01	-3.245160641345000e-03	2.376220058209000e-04
2.260000000000000e-01	-2.549728968457000e-01	-3.204327162518000e-03	2.808781914293000e-04
2.270000000000000e-01	-2.718308459043000e-01	-3.163493683692000e-03	3.241343770377000e-04
2.280000000000000e-01	-2.883366206106000e-01	-3.120870125003000e-03	3.695427329692000e-04
2.290000000000000e-01	-3.044902209722000e-01	-3.076456486491000e-03	4.171032591772000e-04
2.300000000000000e-01	-3.206438213289000e-01	-3.032042847958000e-03	4.646637854093000e-04
2.310000000000000e-01	-3.359177505014000e-01	-2.983836932869000e-03	5.166593729309000e-04
2.320000000000000e-01	-3.511916796738001e-01	-2.935631017781000e-03	5.686549604525000e-04
2.330000000000000e-01	-3.659440998777000e-01	-2.885460320622000e-03	6.228902697301999e-04
2.340000000000000e-01	-3.801750111243000e-01	-2.833324841436000e-03	6.793653007154000e-04
2.350000000000000e-01	-3.944059223644000e-01	-2.781189362228000e-03	7.358403317247001e-04
2.360000000000000e-01	-4.074441367259000e-01	-2.725061213153000e-03	7.967550558178000e-04
2.370000000000000e-01	-4.204823510874000e-01	-2.668933064079000e-03	8.576697799108000e-04
2.380000000000000e-01	-4.328569741335000e-01	-2.610813420476000e-03	9.207439349298000e-04
2.390000000000000e-01	-4.445680058784000e-01	-2.550702282387000e-03	9.859775208279000e-04
2.400000000000000e-01	-4.562790376155000e-01	-2.490591144278000e-03	1.051211106748000e-03
2.410000000000000e-01	-4.665449377660000e-01	-2.426577372008000e-03	1.120565488912000e-03
2.420000000000000e-01	-4.768108379166001e-01	-2.362563599738000e-03	1.189919871077000e-03
2.430000000000000e-01	-4.863040403036000e-01	-2.296672627733000e-03	1.261199293636000e-03
2.440000000000000e-01	-4.950245449437000e-01	-2.228904456034000e-03	1.334403756550000e-03
2.450000000000000e-01	-5.037450495749000e-01	-2.161136284315000e-03	1.407608219483000e-03
2.460000000000000e-01	-5.108385218378000e-01	-2.089826394866000e-03	1.484324655305000e-03
2.470000000000000e-01	-5.179319941007000e-01	-2.018516505416000e-03	1.561041091127000e-03
2.480000000000000e-01	-5.241808086914000e-01	-1.945572309366000e-03	1.639313693889000e-03
2.490000000000000e-01	-5.295849656284000e-01	-1.870993806749000e-03	1.719142463555000e-03
2.500000000000000e-01	-5.349891225560000e-01	-1.796415304117000e-03	1.798971233237000e-03
2.510000000000000e-01	-5.386615404731000e-01	-1.718897153681000e-03	1.881457556104000e-03
2.520000000000000e-01	-5.423339583902000e-01	-1.641379003244000e-03	1.963943878972000e-03
2.530000000000000e-01	-5.451293644872000e-01	-1.562580920456000e-03	2.047507436911000e-03
2.540000000000000e-01	-5.470477587831001e-01	-1.482502905345000e-03	2.132148229899000e-03
2.550000000000000e-01	-5.489661530694000e-01	-1.402424890222000e-03	2.216789022896000e-03
2.560000000000000e-01	-5.491284310855999e-01	-1.320212148630000e-03	2.303040106871000e-03
2.570000000000000e-01	-5.492907091019000e-01	-1.237999407037000e-03	2.389291190847000e-03
2.580000000000000e-01	-5.485838920396000e-01	-1.154951639607000e-03	2.476058527247000e-03
2.590000000000000e-01	-5.470079799178000e-01	-1.071068846356000e-03	2.563342116059000e-03
2.600000000000000e-01	-5.454320677868000e-01	-9.871860530992001e-04	2.650625704873000e-03
2.610000000000000e-01	-5.421555147890000e-01	-9.021313120471000e-04	2.738338091042000e-03
2.620000000000000e-01	-5.388789617911000e-01	-8.170765709951000e-04	2.826050477210000e-03
2.630000000000000e-01	-5.347803683648998e-01	-7.316984581929000e-04	2.913666345587000e-03
2.640000000000000e-01	-5.298597345280001e-01	-6.459969736475000e-04	3.001185696174000e-03
2.650000000000000e-01	-5.249391006826000e-01	-5.602954891016000e-04	3.088705046757000e-03
2.660000000000000e-01	-5.184491360176000e-01	-4.744930854020000e-04	3.175399223381000e-03
2.670000000000000e-01	-5.119591713525999e-01	-3.886906817024001e-04	3.262093400005000e-03
2.680000000000000e-01	-5.047305018562001e-01	-3.031177591934000e-04	3.348057647450000e-03
2.690000000000000e-01	-4.967631275446001e-01	-2.177743178699000e-04	3.433291965732000e-03
2.700000000000000e-01	-4.887957532256000e-01	-1.324308765521000e-04	3.518526284002000e-03
2.710000000000000e-01	-4.794588573847001e-01	-4.811376004308000e-05	3.601671129942000e-03
2.720000000000000e-01	-4.701219615438000e-01	3.620335646593000e-05	3.684815975882000e-03
2.730000000000000e-01	-4.601615448971000e-01	1.197231498254000e-04	3.766607510751000e-03
2.740000000000000e-01	-4.495776074583000e-01	2.024456200527000e-04	3.847045734579000e-03
2.750000000000000e-01	-4.389936700134000e-01	2.851680902683000e-04	3.927483958389000e-03
2.760000000000000e-01	-4.272982330649000e-01	3.657330351383999e-04	4.004617970260000e-03
2.770000000000000e-01	-4.156027961164000e-01	4.462979800086000e-04	4.081751982132000e-03
2.780000000000000e-01	-4.034250784214000e-01	5.255085525152999e-04	4.156948236296000e-03
2.790000000000000e-01	-3.907650799903000e-01	6.033647526878999e-04	4.230206732795000e-03
2.800000000000000e-01	-3.781050815548000e-01	6.812209528429001e-04	4.303465229270000e-03
2.810000000000000e-01	-3.646370722192000e-01	7.558348213963000e-04	4.372309484932999e-03
2.820000000000000e-01	-3.511690628836000e-01	8.304486899497000e-04	4.441153740596000e-03
2.830000000000000e-01	-3.373791896765000e-01	9.031862509451000e-04	4.507540700385000e-03
2.840000000000000e-01	-3.232674526049000e-01	9.740475044232001e-04	4.571470364356000e-03
2.850000000000000e-01	-3.091557155307000e-01	1.044908757878000e-03	4.635400028297001e-03
2.860000000000000e-01	-2.945703115149000e-01	1.111535732848000e-03	4.693958372638000e-03
2.870000000000000e-01	-2.799849074991000e-01	1.178162707817000e-03	4.752516716980001e-03
2.880000000000000e-01	-2.652495853811000e-01	1.242448478704000e-03	4.808185175673001e-03
2.890000000000000e-01	-2.503643451642000e-01	1.304393045561000e-03	4.860963748780000e-03
2.900000000000000e-01	-2.354791049466000e-01	1.366337612391000e-03	4.913742321852999e-03
2.910000000000000e-01	-2.204695916324000e-01	1.423189643178000e-03	4.960384967687000e-03
2.920000000000000e-01	-2.054600783183000e-01	1.480041673964000e-03	5.007027613520000e-03
2.930000000000000e-01	-1.904760539447000e-01	1.534163365503000e-03	5.050452042144000e-03
2.940000000000000e-01	-1.755175185111000e-01	1.585554717854000e-03	5.090658253627000e-03
2.950000000000000e-01	-1.605589830788000e-01	1.636946070173000e-03	5.130864465074001e-03
2.960000000000000e-01	-1.458243359969000e-01	1.682554055192000e-03	5.164392047802999e-03
2.970000000000000e-01	-1.310896889149000e-01	1.728162040210000e-03	5.197919630533000e-03
2.980000000000000e-01	-1.165512762220000e-01	1.770741186577000e-03	5.228016937056000e-03
2.990000000000000e-01	-1.022090979140000e-01	1.810291494358000e-03	5.254683967449001e-03
3.000000000000000e-01	-8.786691960892000e-02	1.849841802104000e-03	5.281350997803001e-03
