# t_ns	Wlong_VAC_V/pC	Wx_VAC_V/pCmm	Wy_VAC_V/pCmm
1.040928162651e-02	5.646770704622e+02	1.101134345046e+01	4.223274102953e+00
1.054273395505e-02	5.475652727896e+02	1.097740475449e+01	4.169461570981e+00
1.067618628360e-02	5.304534751156e+02	1.094346605852e+01	4.115649039004e+00
1.080963861214e-02	5.133416774430e+02	1.090952736255e+01	4.061836507032e+00
1.094309094069e-02	4.962298797691e+02	1.087558866658e+01	4.008023975056e+00
1.107654326923e-02	4.791180820964e+02	1.084164997062e+01	3.954211443084e+00
1.120999559778e-02	4.620062844225e+02	1.080771127465e+01	3.900398911108e+00
1.134344792632e-02	4.448944867498e+02	1.077377257868e+01	3.846586379136e+00
1.147690025487e-02	4.277826890759e+02	1.073983388271e+01	3.792773847160e+00
1.161035258341e-02	4.106708914032e+02	1.070589518674e+01	3.738961315188e+00
1.174380491196e-02	3.935590937292e+02	1.067195649077e+01	3.685148783212e+00
1.187725724050e-02	3.764472960566e+02	1.063801779480e+01	3.631336251240e+00
1.201070956905e-02	3.593335080555e+02	1.060385858475e+01	3.577886665544e+00
1.214416189759e-02	3.421969088440e+02	1.056717205488e+01	3.528596820340e+00
1.227761422614e-02	3.250603096313e+02	1.053048552500e+01	3.479306975133e+00
1.241106655468e-02	3.079237104199e+02	1.049379899513e+01	3.430017129929e+00
1.254451888323e-02	2.907871112071e+02	1.045711246525e+01	3.380727284721e+00
1.267797121177e-02	2.736505119957e+02	1.042042593538e+01	3.331437439518e+00
1.281142354032e-02	2.565139127829e+02	1.038373940551e+01	3.282147594310e+00
1.294487586886e-02	2.393773135715e+02	1.034705287563e+01	3.232857749106e+00
1.307832819741e-02	2.222261574019e+02	1.030875353859e+01	3.186222439029e+00
1.321178052595e-02	2.050647566522e+02	1.026931917487e+01	3.141455280495e+00
1.334523285450e-02	1.879033559011e+02	1.022988481115e+01	3.096688121958e+00
1.347868518304e-02	1.707419551514e+02	1.019045044743e+01	3.051920963424e+00
1.361213751159e-02	1.535805544004e+02	1.015101608371e+01	3.007153804887e+00
1.374558984013e-02	1.364191536507e+02	1.011158171999e+01	2.962386646353e+00
1.387904216868e-02	1.192577528996e+02	1.007214735627e+01	2.917619487816e+00
1.401249449722e-02	1.020963521503e+02	1.003271299255e+01	2.872852329292e+00
1.414594682577e-02	8.493495140404e+01	9.993278628844e+00	2.828085170856e+00
1.427939915431e-02	6.777355065903e+01	9.953844265138e+00	2.783318012424e+00
1.441285148286e-02	5.061214991274e+01	9.914409901430e+00	2.738550853988e+00
1.454630381140e-02	3.345074916773e+01	9.874975537724e+00	2.693783695556e+00
1.467975613995e-02	1.628934842143e+01	9.835541174015e+00	2.649016537120e+00
1.481320846849e-02	-8.720523235809e-01	9.796106810309e+00	2.604249378688e+00
1.494666079704e-02	-1.803345306988e+01	9.756672446601e+00	2.559482220252e+00
1.508011312558e-02	-3.467334530984e+01	9.718490643285e+00	2.525944411578e+00
1.521356545413e-02	-5.096601794382e+01	9.681142792859e+00	2.499883087705e+00
1.534701778267e-02	-6.725869057658e+01	9.643794942435e+00	2.473821763833e+00
1.548047011122e-02	-8.355136321056e+01	9.606447092010e+00	2.447760439960e+00
1.561392243976e-02	-9.984403584332e+01	9.569099241586e+00	2.421699116088e+00
1.574737476831e-02	-1.161367084773e+02	9.531751391160e+00	2.395637792215e+00
1.588082709685e-02	-1.324293811101e+02	9.494403540737e+00	2.369576468344e+00
1.601427942540e-02	-1.487220537440e+02	9.457055690311e+00	2.343515144470e+00
1.614773175394e-02	-1.650147263768e+02	9.419707839888e+00	2.317453820599e+00
1.628118408249e-02	-1.813073990108e+02	9.382359989462e+00	2.291392496725e+00
1.641463641103e-02	-1.976000716435e+02	9.345012139039e+00	2.265331172854e+00
1.654808873958e-02	-2.138927442775e+02	9.307664288613e+00	2.239269848980e+00
1.668154106812e-02	-2.301854169103e+02	9.270316438190e+00	2.213208525109e+00
1.681499339667e-02	-2.464780895442e+02	9.232968587764e+00	2.187147201235e+00
1.694844572521e-02	-2.627707621770e+02	9.195620737341e+00	2.161085877363e+00
1.708189805376e-02	-2.785405400040e+02	9.159273659257e+00	2.140857821896e+00
1.721535038230e-02	-2.939811590609e+02	9.123556560643e+00	2.124301769713e+00
1.734880271085e-02	-3.094217781188e+02	9.087839462026e+00	2.107745717529e+00
1.748225503939e-02	-3.248623971756e+02	9.052122363412e+00	2.091189665345e+00
1.761570736794e-02	-3.403030162336e+02	9.016405264796e+00	2.074633613161e+00
1.774915969648e-02	-3.557436352904e+02	8.980688166182e+00	2.058077560978e+00
1.788261202503e-02	-3.711842543484e+02	8.944971067565e+00	2.041521508794e+00
1.801606435357e-02	-3.865223072698e+02	8.909450271057e+00	2.026109655768e+00
1.814951668212e-02	-4.011108727702e+02	8.875363924214e+00	2.019058875067e+00
1.828296901066e-02	-4.156994382696e+02	8.841277577374e+00	2.012008094367e+00
1.841642133921e-02	-4.302880037701e+02	8.807191230531e+00	2.004957313666e+00
1.854987366775e-02	-4.448765692694e+02	8.773104883691e+00	1.997906532965e+00
1.868332599630e-02	-4.594651347699e+02	8.739018536848e+00	1.990855752264e+00
1.881677832484e-02	-4.740537002693e+02	8.704932190008e+00	1.983804971563e+00
1.895023065339e-02	-4.886422657697e+02	8.670845843165e+00	1.976754190862e+00
1.908368298193e-02	-5.032308312609e+02	8.636759496322e+00	1.969703410200e+00
1.921713531048e-02	-5.178193967484e+02	8.602673149474e+00	1.962652629561e+00
1.935058763902e-02	-5.324079622347e+02	8.568586802629e+00	1.955601848922e+00
1.948403996757e-02	-5.469965277222e+02	8.534500455781e+00	1.948551068283e+00
1.961749229611e-02	-5.615850932085e+02	8.500414108936e+00	1.941500287644e+00
1.975094462466e-02	-5.761736586960e+02	8.466327762089e+00	1.934449507005e+00
1.988439695320e-02	-5.907622241823e+02	8.432241415244e+00	1.927398726366e+00
2.001784928175e-02	-6.050297812654e+02	8.398031738786e+00	1.921874627822e+00
2.015130161029e-02	-6.172182883262e+02	8.363023303091e+00	1.926238271776e+00
2.028475393884e-02	-6.294067953880e+02	8.328014867395e+00	1.930601915729e+00
2.041820626738e-02	-6.415953024488e+02	8.293006431700e+00	1.934965559683e+00
2.055165859593e-02	-6.537838095106e+02	8.257997996003e+00	1.939329203637e+00
2.068511092447e-02	-6.659723165714e+02	8.222989560309e+00	1.943692847591e+00
2.081856325302e-02	-6.781608236332e+02	8.187981124612e+00	1.948056491545e+00
2.095201558156e-02	-6.903493306940e+02	8.152972688918e+00	1.952420135498e+00
2.108546791011e-02	-7.025378377558e+02	8.117964253221e+00	1.956783779452e+00
2.121892023865e-02	-7.147263448166e+02	8.082955817526e+00	1.961147423406e+00
2.135237256720e-02	-7.269148518784e+02	8.047947381829e+00	1.965511067360e+00
2.148582489574e-02	-7.391033589392e+02	8.012938946135e+00	1.969874711314e+00
2.161927722429e-02	-7.512918660010e+02	7.977930510438e+00	1.974238355268e+00
2.175272955283e-02	-7.634803730618e+02	7.942922074744e+00	1.978601999222e+00
2.188618188138e-02	-7.756688801236e+02	7.907913639047e+00	1.982965643176e+00
2.201963420992e-02	-7.876431974551e+02	7.872386767983e+00	1.987369629026e+00
2.215308653846e-02	-7.983758721581e+02	7.833854563952e+00	1.992007473984e+00
2.228653886701e-02	-8.091085468618e+02	7.795322359918e+00	1.996645318943e+00
2.241999119555e-02	-8.198412215647e+02	7.756790155886e+00	2.001283163901e+00
2.255344352410e-02	-8.305738962684e+02	7.718257951852e+00	2.005921008859e+00
2.268689585264e-02	-8.413065709714e+02	7.679725747821e+00	2.010558853817e+00
2.282034818119e-02	-8.520392456751e+02	7.641193543786e+00	2.015196698775e+00
2.295380050973e-02	-8.627719203780e+02	7.602661339755e+00	2.019834543733e+00
2.308725283828e-02	-8.725527532974e+02	7.561825250989e+00	2.024651664809e+00
2.322070516682e-02	-8.818295956740e+02	7.519769278697e+00	2.029563710766e+00
2.335415749537e-02	-8.911064380513e+02	7.477713306402e+00	2.034475756722e+00
2.348760982391e-02	-9.003832804279e+02	7.435657334110e+00	2.039387802679e+00
2.362106215246e-02	-9.096601228052e+02	7.393601361815e+00	2.044299848636e+00
2.375451448100e-02	-9.189369651818e+02	7.351545389523e+00	2.049211894592e+00
2.388796680955e-02	-9.282138075591e+02	7.309489417228e+00	2.054123940549e+00
2.402141913809e-02	-9.374906499329e+02	7.267433444926e+00	2.059035986498e+00
2.415487146664e-02	-9.467674922928e+02	7.225377472571e+00	2.063948032411e+00
2.428832379518e-02	-9.560443346520e+02	7.183321500219e+00	2.068860078323e+00
2.442177612373e-02	-9.653211770119e+02	7.141265527863e+00	2.073772124235e+00
2.455522845227e-02	-9.745980193712e+02	7.099209555511e+00	2.078684170148e+00
2.468868078082e-02	-9.838748617311e+02	7.057153583156e+00	2.083596216060e+00
2.482213310936e-02	-9.931517040903e+02	7.015097610803e+00	2.088508261972e+00
2.495558543791e-02	-1.002428546450e+03	6.973041638448e+00	2.093420307885e+00
2.508903776645e-02	-1.009564451290e+03	6.923566799386e+00	2.092897992471e+00
2.522249009500e-02	-1.015632395801e+03	6.870391219284e+00	2.089664863564e+00
2.535594242354e-02	-1.021700340312e+03	6.817215639185e+00	2.086431734658e+00
2.548939475209e-02	-1.027768284823e+03	6.764040059083e+00	2.083198605752e+00
2.562284708063e-02	-1.033836229334e+03	6.710864478984e+00	2.079965476846e+00
2.575629940918e-02	-1.039904173845e+03	6.657688898882e+00	2.076732347940e+00
2.588975173772e-02	-1.045972118356e+03	6.604513318783e+00	2.073499219034e+00
2.602320406627e-02	-1.052040062867e+03	6.551337738681e+00	2.070266090127e+00
2.615665639481e-02	-1.058108007378e+03	6.498162158582e+00	2.067032961221e+00
2.629010872336e-02	-1.064175951889e+03	6.444986578480e+00	2.063799832315e+00
2.642356105190e-02	-1.070243896400e+03	6.391810998381e+00	2.060566703409e+00
2.655701338045e-02	-1.076311840911e+03	6.338635418279e+00	2.057333574503e+00
2.669046570899e-02	-1.082379785422e+03	6.285459838180e+00	2.054100445597e+00
2.682391803754e-02	-1.088447729933e+03	6.232284258077e+00	2.050867316690e+00
2.695737036608e-02	-1.094515674444e+03	6.179108677979e+00	2.047634187784e+00
2.709082269463e-02	-1.099467937191e+03	6.122368153429e+00	2.040677621617e+00
2.722427502317e-02	-1.103896530107e+03	6.063954343619e+00	2.031973378089e+00
2.735772735172e-02	-1.108325123023e+03	6.005540533804e+00	2.023269134560e+00
2.749117968026e-02	-1.112753715939e+03	5.947126723993e+00	2.014564891032e+00
2.762463200881e-02	-1.117182308855e+03	5.888712914179e+00	2.005860647503e+00
2.775808433735e-02	-1.121610901771e+03	5.830299104368e+00	1.997156403975e+00
2.789153666590e-02	-1.126039494687e+03	5.771885294553e+00	1.988452160446e+00
2.802498899444e-02	-1.130161118459e+03	5.712490624448e+00	1.978723448845e+00
2.815844132299e-02	-1.132950359815e+03	5.648838585034e+00	1.964548090812e+00
2.829189365153e-02	-1.135739601171e+03	5.585186545626e+00	1.950372732780e+00
2.842534598008e-02	-1.138528842528e+03	5.521534506212e+00	1.936197374748e+00
2.855879830862e-02	-1.141318083884e+03	5.457882466803e+00	1.922022016716e+00
2.869225063717e-02	-1.144107325240e+03	5.394230427390e+00	1.907846658684e+00
2.882570296571e-02	-1.146896566596e+03	5.330578387981e+00	1.893671300652e+00
2.895915529426e-02	-1.149685807953e+03	5.266926348567e+00	1.879495942619e+00
2.909260762280e-02	-1.152475049297e+03	5.203274309140e+00	1.865320584560e+00
2.922605995135e-02	-1.155264290637e+03	5.139622269700e+00	1.851145226487e+00
2.935951227989e-02	-1.158053531976e+03	5.075970230264e+00	1.836969868416e+00
2.949296460844e-02	-1.160842773315e+03	5.012318190824e+00	1.822794510343e+00
2.962641693698e-02	-1.163632014655e+03	4.948666151388e+00	1.808619152272e+00
2.975986926553e-02	-1.166421255994e+03	4.885014111948e+00	1.794443794199e+00
2.989332159407e-02	-1.169210497333e+03	4.821362072513e+00	1.780268436128e+00
3.002677392262e-02	-1.171372648710e+03	4.756722611850e+00	1.764619826922e+00
3.016022625116e-02	-1.171036213733e+03	4.688148855741e+00	1.743101174516e+00
3.029367857971e-02	-1.170699778756e+03	4.619575099627e+00	1.721582522109e+00
3.042713090825e-02	-1.170363343780e+03	4.551001343518e+00	1.700063869703e+00
3.056058323680e-02	-1.170026908803e+03	4.482427587404e+00	1.678545217296e+00
3.069403556534e-02	-1.169690473827e+03	4.413853831295e+00	1.657026564890e+00
3.082748789389e-02	-1.169354038850e+03	4.345280075181e+00	1.635507912483e+00
3.096094022243e-02	-1.169017603873e+03	4.276706319072e+00	1.613989260077e+00
3.109439255098e-02	-1.168681168897e+03	4.208132562958e+00	1.592470607670e+00
3.122784487952e-02	-1.168344733920e+03	4.139558806850e+00	1.570951955265e+00
3.136129720807e-02	-1.168008298944e+03	4.070985050736e+00	1.549433302857e+00
3.149474953661e-02	-1.167671863967e+03	4.002411294627e+00	1.527914650452e+00
3.162820186516e-02	-1.167335428990e+03	3.933837538513e+00	1.506395998045e+00
3.176165419370e-02	-1.166998994014e+03	3.865263782404e+00	1.484877345639e+00
3.189510652225e-02	-1.166662559037e+03	3.796690026290e+00	1.463358693232e+00
3.202855885079e-02	-1.166029594832e+03	3.728479665757e+00	1.441847255251e+00
3.216201117934e-02	-1.164307511803e+03	3.661604016693e+00	1.420362315047e+00
3.229546350788e-02	-1.162585428773e+03	3.594728367634e+00	1.398877374844e+00
3.242891583643e-02	-1.160863345744e+03	3.527852718570e+00	1.377392434640e+00
3.256236816497e-02	-1.159141262714e+03	3.460977069511e+00	1.355907494437e+00
3.269582049352e-02	-1.157419179684e+03	3.394101420447e+00	1.334422554232e+00
3.282927282206e-02	-1.155697096655e+03	3.327225771388e+00	1.312937614030e+00
3.296272515061e-02	-1.153975013625e+03	3.260350122324e+00	1.291452673825e+00
3.309617747915e-02	-1.151254310824e+03	3.194698278452e+00	1.269992029599e+00
3.322962980770e-02	-1.148146579771e+03	3.129520736401e+00	1.248540801597e+00
3.336308213624e-02	-1.145038848719e+03	3.064343194355e+00	1.227089573596e+00
3.349653446479e-02	-1.141931117666e+03	2.999165652304e+00	1.205638345594e+00
3.362998679333e-02	-1.138823386614e+03	2.933988110257e+00	1.184187117593e+00
3.376343912188e-02	-1.135715655561e+03	2.868810568206e+00	1.162735889591e+00
3.389689145042e-02	-1.132607924509e+03	2.803633026160e+00	1.141284661590e+00
3.403034377897e-02	-1.129500193453e+03	2.738455484123e+00	1.119833433597e+00
3.416379610751e-02	-1.126392462388e+03	2.673277942138e+00	1.098382205635e+00
3.429724843606e-02	-1.123284731323e+03	2.608100400148e+00	1.076930977672e+00
3.443070076460e-02	-1.120177000259e+03	2.542922858162e+00	1.055479749711e+00
3.456415309315e-02	-1.117069269194e+03	2.477745316172e+00	1.034028521747e+00
3.469760542169e-02	-1.113961538129e+03	2.412567774187e+00	1.012577293786e+00
3.483105775024e-02	-1.110853807064e+03	2.347390232197e+00	9.911260658225e-01
3.496451007878e-02	-1.107746076000e+03	2.282212690211e+00	9.696748378609e-01
3.509796240733e-02	-1.102985385719e+03	2.225255778543e+00	9.535108676911e-01
3.523141473587e-02	-1.097625859681e+03	2.171277045249e+00	9.392623706887e-01
3.536486706442e-02	-1.092266333643e+03	2.117298311950e+00	9.250138736852e-01
3.549831939296e-02	-1.086906807605e+03	2.063319578655e+00	9.107653766829e-01
3.563177172151e-02	-1.081547281567e+03	2.009340845357e+00	8.965168796794e-01
3.576522405005e-02	-1.076187755530e+03	1.955362112062e+00	8.822683826770e-01
3.589867637860e-02	-1.070828229491e+03	1.901383378763e+00	8.680198856736e-01
3.603212870714e-02	-1.065468703454e+03	1.847404645468e+00	8.537713886712e-01
3.616558103569e-02	-1.060109177416e+03	1.793425912170e+00	8.395228916677e-01
3.629903336423e-02	-1.054749651378e+03	1.739447178875e+00	8.252743946653e-01
3.643248569278e-02	-1.049390125340e+03	1.685468445577e+00	8.110258976619e-01
3.656593802132e-02	-1.044030599302e+03	1.631489712282e+00	7.967774006595e-01
3.669939034987e-02	-1.038671073264e+03	1.577510978984e+00	7.825289036560e-01
3.683284267841e-02	-1.033311547227e+03	1.523532245689e+00	7.682804066536e-01
3.696629500696e-02	-1.027952021188e+03	1.469553512390e+00	7.540319096501e-01
3.709974733550e-02	-1.021988988480e+03	1.421446948199e+00	7.437478676876e-01
3.723319966405e-02	-1.015822028639e+03	1.375324611631e+00	7.348034297233e-01
3.736665199259e-02	-1.009655068799e+03	1.329202275067e+00	7.258589917597e-01
3.750010432114e-02	-1.003488108957e+03	1.283079938499e+00	7.169145537954e-01
3.763355664968e-02	-9.973211491168e+02	1.236957601934e+00	7.079701158318e-01
3.776700897823e-02	-9.911541892757e+02	1.190835265366e+00	6.990256778675e-01
3.790046130677e-02	-9.849872294350e+02	1.144712928801e+00	6.900812399039e-01
3.803391363532e-02	-9.786150801060e+02	1.100587102679e+00	6.824846983910e-01
3.816736596386e-02	-9.716406864798e+02	1.062321162674e+00	6.788443193511e-01
3.830081829241e-02	-9.646662928531e+02	1.024055222666e+00	6.752039403110e-01
3.843427062095e-02	-9.576918992269e+02	9.857892826611e-01	6.715635612712e-01
3.856772294950e-02	-9.507175056002e+02	9.475233426534e-01	6.679231822311e-01
3.870117527804e-02	-9.437431119740e+02	9.092574026485e-01	6.642828031913e-01
3.883462760659e-02	-9.367687183473e+02	8.709914626408e-01	6.606424241512e-01
3.896807993513e-02	-9.297943247212e+02	8.327255226359e-01	6.570020451113e-01
3.910153226368e-02	-9.228199310907e+02	7.944595826938e-01	6.533616661086e-01
3.923498459222e-02	-9.158455374595e+02	7.561936427752e-01	6.497212871180e-01
3.936843692077e-02	-9.088711438279e+02	7.179277028537e-01	6.460809081270e-01
3.950188924931e-02	-9.018967501967e+02	6.796617629350e-01	6.424405291363e-01
3.963534157786e-02	-8.949223565651e+02	6.413958230136e-01	6.388001501454e-01
3.976879390640e-02	-8.879479629339e+02	6.031298830949e-01	6.351597711547e-01
3.990224623495e-02	-8.809735693022e+02	5.648639431734e-01	6.315193921637e-01
4.003569856349e-02	-8.737542764002e+02	5.308517003518e-01	6.303048255532e-01
4.016915089204e-02	-8.658643731579e+02	5.084874025984e-01	6.357328873933e-01
4.030260322058e-02	-8.579744699162e+02	4.861231048467e-01	6.411609492329e-01
4.043605554913e-02	-8.500845666738e+02	4.637588070933e-01	6.465890110729e-01
4.056950787767e-02	-8.421946634321e+02	4.413945093416e-01	6.520170729126e-01
4.070296020622e-02	-8.343047601898e+02	4.190302115882e-01	6.574451347526e-01
4.083641253476e-02	-8.264148569481e+02	3.966659138365e-01	6.628731965922e-01
4.096986486331e-02	-8.185249537058e+02	3.743016160831e-01	6.683012584323e-01
4.110331719185e-02	-8.106350504640e+02	3.519373183314e-01	6.737293202719e-01
4.123676952040e-02	-8.027451472217e+02	3.295730205781e-01	6.791573821119e-01
4.137022184894e-02	-7.948552439800e+02	3.072087228264e-01	6.845854439515e-01
4.150367417749e-02	-7.869653407377e+02	2.848444250730e-01	6.900135057915e-01
4.163712650603e-02	-7.790754374959e+02	2.624801273213e-01	6.954415676312e-01
4.177057883458e-02	-7.711855342536e+02	2.401158295679e-01	7.008696294712e-01
4.190403116312e-02	-7.632956310119e+02	2.177515318162e-01	7.062976913108e-01
4.203748349167e-02	-7.553760458967e+02	1.971754064022e-01	7.122803688770e-01
4.217093582021e-02	-7.473804663992e+02	1.811775316247e-01	7.196830269136e-01
4.230438814876e-02	-7.393848869011e+02	1.651796568461e-01	7.270856849508e-01
4.243784047730e-02	-7.313893074036e+02	1.491817820686e-01	7.344883429874e-01
4.257129280585e-02	-7.233937279056e+02	1.331839072900e-01	7.418910010245e-01
4.270474513439e-02	-7.153981484081e+02	1.171860325125e-01	7.492936590612e-01
4.283819746294e-02	-7.074025689100e+02	1.011881577339e-01	7.566963170983e-01
4.297164979148e-02	-6.994069894125e+02	8.519028295639e-02	7.640989751349e-01
4.310510212003e-02	-6.913281832043e+02	7.420636742753e-02	7.730567520994e-01
4.323855444857e-02	-6.832269274534e+02	6.457491548626e-02	7.824340062902e-01
4.337200677712e-02	-6.751256717019e+02	5.494346354426e-02	7.918112604817e-01
4.350545910566e-02	-6.670244159510e+02	4.531201160299e-02	8.011885146724e-01
4.363891143421e-02	-6.589231601995e+02	3.568055966099e-02	8.105657688639e-01
4.377236376275e-02	-6.508219044486e+02	2.604910771971e-02	8.199430230547e-01
4.390581609130e-02	-6.427206486971e+02	1.641765577772e-02	8.293202772462e-01
4.403926841984e-02	-6.346193929469e+02	6.786203849909e-03	8.386975314341e-01
4.417272074839e-02	-6.265181371977e+02	-2.845248046317e-03	8.480747856160e-01
4.430617307693e-02	-6.184168814492e+02	-1.247669994182e-02	8.574520397971e-01
4.443962540547e-02	-6.103156257007e+02	-2.210815183733e-02	8.668292939783e-01
4.457307773402e-02	-6.022143699516e+02	-3.173960373355e-02	8.762065481601e-01
4.470653006256e-02	-5.941131142031e+02	-4.137105562906e-02	8.855838023413e-01
4.483998239111e-02	-5.860118584540e+02	-5.100250752528e-02	8.949610565231e-01
4.497343471965e-02	-5.779106027055e+02	-6.063395942079e-02	9.043383107043e-01
4.510688704820e-02	-5.701634460318e+02	-6.350358054548e-02	9.122919476347e-01
4.524033937674e-02	-5.625042957297e+02	-6.469264323808e-02	9.198917644149e-01
