# time [ns]	Wlong [V/pC]	Wxdip [V/pC.mm]	Wydip [V/pC.mm]
0.000000000000000e+00	5.543704623473000e-01	0.000000000000000e+00	0.000000000000000e+00
1.000000000000000e-03	5.011068177192000e-01	3.812950603396000e-02	1.631815937140000e-02
2.000000000000000e-03	4.478431730911000e-01	4.123147324666000e-02	1.881511464487000e-02
3.000000000000000e-03	3.730129496850000e-01	4.383313412651000e-02	2.083045696660000e-02
4.000000000000000e-03	2.766161479683000e-01	4.593448868438000e-02	2.236418634702000e-02
5.000000000000000e-03	1.802193461941000e-01	4.803584323491000e-02	2.389791572035000e-02
6.000000000000000e-03	7.319897562725000e-02	4.878529452625000e-02	2.412163695548000e-02
7.000000000000000e-03	-3.382139493958000e-02	4.953474581759000e-02	2.434535819061000e-02
8.000000000000000e-03	-1.284883562678000e-01	4.965267143880000e-02	2.396063777499000e-02
8.999999999999999e-03	-2.108019086254000e-01	4.913907140358000e-02	2.296747572180000e-02
1.000000000000000e-02	-2.931154607200000e-01	4.862547136406000e-02	2.197431366459000e-02
1.100000000000000e-02	-3.269222333399000e-01	4.732076357597000e-02	2.024021508604000e-02
1.200000000000000e-02	-3.607290059599000e-01	4.601605578789000e-02	1.850611650749000e-02
1.300000000000000e-02	-3.685835203277000e-01	4.463929984490000e-02	1.672690580489000e-02
1.400000000000000e-02	-3.504857770061000e-01	4.319049574859000e-02	1.490258297923000e-02
1.500000000000000e-02	-3.323880334935000e-01	4.174169165452000e-02	1.307826015613000e-02
1.600000000000000e-02	-2.790430719578000e-01	4.070782150243000e-02	1.172611110681000e-02
1.700000000000000e-02	-2.256981104222000e-01	3.967395135034000e-02	1.037396205749000e-02
1.800000000000000e-02	-1.686218441144000e-01	3.898204879146000e-02	9.393903604344001e-03
1.900000000000000e-02	-1.078142731154000e-01	3.863211381838000e-02	8.785935739306999e-03
2.000000000000000e-02	-4.700670221678000e-02	3.828217884857000e-02	8.177967877885000e-03
2.100000000000000e-02	-4.698589215281000e-03	3.853602447224000e-02	8.236645063245999e-03
2.200000000000000e-02	3.760952378621000e-02	3.878987009590000e-02	8.295322248607000e-03
2.300000000000000e-02	6.400999195495000e-02	3.917880710925000e-02	8.521626663368000e-03
2.400000000000000e-02	7.450281563587000e-02	3.970283550934000e-02	8.915558303894001e-03
2.500000000000000e-02	8.499563916213999e-02	4.022686390875000e-02	9.309489944103000e-03
2.600000000000000e-02	6.696190473969001e-02	4.062547988658000e-02	9.644856174679001e-03
2.700000000000000e-02	4.892817031723000e-02	4.102409586440000e-02	9.980222405253999e-03
2.800000000000000e-02	2.454431735040000e-02	4.122610508908000e-02	1.015306828232000e-02
2.900000000000000e-02	-6.189654023096000e-03	4.123150756488000e-02	1.016339380941000e-02
3.000000000000000e-02	-3.692362536243000e-02	4.123691003833000e-02	1.017371933454000e-02
