# t_ns	Wlong_V/pC	Wx_dip_V/pCmm	Wy_dip_V/pCmm
0.000000000000e+00	2.110806900650e+02	2.109276724299e-02	2.023053780272e-02
1.334523285450e-04	2.191562517516e+02	2.382970476071e-02	2.285568691009e-02
2.669046570899e-04	2.258396997449e+02	2.677235301321e-02	2.567817460535e-02
4.003569856349e-04	2.313189753344e+02	2.991686795436e-02	2.869432271042e-02
5.338093141799e-04	2.353867780100e+02	3.325736807395e-02	3.189850010696e-02
6.672616427248e-04	2.378019460545e+02	3.678608633193e-02	3.528326850723e-02
8.007139712698e-04	2.385785874985e+02	4.049357217903e-02	3.883957624751e-02
9.341662998148e-04	2.372251504007e+02	4.436893412001e-02	4.255699094952e-02
1.067618628360e-03	2.342241047598e+02	4.840011168840e-02	4.642396037302e-02
1.201070956905e-03	2.292169839929e+02	5.257416482771e-02	5.042808994539e-02
1.334523285450e-03	2.221474538303e+02	5.687756853803e-02	5.455642532377e-02
1.467975613995e-03	2.131421126752e+02	6.129650121497e-02	5.879572889137e-02
1.601427942540e-03	2.024872581461e+02	6.581711629538e-02	6.313274022811e-02
1.734880271085e-03	1.902732827708e+02	7.042578850408e-02	6.755441220806e-02
1.868332599630e-03	1.765389191846e+02	7.510932801642e-02	7.204811631407e-02
2.001784928175e-03	1.618144470145e+02	7.985515804668e-02	7.660181286545e-02
2.135237256720e-03	1.459887096092e+02	8.465145358125e-02	8.120418397357e-02
2.268689585264e-03	1.297265494734e+02	8.948724105315e-02	8.584472903275e-02
2.402141913809e-03	1.131332281144e+02	9.435246058148e-02	9.051382430594e-02
2.535594242354e-03	9.646132499538e+01	9.923799389206e-02	9.520274959603e-02
2.669046570899e-03	8.034812787325e+01	1.041356621427e-01	9.990368605563e-02
2.802498899444e-03	6.485606668579e+01	1.090381985865e-01	1.046096898680e-01
2.935951227989e-03	5.015241100535e+01	1.139392013328e-01	1.093146468457e-01
3.069403556534e-03	3.674112489220e+01	1.188330714558e-01	1.140132129821e-01
3.202855885079e-03	2.472810034138e+01	1.237149414050e-01	1.187007457084e-01
3.336308213624e-03	1.406354734169e+01	1.285805981707e-01	1.233732301276e-01
3.469760542169e-03	5.093472386385e+00	1.334264050099e-01	1.280272038749e-01
3.603212870714e-03	-2.302607954941e+00	1.382492248242e-01	1.326596835690e-01
3.736665199259e-03	-8.206315837594e+00	1.430463475468e-01	1.372680951160e-01
3.870117527804e-03	-1.255739581711e+01	1.478154232015e-01	1.418502094581e-01
4.003569856349e-03	-1.570583776700e+01	1.525544016672e-01	1.464040847605e-01
4.137022184894e-03	-1.776203993864e+01	1.572614796469e-01	1.509280155116e-01
4.270474513439e-03	-1.887371748857e+01	1.619350549049e-01	1.554204885993e-01
4.403926841984e-03	-1.934278879952e+01	1.665736875087e-01	1.598801461088e-01
4.537379170529e-03	-1.942960741710e+01	1.711760675769e-01	1.643057543634e-01
4.670831499074e-03	-1.930635639785e+01	1.757409888915e-01	1.686961785924e-01
4.804283827619e-03	-1.917463251099e+01	1.802673276572e-01	1.730503625379e-01
4.937736156164e-03	-1.929169049704e+01	1.847540256733e-01	1.773673122948e-01
5.071188484709e-03	-1.970143981484e+01	1.892000772099e-01	1.816460837062e-01
