# This wake function is calculated with resonator para. from eigenmode solver.
# "s [mm]"	"Wake potential [V/pC/m]"
0.000000000000000000e+00	0.000000000000000000e+00
4.000800160032006586e-02	1.182504882730723173e-03
8.001600320064013172e-02	2.365009514618835341e-03
1.200240048009601906e-01	3.547513657482126437e-03
1.600320064012802634e-01	4.730017073138487009e-03
2.000400080016003224e-01	5.912519523405956358e-03
2.400480096019203813e-01	7.095020770102776313e-03
2.800560112022403847e-01	8.277520575047426360e-03
3.200640128025605269e-01	9.460018700058686961e-03
3.600720144028806136e-01	1.064251490695567251e-02
4.000800160032006447e-01	1.182500895755789552e-02
4.400880176035206759e-01	1.300750061368530393e-02
4.800960192038407626e-01	1.418998963715832791e-02
5.201040208041608492e-01	1.537247578979793194e-02
5.601120224044807694e-01	1.655495883342566685e-02
6.001200240048009116e-01	1.773743852986371661e-02
6.401280256051210538e-01	1.891991464093493308e-02
6.801360272054411960e-01	2.010238692846290365e-02
7.201440288057612271e-01	2.128485515427197550e-02
7.601520304060811473e-01	2.246731908018734583e-02
8.001600320064012895e-01	2.364977846803505840e-02
8.401680336067213206e-01	2.483223307964209023e-02
8.801760352070413518e-01	2.601468267683637245e-02
9.201840368073614940e-01	2.719712702144685620e-02
9.601920384076815251e-01	2.837956587530356123e-02
1.000200040008001556e+00	2.956199900023761054e-02
1.040208041608321698e+00	3.074442615808129983e-02
1.080216043208641619e+00	3.192684711066810788e-02
1.120224044808961539e+00	3.310926161983279714e-02
1.160232046409281903e+00	3.429166944741141032e-02
1.200240048009601823e+00	3.547407035524135360e-02
1.240248049609921965e+00	3.665646410516142789e-02
1.280256051210242108e+00	3.783885045901189126e-02
1.320264052810562028e+00	3.902122917863449364e-02
1.360272054410882392e+00	4.020360002587251846e-02
1.400280056011202312e+00	4.138596276257085205e-02
1.440288057611522454e+00	4.256831715057601134e-02
1.480296059211842374e+00	4.375066295173622027e-02
1.520304060812162295e+00	4.493299992790140279e-02
1.560312062412482659e+00	4.611532784092333553e-02
1.600320064012802579e+00	4.729764645265552986e-02
1.640328065613122721e+00	4.847995552495346777e-02
1.680336067213442641e+00	4.966225481967450478e-02
1.720344068813762561e+00	5.084454409867800173e-02
1.760352070414082704e+00	5.202682312382533175e-02
1.800360072014402846e+00	5.320909165697992882e-02
1.840368073614722988e+00	5.439134946000738491e-02
1.880376075215042908e+00	5.557359629477542223e-02
1.920384076815363050e+00	5.675583192315400427e-02
1.960392078415683192e+00	5.793805610701532882e-02
2.000400080016003113e+00	5.912026860823397373e-02
2.040408081616323255e+00	6.030246918868679973e-02
2.080416083216643397e+00	6.148465761025310311e-02
