# This wake potential is calculated with sigma = 0.4 mm.
# "s [mm]"	"Wake potential [V/pC]"
1.960392078415683415e+01	2.266287716920118989e-01
1.964392878575715073e+01	2.266161511918451665e-01
1.968393678735747088e+01	2.266035051986595716e-01
1.972394478895779102e+01	2.265908337138781148e-01
1.976395279055811471e+01	2.265781367389263778e-01
1.980396079215843130e+01	2.265654142752328570e-01
1.984396879375875145e+01	2.265526663242289629e-01
1.988397679535907159e+01	2.265398928873491036e-01
1.992398479695938818e+01	2.265270939660302130e-01
1.996399279855971542e+01	2.265142695617123059e-01
2.000400080016003201e+01	2.265014196758384502e-01
2.004400880176035216e+01	2.264885443098542117e-01
2.008401680336067230e+01	2.264756434652082651e-01
2.012402480496099244e+01	2.264627171433519770e-01
2.016403280656131258e+01	2.264497653457397952e-01
2.020404080816163273e+01	2.264367880738289429e-01
2.024404880976195287e+01	2.264237853290793634e-01
2.028405681136226946e+01	2.264107571129540808e-01
2.032406481296259315e+01	2.263977034269187838e-01
2.036407281456291329e+01	2.263846242724422975e-01
2.040408081616323344e+01	2.263715196509960559e-01
2.044408881776355358e+01	2.263583895640544075e-01
2.048409681936387372e+01	2.263452340130946983e-01
2.052410482096419031e+01	2.263320529995969943e-01
2.056411282256451400e+01	2.263188465250442760e-01
2.060412082416483415e+01	2.263056145909224937e-01
2.064412882576515074e+01	2.262923571987202342e-01
2.068413682736547443e+01	2.262790743499291379e-01
2.072414482896579102e+01	2.262657660460435927e-01
2.076415283056611472e+01	2.262524322885609840e-01
2.080416083216643486e+01	2.262390730789814453e-01
2.084416883376675500e+01	2.262256884188079964e-01
2.088417683536707159e+01	2.262122783095465162e-01
2.092418483696739173e+01	2.261988427527057977e-01
2.096419283856771543e+01	2.261853817497974928e-01
2.100420084016803202e+01	2.261718953023360290e-01
2.104420884176835571e+01	2.261583834118387482e-01
2.108421684336867230e+01	2.261448460798258786e-01
2.112422484496899244e+01	2.261312833078204521e-01
2.116423284656931614e+01	2.261176950973484423e-01
2.120424084816963273e+01	2.261040814499386820e-01
2.124424884976995287e+01	2.260904423671228070e-01
2.128425685137027301e+01	2.260767778504352010e-01
2.132426485297059315e+01	2.260630879014134120e-01
2.136427285457091330e+01	2.260493725215975969e-01
2.140428085617123699e+01	2.260356317125308823e-01
2.144428885777155358e+01	2.260218654757591983e-01
2.148429685937187372e+01	2.260080738128313615e-01
2.152430486097219386e+01	2.259942567252990753e-01
2.156431286257251401e+01	2.259804142147169292e-01
2.160432086417283415e+01	2.259665462826422333e-01
2.164432886577315429e+01	2.259526529306352671e-01
2.168433686737347443e+01	2.259387341602591415e-01
2.172434486897379102e+01	2.259247899730799924e-01
2.176435287057411827e+01	2.259108203706664542e-01
2.180436087217443486e+01	2.258968253545902416e-01
2.184436887377475500e+01	2.258828049264260118e-01
2.188437687537507514e+01	2.258687590877511697e-01
2.192438487697539173e+01	2.258546878401458957e-01
2.196439287857571898e+01	2.258405911851933956e-01
2.200440088017603557e+01	2.258264691244797062e-01
2.204440888177635571e+01	2.258123216595935567e-01
2.208441688337667586e+01	2.257981487921267016e-01
2.212442488497699600e+01	2.257839505236737543e-01
2.216443288657731614e+01	2.257697268558321313e-01
2.220444088817763628e+01	2.257554777902020249e-01
2.224444888977795642e+01	2.257412033283865693e-01
2.228445689137827301e+01	2.257269034719918688e-01
2.232446489297859671e+01	2.257125782226267752e-01
2.236447289457891685e+01	2.256982275819028605e-01
2.240448089617923699e+01	2.256838515514347498e-01
2.244448889777955713e+01	2.256694501328398994e-01
2.248449689937987728e+01	2.256550233277385686e-01
2.252450490098019387e+01	2.256405711377538204e-01
2.256451290258051756e+01	2.256260935645117427e-01
2.260452090418083770e+01	2.256115906096411161e-01
2.264452890578115429e+01	2.255970622747736076e-01
2.268453690738147799e+01	2.255825085615438541e-01
2.272454490898179458e+01	2.255679294715891847e-01
2.276455291058211827e+01	2.255533250065499540e-01
2.280456091218243841e+01	2.255386951680692087e-01
2.284456891378275856e+01	2.255240399577929100e-01
2.288457691538307515e+01	2.255093593773698779e-01
2.292458491698339529e+01	2.254946534284518467e-01
2.296459291858371898e+01	2.254799221126933262e-01
2.300460092018403557e+01	2.254651654317516296e-01
2.304460892178435927e+01	2.254503833872871232e-01
