# This wake function is calculated with resonator para. from eigenmode solver.
# "s [mm]"	"Wake potential [V/pC]"
0.000000000000000000e+00	2.822191168136000718e-08
4.000800160032006586e-02	2.297263464343450023e-01
8.001600320064013172e-02	2.297263059394254181e-01
1.200240048009601906e-01	2.297262396015163910e-01
1.600320064012802634e-01	2.297261474206256093e-01
2.000400080016003224e-01	2.297260293967636480e-01
2.400480096019203813e-01	2.297258855299439961e-01
2.800560112022403847e-01	2.297257158201829741e-01
3.200640128025605269e-01	2.297255202674999275e-01
3.600720144028806136e-01	2.297252988719170330e-01
4.000800160032006447e-01	2.297250516334593540e-01
4.400880176035206759e-01	2.297247785521549790e-01
4.800960192038407626e-01	2.297244796280347168e-01
5.201040208041608492e-01	2.297241548611324291e-01
5.601120224044807694e-01	2.297238042514848921e-01
6.001200240048009116e-01	2.297234277991317131e-01
6.401280256051210538e-01	2.297230255041154412e-01
6.801360272054411960e-01	2.297225973664815402e-01
7.201440288057612271e-01	2.297221433862783324e-01
7.601520304060811473e-01	2.297216635635570270e-01
8.001600320064012895e-01	2.297211578983719138e-01
8.401680336067213206e-01	2.297206263907800583e-01
8.801760352070413518e-01	2.297200690408413570e-01
9.201840368073614940e-01	2.297194858486188151e-01
9.601920384076815251e-01	2.297188768141781579e-01
1.000200040008001556e+00	2.297182419375881079e-01
1.040208041608321698e+00	2.297175812189202471e-01
1.080216043208641619e+00	2.297168946582491822e-01
1.120224044808961539e+00	2.297161822556523236e-01
1.160232046409281903e+00	2.297154440112098572e-01
1.200240048009601823e+00	2.297146799250052718e-01
1.240248049609921965e+00	2.297138899971245818e-01
1.280256051210242108e+00	2.297130742276568272e-01
1.320264052810562028e+00	2.297122326166939621e-01
1.360272054410882392e+00	2.297113651643309662e-01
1.400280056011202312e+00	2.297104718706655391e-01
1.440288057611522454e+00	2.297095527357983502e-01
1.480296059211842374e+00	2.297086077598330389e-01
1.520304060812162295e+00	2.297076369428760478e-01
1.560312062412482659e+00	2.297066402850369005e-01
1.600320064012802579e+00	2.297056177864277571e-01
1.640328065613122721e+00	2.297045694471638866e-01
1.680336067213442641e+00	2.297034952673635277e-01
1.720344068813762561e+00	2.297023952471475561e-01
1.760352070414082704e+00	2.297012693866400113e-01
