# f (Hz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
1.1700000e+03    3.9233569e+06    7.3680381e+06
1.1800000e+03    3.9172888e+06    7.3346388e+06
1.1900000e+03    3.9112207e+06    7.3012395e+06
1.2000000e+03    3.9051525e+06    7.2678403e+06
1.2100000e+03    3.8993744e+06    7.2358307e+06
1.2200000e+03    3.8938243e+06    7.2049445e+06
1.2300000e+03    3.8888621e+06    7.1767523e+06
1.2400000e+03    3.8846849e+06    7.1521814e+06
1.2500000e+03    3.8809435e+06    7.1290189e+06
1.2600000e+03    3.8777793e+06    7.1075071e+06
1.2700000e+03    3.8748468e+06    7.0866637e+06
1.2800000e+03    3.8719142e+06    7.0658203e+06
1.2900000e+03    3.8689816e+06    7.0449770e+06
1.3000000e+03    3.8660491e+06    7.0241336e+06
1.3100000e+03    3.8631165e+06    7.0032902e+06
1.3200000e+03    3.8601839e+06    6.9824468e+06
1.3300000e+03    3.8572513e+06    6.9616034e+06
1.3400000e+03    3.8543188e+06    6.9407600e+06
1.3500000e+03    3.8513862e+06    6.9199166e+06
1.3600000e+03    3.8484536e+06    6.8990732e+06
1.3700000e+03    3.8455211e+06    6.8782299e+06
1.3800000e+03    3.8425885e+06    6.8573865e+06
1.3900000e+03    3.8396559e+06    6.8365431e+06
1.4000000e+03    3.8367233e+06    6.8156997e+06
1.4100000e+03    3.8337908e+06    6.7948563e+06
1.4200000e+03    3.8308582e+06    6.7740129e+06
1.4300000e+03    3.8279256e+06    6.7531695e+06
1.4400000e+03    3.8249930e+06    6.7323261e+06
1.4500000e+03    3.8220605e+06    6.7114828e+06
1.4600000e+03    3.8191279e+06    6.6906394e+06
1.4700000e+03    3.8161953e+06    6.6697960e+06
1.4800000e+03    3.8132628e+06    6.6489526e+06
1.4900000e+03    3.8103302e+06    6.6281092e+06
1.5000000e+03    3.8073976e+06    6.6072658e+06
1.5100000e+03    3.8044650e+06    6.5864224e+06
1.5200000e+03    3.8015325e+06    6.5655790e+06
1.5300000e+03    3.7985999e+06    6.5447356e+06
1.5400000e+03    3.7956673e+06    6.5238923e+06
1.5500000e+03    3.7927348e+06    6.5030489e+06
1.5600000e+03    3.7898022e+06    6.4822055e+06
1.5700000e+03    3.7868696e+06    6.4613621e+06
1.5800000e+03    3.7839370e+06    6.4405187e+06
1.5900000e+03    3.7810045e+06    6.4196753e+06
1.6000000e+03    3.7780719e+06    6.3988319e+06
1.6100000e+03    3.7751393e+06    6.3779885e+06
1.6200000e+03    3.7722068e+06    6.3571452e+06
1.6300000e+03    3.7683838e+06    6.3424732e+06
1.6400000e+03    3.7644700e+06    6.3284563e+06
1.6500000e+03    3.7605537e+06    6.3145163e+06
1.6600000e+03    3.7567727e+06    6.3034729e+06
1.6700000e+03    3.7530578e+06    6.2938449e+06
1.6800000e+03    3.7493430e+06    6.2842169e+06
1.6900000e+03    3.7456281e+06    6.2745889e+06
1.7000000e+03    3.7419133e+06    6.2649609e+06
1.7100000e+03    3.7381985e+06    6.2553329e+06
1.7200000e+03    3.7344836e+06    6.2457049e+06
1.7300000e+03    3.7307688e+06    6.2360769e+06
1.7400000e+03    3.7270539e+06    6.2264489e+06
1.7500000e+03    3.7233391e+06    6.2168209e+06
1.7600000e+03    3.7196242e+06    6.2071929e+06
1.7700000e+03    3.7159094e+06    6.1975649e+06
1.7800000e+03    3.7121945e+06    6.1879369e+06
1.7900000e+03    3.7084797e+06    6.1783089e+06
1.8000000e+03    3.7047649e+06    6.1686809e+06
1.8100000e+03    3.7010500e+06    6.1590529e+06
1.8200000e+03    3.6973352e+06    6.1494249e+06
1.8300000e+03    3.6936203e+06    6.1397969e+06
1.8400000e+03    3.6899055e+06    6.1301689e+06
1.8500000e+03    3.6861906e+06    6.1205409e+06
1.8600000e+03    3.6824758e+06    6.1109129e+06
1.8700000e+03    3.6787609e+06    6.1012849e+06
1.8800000e+03    3.6750461e+06    6.0916569e+06
1.8900000e+03    3.6713313e+06    6.0820289e+06
1.9000000e+03    3.6676164e+06    6.0724009e+06
1.9100000e+03    3.6639016e+06    6.0627729e+06
1.9200000e+03    3.6601867e+06    6.0531449e+06
1.9300000e+03    3.6564719e+06    6.0435169e+06
1.9400000e+03    3.6527570e+06    6.0338889e+06
1.9500000e+03    3.6490422e+06    6.0242609e+06
1.9600000e+03    3.6453273e+06    6.0146329e+06
1.9700000e+03    3.6416125e+06    6.0050049e+06
