# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.0000000e+00    4.3604666e-01    -5.2872970e+06
1.0000000e-02    -4.8251100e+04    -4.8789424e+04
2.0000000e-02    -3.4462955e+04    -3.4736753e+04
3.0000000e-02    -2.6906203e+04    -2.7071498e+04
4.0000000e-02    -2.3979579e+04    -2.4111554e+04
5.0000000e-02    -2.1247473e+04    -2.1351170e+04
6.0000000e-02    -1.9450494e+04    -1.9536680e+04
7.0000000e-02    -1.8152832e+04    -1.8228634e+04
8.0000000e-02    -1.6855170e+04    -1.6920589e+04
9.0000000e-02    -1.5565596e+04    -1.5620700e+04
1.0000000e-01    -1.5151430e+04    -1.5203620e+04
1.1000000e-01    -1.4573422e+04    -1.4622056e+04
1.2000000e-01    -1.3985565e+04    -1.4030603e+04
1.3000000e-01    -1.3397707e+04    -1.3439150e+04
1.4000000e-01    -1.2809849e+04    -1.2847697e+04
1.5000000e-01    -1.2221992e+04    -1.2256244e+04
1.6000000e-01    -1.1731338e+04    -1.1762618e+04
1.7000000e-01    -1.1559549e+04    -1.1589902e+04
1.8000000e-01    -1.1355304e+04    -1.1384628e+04
1.9000000e-01    -1.1127225e+04    -1.1155446e+04
2.0000000e-01    -1.0878620e+04    -1.0905685e+04
2.1000000e-01    -1.0614766e+04    -1.0640637e+04
2.2000000e-01    -1.0350911e+04    -1.0375588e+04
2.3000000e-01    -1.0087057e+04    -1.0110539e+04
2.4000000e-01    -9.8232028e+03    -9.8454907e+03
2.5000000e-01    -9.5593486e+03    -9.5804421e+03
2.6000000e-01    -9.2954944e+03    -9.3153935e+03
2.7000000e-01    -9.0316402e+03    -9.0503449e+03
2.8000000e-01    -8.8083205e+03    -8.8260398e+03
2.9000000e-01    -8.6598008e+03    -8.6769202e+03
3.0000000e-01    -8.5229407e+03    -8.5395133e+03
3.1000000e-01    -8.3911300e+03    -8.4071788e+03
3.2000000e-01    -8.3273354e+03    -8.3431386e+03
3.3000000e-01    -8.2674805e+03    -8.2830542e+03
3.4000000e-01    -8.2076256e+03    -8.2229698e+03
3.5000000e-01    -8.1386036e+03    -8.1536994e+03
3.6000000e-01    -8.0525598e+03    -8.0673713e+03
3.7000000e-01    -7.9624758e+03    -7.9769942e+03
3.8000000e-01    -7.8723918e+03    -7.8866172e+03
3.9000000e-01    -7.7823078e+03    -7.7962402e+03
4.0000000e-01    -7.6922238e+03    -7.7058632e+03
4.1000000e-01    -7.6021398e+03    -7.6154861e+03
4.2000000e-01    -7.5120558e+03    -7.5251091e+03
4.3000000e-01    -7.4219718e+03    -7.4347321e+03
4.4000000e-01    -7.3318877e+03    -7.3443551e+03
4.5000000e-01    -7.2418037e+03    -7.2539780e+03
4.6000000e-01    -7.1517197e+03    -7.1636010e+03
4.7000000e-01    -7.0616357e+03    -7.0732240e+03
4.8000000e-01    -6.9715517e+03    -6.9828470e+03
4.9000000e-01    -6.8814677e+03    -6.8924700e+03
5.0000000e-01    -6.7913837e+03    -6.8020929e+03
5.1000000e-01    -6.7012997e+03    -6.7117159e+03
5.2000000e-01    -6.6112156e+03    -6.6213389e+03
5.3000000e-01    -6.5211316e+03    -6.5309619e+03
5.4000000e-01    -6.4310476e+03    -6.4405848e+03
5.5000000e-01    -6.3409636e+03    -6.3502078e+03
5.6000000e-01    -6.2508796e+03    -6.2598308e+03
5.7000000e-01    -6.2222025e+03    -6.2310695e+03
5.8000000e-01    -6.1977906e+03    -6.2065879e+03
5.9000000e-01    -6.1733788e+03    -6.1821064e+03
6.0000000e-01    -6.1489670e+03    -6.1576248e+03
6.1000000e-01    -6.1240572e+03    -6.1326446e+03
6.2000000e-01    -6.0968750e+03    -6.1053884e+03
6.3000000e-01    -6.0663219e+03    -6.0747560e+03
6.4000000e-01    -6.0308521e+03    -6.0391990e+03
6.5000000e-01    -5.9942208e+03    -6.0024788e+03
6.6000000e-01    -5.9575895e+03    -5.9657586e+03
6.7000000e-01    -5.9209583e+03    -5.9290383e+03
6.8000000e-01    -5.8843270e+03    -5.8923181e+03
6.9000000e-01    -5.8476958e+03    -5.8555978e+03
7.0000000e-01    -5.8110645e+03    -5.8188776e+03
7.1000000e-01    -5.7744332e+03    -5.7821573e+03
7.2000000e-01    -5.7378020e+03    -5.7454371e+03
7.3000000e-01    -5.7011707e+03    -5.7087168e+03
7.4000000e-01    -5.6645394e+03    -5.6719966e+03
7.5000000e-01    -5.6279082e+03    -5.6352763e+03
7.6000000e-01    -5.5912769e+03    -5.5985561e+03
7.7000000e-01    -5.5546456e+03    -5.5618359e+03
7.8000000e-01    -5.5180144e+03    -5.5251156e+03
7.9000000e-01    -5.4813831e+03    -5.4883954e+03
8.0000000e-01    -5.4447518e+03    -5.4516751e+03
8.1000000e-01    -5.4081206e+03    -5.4149549e+03
8.2000000e-01    -5.3714893e+03    -5.3782346e+03
8.3000000e-01    -5.3348581e+03    -5.3415144e+03
8.4000000e-01    -5.2982268e+03    -5.3047941e+03
8.5000000e-01    -5.2615955e+03    -5.2680739e+03
8.6000000e-01    -5.2249643e+03    -5.2313537e+03
8.7000000e-01    -5.1883330e+03    -5.1946334e+03
8.8000000e-01    -5.1517017e+03    -5.1579132e+03
8.9000000e-01    -5.1150705e+03    -5.1211929e+03
9.0000000e-01    -5.0784392e+03    -5.0844727e+03
9.1000000e-01    -5.0418079e+03    -5.0477524e+03
9.2000000e-01    -5.0051767e+03    -5.0110322e+03
9.3000000e-01    -4.9685454e+03    -4.9743119e+03
9.4000000e-01    -4.9319142e+03    -4.9375917e+03
9.5000000e-01    -4.8952829e+03    -4.9008715e+03
9.6000000e-01    -4.8586516e+03    -4.8641512e+03
9.7000000e-01    -4.8220204e+03    -4.8274310e+03
9.8000000e-01    -4.7853891e+03    -4.7907107e+03
9.9000000e-01    -4.7487578e+03    -4.7539905e+03
1.0000000e+00    -4.7121266e+03    -4.7172702e+03
1.0100000e+00    -4.6754953e+03    -4.6805500e+03
1.0200000e+00    -4.6593782e+03    -4.6643960e+03
1.0300000e+00    -4.6486490e+03    -4.6536441e+03
1.0400000e+00    -4.6370550e+03    -4.6420263e+03
1.0500000e+00    -4.6252905e+03    -4.6302378e+03
1.0600000e+00    -4.6124225e+03    -4.6173445e+03
1.0700000e+00    -4.5984525e+03    -4.6033479e+03
1.0800000e+00    -4.5830064e+03    -4.5878734e+03
1.0900000e+00    -4.5674167e+03    -4.5722551e+03
1.1000000e+00    -4.5518270e+03    -4.5566368e+03
1.1100000e+00    -4.5362372e+03    -4.5410185e+03
1.1200000e+00    -4.5206475e+03    -4.5254003e+03
1.1300000e+00    -4.5050578e+03    -4.5097820e+03
1.1400000e+00    -4.4894681e+03    -4.4941637e+03
1.1500000e+00    -4.4738784e+03    -4.4785454e+03
1.1600000e+00    -4.4582887e+03    -4.4629272e+03
1.1700000e+00    -4.4426990e+03    -4.4473089e+03
1.1800000e+00    -4.4271093e+03    -4.4316906e+03
1.1900000e+00    -4.4115196e+03    -4.4160724e+03
1.2000000e+00    -4.3959299e+03    -4.4004541e+03
1.2100000e+00    -4.3803402e+03    -4.3848358e+03
1.2200000e+00    -4.3647505e+03    -4.3692175e+03
1.2300000e+00    -4.3491608e+03    -4.3535993e+03
