# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
1.1700000e+00    3.1550128e+04    3.1390038e+04
1.1800000e+00    3.1441797e+04    3.1281185e+04
1.1900000e+00    3.1333466e+04    3.1172332e+04
1.2000000e+00    3.1225136e+04    3.1063479e+04
1.2100000e+00    3.1116805e+04    3.0954625e+04
1.2200000e+00    3.1008475e+04    3.0845772e+04
1.2300000e+00    3.0900144e+04    3.0736919e+04
1.2400000e+00    3.0791813e+04    3.0628066e+04
1.2500000e+00    3.0683483e+04    3.0519213e+04
1.2600000e+00    3.0575152e+04    3.0410359e+04
1.2700000e+00    3.0466822e+04    3.0301506e+04
1.2800000e+00    3.0358491e+04    3.0192653e+04
1.2900000e+00    3.0250160e+04    3.0083800e+04
1.3000000e+00    3.0141830e+04    2.9974947e+04
1.3100000e+00    3.0033499e+04    2.9866094e+04
1.3200000e+00    2.9925169e+04    2.9757240e+04
1.3300000e+00    2.9816838e+04    2.9648387e+04
1.3400000e+00    2.9708507e+04    2.9539534e+04
1.3500000e+00    2.9600177e+04    2.9430681e+04
1.3600000e+00    2.9491846e+04    2.9321828e+04
1.3700000e+00    2.9383516e+04    2.9212975e+04
1.3800000e+00    2.9275185e+04    2.9104121e+04
1.3900000e+00    2.9166854e+04    2.8995268e+04
1.4000000e+00    2.9058524e+04    2.8886415e+04
1.4100000e+00    2.8950193e+04    2.8777562e+04
1.4200000e+00    2.8841863e+04    2.8668709e+04
1.4300000e+00    2.8733532e+04    2.8559856e+04
1.4400000e+00    2.8625201e+04    2.8451002e+04
1.4500000e+00    2.8516871e+04    2.8342149e+04
1.4600000e+00    2.8408540e+04    2.8233296e+04
1.4700000e+00    2.8300209e+04    2.8124443e+04
1.4800000e+00    2.8191879e+04    2.8015590e+04
1.4900000e+00    2.8083548e+04    2.7906736e+04
1.5000000e+00    2.7975218e+04    2.7797883e+04
1.5100000e+00    2.7866887e+04    2.7689030e+04
1.5200000e+00    2.7758556e+04    2.7580177e+04
1.5300000e+00    2.7650226e+04    2.7471324e+04
1.5400000e+00    2.7541895e+04    2.7362471e+04
1.5500000e+00    2.7433565e+04    2.7253617e+04
1.5600000e+00    2.7325234e+04    2.7144764e+04
1.5700000e+00    2.7216903e+04    2.7035911e+04
1.5800000e+00    2.7108573e+04    2.6927058e+04
1.5900000e+00    2.7000242e+04    2.6818205e+04
1.6000000e+00    2.6891912e+04    2.6709352e+04
1.6100000e+00    2.6783581e+04    2.6600498e+04
1.6200000e+00    2.6675250e+04    2.6491645e+04
1.6300000e+00    2.6566920e+04    2.6382792e+04
1.6400000e+00    2.6458589e+04    2.6273939e+04
1.6500000e+00    2.6350259e+04    2.6165086e+04
1.6600000e+00    2.6241928e+04    2.6056233e+04
1.6700000e+00    2.6133597e+04    2.5947379e+04
1.6800000e+00    2.6025267e+04    2.5838526e+04
1.6900000e+00    2.5916936e+04    2.5729673e+04
1.7000000e+00    2.5808606e+04    2.5620820e+04
1.7100000e+00    2.5700275e+04    2.5511967e+04
1.7200000e+00    2.5591944e+04    2.5403113e+04
1.7300000e+00    2.5514054e+04    2.5324828e+04
1.7400000e+00    2.5458906e+04    2.5269378e+04
1.7500000e+00    2.5404495e+04    2.5214665e+04
1.7600000e+00    2.5350266e+04    2.5160135e+04
1.7700000e+00    2.5296092e+04    2.5105660e+04
1.7800000e+00    2.5242773e+04    2.5052041e+04
1.7900000e+00    2.5189695e+04    2.4998663e+04
1.8000000e+00    2.5137238e+04    2.4945907e+04
1.8100000e+00    2.5085210e+04    2.4893580e+04
1.8200000e+00    2.5034111e+04    2.4842183e+04
1.8300000e+00    2.4983127e+04    2.4790901e+04
1.8400000e+00    2.4932263e+04    2.4739739e+04
1.8500000e+00    2.4881398e+04    2.4688577e+04
1.8600000e+00    2.4830534e+04    2.4637415e+04
1.8700000e+00    2.4779670e+04    2.4586252e+04
1.8800000e+00    2.4728805e+04    2.4535090e+04
1.8900000e+00    2.4677941e+04    2.4483928e+04
1.9000000e+00    2.4627077e+04    2.4432766e+04
1.9100000e+00    2.4576213e+04    2.4381604e+04
1.9200000e+00    2.4525348e+04    2.4330442e+04
1.9300000e+00    2.4474484e+04    2.4279280e+04
1.9400000e+00    2.4423620e+04    2.4228117e+04
1.9500000e+00    2.4372755e+04    2.4176955e+04
1.9600000e+00    2.4322078e+04    2.4125980e+04
1.9700000e+00    2.4271600e+04    2.4075205e+04
1.9800000e+00    2.4221123e+04    2.4024430e+04
1.9900000e+00    2.4170645e+04    2.3973655e+04
2.0000000e+00    2.4120276e+04    2.3922989e+04
2.0100000e+00    2.4070109e+04    2.3872524e+04
2.0200000e+00    2.4019942e+04    2.3822059e+04
2.0300000e+00    2.3969968e+04    2.3771789e+04
2.0400000e+00    2.3920054e+04    2.3721577e+04
2.0500000e+00    2.3870386e+04    2.3671612e+04
2.0600000e+00    2.3820718e+04    2.3621648e+04
2.0700000e+00    2.3771050e+04    2.3571683e+04
2.0800000e+00    2.3721382e+04    2.3521718e+04
2.0900000e+00    2.3671714e+04    2.3471753e+04
2.1000000e+00    2.3622046e+04    2.3421788e+04
2.1100000e+00    2.3572378e+04    2.3371824e+04
2.1200000e+00    2.3522710e+04    2.3321859e+04
2.1300000e+00    2.3473042e+04    2.3271894e+04
2.1400000e+00    2.3423374e+04    2.3221929e+04
2.1500000e+00    2.3373706e+04    2.3171964e+04
2.1600000e+00    2.3324039e+04    2.3122000e+04
2.1700000e+00    2.3274371e+04    2.3072035e+04
2.1800000e+00    2.3224703e+04    2.3022070e+04
2.1900000e+00    2.3175581e+04    2.2972652e+04
2.2000000e+00    2.3126546e+04    2.2923321e+04
2.2100000e+00    2.3077511e+04    2.2873989e+04
2.2200000e+00    2.3028476e+04    2.2824658e+04
