# f (GHz)        Re[Z] (Ohm/m)     Im[Z] (Ohm/m)
0.0000000e+00    1.1148222e-01    -1.2356582e+07
1.0000000e-02    -5.5246958e+05    -6.0380406e+05
2.0000000e-02    -4.0310653e+05    -4.2966355e+05
3.0000000e-02    -3.3213488e+05    -3.4981096e+05
4.0000000e-02    -2.8962428e+05    -3.0291686e+05
5.0000000e-02    -2.6121053e+05    -2.7201088e+05
6.0000000e-02    -2.3808053e+05    -2.4696768e+05
7.0000000e-02    -2.2147982e+05    -2.2915428e+05
8.0000000e-02    -2.0823628e+05    -2.1502068e+05
9.0000000e-02    -1.9604306e+05    -2.0202133e+05
1.0000000e-01    -1.8711662e+05    -1.9256687e+05
1.1000000e-01    -1.7787813e+05    -1.8278968e+05
1.2000000e-01    -1.7075918e+05    -1.7527716e+05
1.3000000e-01    -1.6453888e+05    -1.6873713e+05
1.4000000e-01    -1.5829387e+05    -1.6217133e+05
1.5000000e-01    -1.5276595e+05    -1.5636445e+05
1.6000000e-01    -1.4858149e+05    -1.5199036e+05
1.7000000e-01    -1.4439952e+05    -1.4761880e+05
1.8000000e-01    -1.4018334e+05    -1.4321209e+05
1.9000000e-01    -1.3592056e+05    -1.3875625e+05
2.0000000e-01    -1.3280358e+05    -1.3551038e+05
2.1000000e-01    -1.2969787e+05    -1.3227654e+05
2.2000000e-01    -1.2658737e+05    -1.2903911e+05
2.3000000e-01    -1.2399459e+05    -1.2634962e+05
2.4000000e-01    -1.2139750e+05    -1.2365570e+05
2.5000000e-01    -1.1880087e+05    -1.2096181e+05
2.6000000e-01    -1.1664647e+05    -1.1872743e+05
2.7000000e-01    -1.1463063e+05    -1.1663989e+05
2.8000000e-01    -1.1261479e+05    -1.1455235e+05
2.9000000e-01    -1.1059895e+05    -1.1246481e+05
3.0000000e-01    -1.0883962e+05    -1.1064661e+05
3.1000000e-01    -1.0718590e+05    -1.0893909e+05
3.2000000e-01    -1.0549163e+05    -1.0719019e+05
3.3000000e-01    -1.0378016e+05    -1.0542366e+05
3.4000000e-01    -1.0222115e+05    -1.0381309e+05
3.5000000e-01    -1.0091627e+05    -1.0246774e+05
3.6000000e-01    -9.9586287e+04    -1.0109694e+05
3.7000000e-01    -9.8256308e+04    -9.9726129e+04
3.8000000e-01    -9.6918782e+04    -9.8347733e+04
3.9000000e-01    -9.5580515e+04    -9.6968593e+04
4.0000000e-01    -9.4462384e+04    -9.5819158e+04
4.1000000e-01    -9.3356573e+04    -9.4682541e+04
4.2000000e-01    -9.2249243e+04    -9.3544398e+04
4.3000000e-01    -9.1131854e+04    -9.2396030e+04
4.4000000e-01    -9.0013207e+04    -9.1246373e+04
4.5000000e-01    -8.8956585e+04    -9.0159295e+04
4.6000000e-01    -8.8080898e+04    -8.9260091e+04
4.7000000e-01    -8.7220899e+04    -8.8377268e+04
4.8000000e-01    -8.6357797e+04    -8.7491276e+04
4.9000000e-01    -8.5491142e+04    -8.6601672e+04
5.0000000e-01    -8.4624488e+04    -8.5712069e+04
5.1000000e-01    -8.3757464e+04    -8.4822095e+04
5.2000000e-01    -8.2887686e+04    -8.3929352e+04
5.3000000e-01    -8.2158167e+04    -8.3182111e+04
5.4000000e-01    -8.1441866e+04    -8.2448525e+04
5.5000000e-01    -8.0725614e+04    -8.1714988e+04
5.6000000e-01    -8.0009362e+04    -8.0981452e+04
5.7000000e-01    -7.9293524e+04    -8.0248332e+04
5.8000000e-01    -7.8577835e+04    -7.9515363e+04
5.9000000e-01    -7.7862629e+04    -7.8782881e+04
6.0000000e-01    -7.7182247e+04    -7.8085502e+04
6.1000000e-01    -7.6578584e+04    -7.7467547e+04
6.2000000e-01    -7.5986479e+04    -7.6861576e+04
6.3000000e-01    -7.5398080e+04    -7.6259342e+04
6.4000000e-01    -7.4806939e+04    -7.5654470e+04
6.5000000e-01    -7.4241548e+04    -7.5076435e+04
6.6000000e-01    -7.3676156e+04    -7.4498399e+04
6.7000000e-01    -7.3119653e+04    -7.3929317e+04
6.8000000e-01    -7.2588935e+04    -7.3386672e+04
6.9000000e-01    -7.2111265e+04    -7.2898813e+04
7.0000000e-01    -7.1631101e+04    -7.2408447e+04
7.1000000e-01    -7.1150937e+04    -7.1918082e+04
7.2000000e-01    -7.0670773e+04    -7.1427716e+04
7.3000000e-01    -7.0190609e+04    -7.0937351e+04
7.4000000e-01    -6.9710445e+04    -7.0446986e+04
7.5000000e-01    -6.9230281e+04    -6.9956620e+04
7.6000000e-01    -6.8748787e+04    -6.9464920e+04
7.7000000e-01    -6.8263957e+04    -6.8969872e+04
7.8000000e-01    -6.7792381e+04    -6.8488169e+04
7.9000000e-01    -6.7342215e+04    -6.8028392e+04
8.0000000e-01    -6.6962425e+04    -6.7641123e+04
8.1000000e-01    -6.6583105e+04    -6.7254327e+04
8.2000000e-01    -6.6204292e+04    -6.6868041e+04
8.3000000e-01    -6.5825339e+04    -6.6481616e+04
8.4000000e-01    -6.5446387e+04    -6.6095191e+04
8.5000000e-01    -6.5067434e+04    -6.5708765e+04
8.6000000e-01    -6.4688482e+04    -6.5322340e+04
8.7000000e-01    -6.4306832e+04    -6.4933173e+04
8.8000000e-01    -6.3923829e+04    -6.4542629e+04
