#Parameters = {Nmesh=22; wakelength=5000; xbeam=3; xshift=-3; ybeam=0; yshift=-0}
#"Frequency / GHz"	"X [Re]"	"X [Im]"
#-----------------------------------
0.0000000000000	-6.5403609460671e-14	0.49744374977979
0.0011376826966550	0.041923239825278	0.49556305988591
0.0022753653933099	0.083488327434382	0.48993878663523
0.0034130480899649	0.12434073884567	0.48062413001637
0.0045507307866199	0.16413316652324	0.46770712781070
0.0056884134832749	0.20252902800521	0.45130971978657
0.0068260961799298	0.23920585631384	0.43158645246722
0.0079637788765848	0.27385853488319	0.40872283915699
0.0091014615732398	0.30620234154304	0.38293339380675
0.010239144269895	0.33597576831041	0.35445936097625
0.011376826966550	0.36294308633575	0.32356616756536
0.012514509663205	0.38689662829903	0.29054062509759
0.013652192359860	0.40765876381600	0.25568791411148
0.014789875056515	0.42508354695709	0.21932838461605
0.015927557753170	0.43905801876014	0.18179420856855
0.017065240449825	0.44950315158600	0.14342592191127
0.018202923146480	0.45637442627779	0.10456889484429
0.019340605843135	0.45966203728990	0.065569769697249
0.020478288539790	0.45939072520208	0.026772905990683
0.021615971236444	0.45561924027752	-0.011483127956752
0.022753653933099	0.44843944490948	-0.048868978209701
0.023891336629754	0.43797506688217	-0.085067805659505
0.025029019326409	0.42438011929746	-0.11977842777432
0.026166702023064	0.40783700674518	-0.15271826768469
0.027304384719719	0.38855434077764	-0.18362607900534
0.028442067416374	0.36676449094727	-0.21226441752385
0.029579750113029	0.34272090054388	-0.23842183394151
0.030717432809684	0.31669519869210	-0.26191476519311
0.031855115506339	0.28897414261030	-0.28258910545997
0.032992798202994	0.25985642556832	-0.30032144178034
0.034130480899649	0.22964938739050	-0.31501994310760
0.035268163596304	0.19866566522305	-0.32662489572168
0.036405846292959	0.16721982270845	-0.33510888201400
0.037543528989614	0.13562499568510	-0.34047660379174
0.038681211686269	0.10418959205764	-0.34276435533414
0.039818894382924	0.073214082572032	-0.34203915543318
0.040956577079579	0.042987917891916	-0.33839755151638
0.042094259776234	0.013786605627825	-0.33196411263469
0.043231942472889	-0.014131021158681	-0.32288963156117
0.044369625169544	-0.040525314939852	-0.31134905944566
0.045507307866199	-0.065178077970180	-0.29753919937048
0.046644990562854	-0.087894556672926	-0.28167618771974
0.047782673259509	-0.10850514638890	-0.26399279448077
0.048920355956164	-0.12686679026978	-0.24473557541712
0.050058038652819	-0.14286405982026	-0.22416191046857
0.051195721349474	-0.15640990843376	-0.20253696373116
0.052333404046129	-0.16744609317782	-0.18013060093899
0.053471086742784	-0.17594326402076	-0.15721430050748
0.054608769439439	-0.18190072360213	-0.13405809390454
0.055746452136094	-0.18534586448981	-0.11092757039961
0.056884134832749	-0.18633329459028	-0.088080980112173
0.058021817529404	-0.18494366494071	-0.065766467757783
