#Parameters = {Nmesh=17; sig_z=0.4; wakelength=200; xbeam=0; xshift=-0; ybeam=0; yshift=-0}
#"Frequency / GHz"	"Z [Re]"	"Z [Im]"
#-----------------------------------
0.0000000000000	-0.029284826640608	-3.7169724261303e-14
0.0085326202249123	-0.029263904555249	0.0016176270045906
0.017065240449825	-0.029201167956047	0.0032336832528386
0.025597860674737	-0.029096705774830	0.0048466001614448
0.034130480899649	-0.028950666101979	0.0064548134905692
0.042663101124561	-0.028763255992635	0.0080567655087690
0.051195721349474	-0.028534741195684	0.0096509071497320
0.059728341574386	-0.028265445805890	0.011235700158190
0.068260961799298	-0.027955751839579	0.012809619222282
0.076793582024211	-0.027606098734408	0.014371154089667
0.085326202249123	-0.027216982773820	0.015918811664779
0.093858822474035	-0.026788956436868	0.017451118084567
0.10239144269895	-0.026322627674261	0.018966620770091
0.11092406292386	-0.025818659111388	0.020463890451448
0.11945668314877	-0.025277767179485	0.021941523163446
0.12798930337368	-0.024700721175794	0.023398142209515
0.13652192359860	-0.024088342254009	0.024832400091393
0.14505454382351	-0.023441502346179	0.026242980402154
0.15358716404842	-0.022761123017377	0.027628599680185
0.16211978427333	-0.022048174254575	0.028988009221783
0.17065240449825	-0.021303673191152	0.030319996850056
0.17918502472316	-0.020528682768594	0.031623388637914
0.18771764494807	-0.019724310337093	0.032897050582925
0.19625026517298	-0.018891706196647	0.034139890232009
0.20478288539790	-0.018032062080507	0.035350858253730
0.21331550562281	-0.017146609582808	0.036528949956383
0.22184812584772	-0.016236618532323	0.037673206749761
0.23038074607263	-0.015303395314273	0.038782717548871
0.23891336629754	-0.014348281142288	0.039856620117672
0.24744598652246	-0.013372650282666	0.040894102351212
0.25597860674737	-0.012377908232983	0.041894403494427
0.26451122697228	-0.011365489857443	0.042856815296107
0.27304384719719	-0.010336857481083	0.043780683096409
0.28157646742211	-0.0092934989453037	0.044665406846601
0.29010908764702	-0.0082369256270372	0.045510442059648
0.29864170787193	-0.0071686704239811	0.046315300690393
0.30717432809684	-0.0060902857084220	0.047079551944129
0.31570694832175	-0.0050033412520671	0.047802823012531
0.32423956854667	-0.0039094221245127	0.048484799735892
0.33277218877158	-0.0028101265679211	0.049125227190799
0.34130480899649	-0.0017070638504457	0.049723910202346
0.34983742922140	-0.00060185210114218	0.050280713780287
0.35837004944632	0.00050388387104307	0.050795563478335
0.36690266967123	0.0016085147714884	0.051268445676180
0.37543528989614	0.0027104090246130	0.051699407783709
0.38396791012105	0.0038079349863908	0.052088558367062
0.39250053034597	0.0048994631619361	0.052436067196310
0.40103315057088	0.0059833684254123	0.052742165214539
0.40956577079579	0.0070580322394485	0.053007144428244
0.41809839102070	0.0081218448715119	0.053231357719107
0.42663101124561	0.0091732076042665	0.053415218577272
0.43516363147053	0.010210534937317	0.053559200756198
