        Frequency / GHz                Z Real (kOhm/m)
----------------------------------------------------------------------
   0.00000E+00  0.00000E+00
   0.46823      0.70291E-02
   0.93647      0.16363E-01
    1.4047      0.29117E-01
    1.8729      0.43852E-01
    2.3412      0.56926E-01
    2.8094      0.65211E-01
    3.2776      0.68410E-01
    3.7459      0.68761E-01
    4.2141      0.69082E-01
    4.6823      0.71121E-01
    5.1506      0.74925E-01
    5.6188      0.79309E-01
    6.0870      0.83001E-01
    6.5553      0.85476E-01
    7.0235      0.86859E-01
    7.4918      0.87359E-01
    7.9600      0.86979E-01
    8.4282      0.85633E-01
    8.8965      0.83415E-01
    9.3647      0.80683E-01
    9.8329      0.77873E-01
    10.301      0.75274E-01
    10.769      0.72977E-01
    11.238      0.70995E-01
    11.706      0.69371E-01
    12.174      0.68185E-01
    12.642      0.67457E-01
    13.111      0.67070E-01
    13.579      0.66810E-01
    14.047      0.66482E-01
    14.515      0.65986E-01
    14.984      0.65306E-01
    15.452      0.64434E-01
    15.920      0.63332E-01
    16.388      0.61953E-01
    16.856      0.60318E-01
    17.325      0.58535E-01
    17.793      0.56745E-01
    18.261      0.55052E-01
    18.729      0.53494E-01
    19.198      0.52076E-01
    19.666      0.50810E-01
    20.134      0.49729E-01
    20.602      0.48845E-01
    21.071      0.48118E-01
    21.539      0.47467E-01
    22.007      0.46810E-01
    22.475      0.46094E-01
    22.943      0.45307E-01
    23.412      0.44446E-01
    23.880      0.43500E-01
    24.348      0.42461E-01
    24.816      0.41344E-01
    25.285      0.40191E-01
    25.753      0.39061E-01
    26.221      0.38008E-01
    26.689      0.37055E-01
    27.158      0.36210E-01
    27.626      0.35478E-01
    28.094      0.34864E-01
    28.562      0.34362E-01
    29.031      0.33949E-01
    29.499      0.33584E-01
    29.967      0.33223E-01
    30.435      0.32841E-01
    30.903      0.32425E-01
    31.372      0.31970E-01
    31.840      0.31469E-01
    32.308      0.30924E-01
    32.776      0.30346E-01
    33.245      0.29764E-01
    33.713      0.29212E-01
    34.181      0.28712E-01
    34.649      0.28277E-01
    35.118      0.27909E-01
    35.586      0.27611E-01
    36.054      0.27383E-01
    36.522      0.27218E-01
    36.991      0.27097E-01
    37.459      0.26988E-01
    37.927      0.26867E-01
    38.395      0.26716E-01
    38.863      0.26531E-01
    39.332      0.26310E-01
    39.800      0.26051E-01
    40.268      0.25754E-01
    40.736      0.25428E-01
    41.205      0.25093E-01
    41.673      0.24773E-01
    42.141      0.24484E-01
    42.609      0.24233E-01
    43.078      0.24019E-01
    43.546      0.23840E-01
    44.014      0.23695E-01
    44.482      0.23580E-01
    44.951      0.23480E-01
    45.419      0.23376E-01
    45.887      0.23250E-01
    46.355      0.23092E-01
    46.823      0.22898E-01
    47.292      0.22671E-01
    47.760      0.22413E-01
    48.228      0.22128E-01
    48.696      0.21825E-01
    49.165      0.21518E-01
    49.633      0.21221E-01
    50.101      0.20949E-01
    50.569      0.20707E-01
    51.038      0.20494E-01
    51.506      0.20308E-01
    51.974      0.20147E-01
    52.442      0.20005E-01
    52.910      0.19872E-01
    53.379      0.19736E-01
    53.847      0.19585E-01
    54.315      0.19412E-01
    54.783      0.19218E-01
    55.252      0.19004E-01
    55.720      0.18773E-01
    56.188      0.18530E-01
    56.656      0.18283E-01
    57.125      0.18044E-01
    57.593      0.17824E-01
    58.061      0.17631E-01
    58.529      0.17467E-01
    58.998      0.17330E-01
    59.466      0.17219E-01
    59.934      0.17130E-01
    60.402      0.17057E-01
