        Frequency / GHz                Z Real (kOhm/m)
    112.84      0.92027E-02
    113.31      0.91896E-02
    113.78      0.91859E-02
    114.25      0.91886E-02
    114.72      0.91942E-02
    115.19      0.92002E-02
    115.65      0.92041E-02
    116.12      0.92033E-02
    116.59      0.91957E-02
    117.06      0.91802E-02
    117.53      0.91567E-02
    118.00      0.91266E-02
    118.46      0.90925E-02
    118.93      0.90566E-02
    119.40      0.90205E-02
    119.87      0.89858E-02
    120.34      0.89539E-02
    120.80      0.89253E-02
    121.27      0.89001E-02
    121.74      0.88769E-02
    122.21      0.88530E-02
    122.68      0.88261E-02
    123.15      0.87945E-02
    123.61      0.87563E-02
    124.08      0.87105E-02
    124.55      0.86566E-02
    125.02      0.85950E-02
    125.49      0.85270E-02
    125.96      0.84555E-02
    126.42      0.83835E-02
    126.89      0.83135E-02
    127.36      0.82480E-02
    127.83      0.81892E-02
    128.30      0.81386E-02
    128.76      0.80970E-02
    129.23      0.80643E-02
    129.70      0.80387E-02
    130.17      0.80182E-02
    130.64      0.80010E-02
    131.11      0.79854E-02
    131.57      0.79699E-02
    132.04      0.79533E-02
    132.51      0.79349E-02
    132.98      0.79145E-02
    133.45      0.78936E-02
    133.92      0.78741E-02
    134.38      0.78573E-02
    134.85      0.78445E-02
    135.32      0.78365E-02
    135.79      0.78335E-02
    136.26      0.78354E-02
    136.72      0.78418E-02
    137.19      0.78505E-02
    137.66      0.78587E-02
    138.13      0.78638E-02
    138.60      0.78633E-02
    139.07      0.78552E-02
    139.53      0.78385E-02
    140.00      0.78123E-02
    140.47      0.77763E-02
    140.94      0.77313E-02
    141.41      0.76797E-02
    141.88      0.76236E-02
    142.34      0.75660E-02
    142.81      0.75090E-02
    143.28      0.74543E-02
    143.75      0.74033E-02
    144.22      0.73574E-02
    144.68      0.73170E-02
    145.15      0.72813E-02
    145.62      0.72497E-02
    146.09      0.72209E-02
    146.56      0.71937E-02
    147.03      0.71678E-02
    147.49      0.71432E-02
    147.96      0.71194E-02
    148.43      0.70970E-02
    148.90      0.70773E-02
    149.37      0.70613E-02
    149.84      0.70504E-02
    150.30      0.70456E-02
    150.77      0.70470E-02
    151.24      0.70538E-02
    151.71      0.70653E-02
    152.18      0.70798E-02
    152.64      0.70948E-02
    153.11      0.71075E-02
    153.58      0.71150E-02
    154.05      0.71143E-02
    154.52      0.71036E-02
    154.99      0.70822E-02
    155.45      0.70493E-02
    155.92      0.70054E-02
    156.39      0.69524E-02
    156.86      0.68929E-02
    157.33      0.68303E-02
    157.79      0.67685E-02
    158.26      0.67105E-02
    158.73      0.66589E-02
    159.20      0.66163E-02
    159.67      0.65845E-02
    160.14      0.65642E-02
    160.60      0.65551E-02
    161.07      0.65560E-02
    161.54      0.65645E-02
    162.01      0.65781E-02
    162.48      0.65948E-02
    162.95      0.66117E-02
    163.41      0.66259E-02
    163.88      0.66350E-02
    164.35      0.66368E-02
    164.82      0.66299E-02
    165.29      0.66140E-02
    165.75      0.65890E-02
    166.22      0.65552E-02
    166.69      0.65139E-02
    167.16      0.64675E-02
    167.63      0.64188E-02
    168.10      0.63714E-02
    168.56      0.63289E-02
    169.03      0.62941E-02
    169.50      0.62698E-02
    169.97      0.62581E-02
    170.44      0.62591E-02
    170.91      0.62708E-02
    171.37      0.62893E-02
    171.84      0.63087E-02
    172.31      0.63223E-02
    172.78      0.63244E-02
    173.25      0.63101E-02
    173.71      0.62771E-02
    174.18      0.62277E-02
    174.65      0.61693E-02
    175.12      0.61128E-02
    175.59      0.60706E-02
    176.06      0.60531E-02
    176.52      0.60634E-02
    176.99      0.60955E-02
    177.46      0.61349E-02
    177.93      0.61615E-02
    178.40      0.61575E-02
    178.87      0.61173E-02
    179.33      0.60522E-02
    179.80      0.59872E-02
    180.27      0.59485E-02
    180.74      0.59450E-02
    181.21      0.59595E-02
    181.67      0.59636E-02
    182.14      0.59440E-02
    182.61      0.59150E-02
    183.08      0.58998E-02
    183.55      0.59032E-02
    184.02      0.59093E-02
    184.48      0.59048E-02
    184.95      0.58928E-02
    185.42      0.58804E-02
    185.89      0.58673E-02
    186.36      0.58501E-02
    186.83      0.58273E-02
    187.29      0.57988E-02
    187.76      0.57646E-02
    188.23      0.57265E-02
    188.70      0.56886E-02
    189.17      0.56560E-02
    189.63      0.56318E-02
    190.10      0.56152E-02
    190.57      0.56032E-02
    191.04      0.55923E-02
    191.51      0.55794E-02
    191.98      0.55616E-02
    192.44      0.55385E-02
    192.91      0.55106E-02
    193.38      0.54794E-02
    193.85      0.54472E-02
    194.32      0.54169E-02
    194.79      0.53909E-02
    195.25      0.53717E-02
    195.72      0.53608E-02
    196.19      0.53577E-02
    196.66      0.53591E-02
    197.13      0.53611E-02
    197.59      0.53594E-02
    198.06      0.53518E-02
    198.53      0.53399E-02
    199.00      0.53270E-02
    199.47      0.53149E-02
    199.94      0.53044E-02
    200.40      0.52952E-02
    200.87      0.52862E-02
    201.34      0.52767E-02
    201.81      0.52669E-02
    202.28      0.52563E-02
    202.75      0.52449E-02
    203.21      0.52332E-02
    203.68      0.52215E-02
    204.15      0.52098E-02
    204.62      0.51986E-02
    205.09      0.51884E-02
    205.55      0.51789E-02
    206.02      0.51705E-02
    206.49      0.51632E-02
    206.96      0.51560E-02
    207.43      0.51487E-02
    207.90      0.51411E-02
    208.36      0.51327E-02
    208.83      0.51231E-02
    209.30      0.51128E-02
    209.77      0.51015E-02
    210.24      0.50890E-02
    210.71      0.50761E-02
    211.17      0.50634E-02
    211.64      0.50509E-02
    212.11      0.50393E-02
    212.58      0.50291E-02
    213.05      0.50198E-02
    213.51      0.50115E-02
    213.98      0.50047E-02
    214.45      0.49985E-02
    214.92      0.49922E-02
    215.39      0.49857E-02
    215.86      0.49782E-02
    216.32      0.49692E-02
    216.79      0.49592E-02
    217.26      0.49482E-02
    217.73      0.49360E-02
    218.20      0.49234E-02
    218.67      0.49109E-02
    219.13      0.48986E-02
    219.60      0.48871E-02
    220.07      0.48770E-02
    220.54      0.48681E-02
    221.01      0.48603E-02
    221.47      0.48539E-02
    221.94      0.48481E-02
    222.41      0.48422E-02
    222.88      0.48364E-02
    223.35      0.48300E-02
    223.82      0.48222E-02
    224.28      0.48132E-02
    224.75      0.48032E-02
    225.22      0.47918E-02
    225.69      0.47797E-02
    226.16      0.47677E-02
    226.63      0.47558E-02
    227.09      0.47445E-02
    227.56      0.47346E-02
    228.03      0.47259E-02
    228.50      0.47184E-02
    228.97      0.47123E-02
    229.43      0.47071E-02
    229.90      0.47019E-02
    230.37      0.46967E-02
    230.84      0.46911E-02
    231.31      0.46841E-02
    231.78      0.46760E-02
    232.24      0.46670E-02
    232.71      0.46566E-02
    233.18      0.46452E-02
    233.65      0.46337E-02
    234.12      0.46224E-02
    234.59      0.46115E-02
    235.05      0.46020E-02
    235.52      0.45937E-02
    235.99      0.45863E-02
    236.46      0.45803E-02
    236.93      0.45755E-02
    237.39      0.45709E-02
    237.86      0.45664E-02
    238.33      0.45615E-02
    238.80      0.45553E-02
    239.27      0.45479E-02
    239.74      0.45396E-02
    240.20      0.45301E-02
    240.67      0.45194E-02
    241.14      0.45086E-02
    241.61      0.44976E-02
    242.08      0.44870E-02
    242.55      0.44776E-02
    243.01      0.44696E-02
    243.48      0.44625E-02
    243.95      0.44566E-02
    244.42      0.44519E-02
    244.89      0.44476E-02
    245.35      0.44434E-02
    245.82      0.44391E-02
    246.29      0.44337E-02
    246.76      0.44268E-02
    247.23      0.44192E-02
    247.70      0.44104E-02
    248.16      0.44004E-02
    248.63      0.43902E-02
    249.10      0.43800E-02
    249.57      0.43698E-02
    250.04      0.43606E-02
    250.51      0.43529E-02
    250.97      0.43462E-02
    251.44      0.43407E-02
    251.91      0.43365E-02
    252.38      0.43325E-02
    252.85      0.43286E-02
    253.31      0.43249E-02
    253.78      0.43202E-02
    254.25      0.43141E-02
    254.72      0.43072E-02
    255.19      0.42992E-02
    255.66      0.42897E-02
    256.12      0.42799E-02
    256.59      0.42705E-02
    257.06      0.42608E-02
    257.53      0.42519E-02
    258.00      0.42445E-02
    258.47      0.42379E-02
    258.93      0.42325E-02
    259.40      0.42286E-02
    259.87      0.42251E-02
    260.34      0.42215E-02
    260.81      0.42179E-02
    261.27      0.42136E-02
    261.74      0.42080E-02
    262.21      0.42018E-02
    262.68      0.41945E-02
    263.15      0.41856E-02
    263.62      0.41762E-02
    264.08      0.41671E-02
    264.55      0.41580E-02
    265.02      0.41494E-02
    265.49      0.41424E-02
    265.96      0.41363E-02
    266.43      0.41308E-02
    266.89      0.41268E-02
    267.36      0.41237E-02
    267.83      0.41206E-02
    268.30      0.41174E-02
    268.77      0.41135E-02
    269.23      0.41082E-02
    269.70      0.41023E-02
    270.17      0.40958E-02
    270.64      0.40876E-02
    271.11      0.40786E-02
    271.58      0.40701E-02
    272.04      0.40615E-02
    272.51      0.40531E-02
    272.98      0.40464E-02
    273.45      0.40408E-02
    273.92      0.40358E-02
    274.39      0.40320E-02
