     f(GHz)     Re[Z] kOhm         Im[Z] kOhm    Re[Z]+log kOhm       Im[Z]+log kOhm
    169.03      0.66336E-01      -0.22113E-01       0.35035E-04        -0.22113E-01
    169.50      0.66119E-01      -0.21650E-01      -0.18230E-03        -0.21650E-01
    169.97      0.66167E-01      -0.21150E-01      -0.13524E-03        -0.21150E-01
    170.44      0.66484E-01      -0.20722E-01       0.18072E-03        -0.20721E-01
    170.91      0.67028E-01      -0.20471E-01       0.72313E-03        -0.20471E-01
    171.37      0.67711E-01      -0.20480E-01       0.14052E-02        -0.20480E-01
    171.84      0.68417E-01      -0.20791E-01       0.21106E-02        -0.20791E-01
    172.31      0.69021E-01      -0.21394E-01       0.27133E-02        -0.21394E-01
    172.78      0.69405E-01      -0.22227E-01       0.30964E-02        -0.22227E-01
    173.25      0.69483E-01      -0.23180E-01       0.31727E-02        -0.23179E-01
    173.71      0.69219E-01      -0.24104E-01       0.29083E-02        -0.24104E-01
    174.18      0.68655E-01      -0.24842E-01       0.23431E-02        -0.24841E-01
    174.65      0.67910E-01      -0.25260E-01       0.15972E-02        -0.25260E-01
    175.12      0.67165E-01      -0.25303E-01       0.85133E-03        -0.25303E-01
    175.59      0.66617E-01      -0.25017E-01       0.30149E-03        -0.25016E-01
    176.06      0.66413E-01      -0.24550E-01       0.97303E-04        -0.24550E-01
    176.52      0.66603E-01      -0.24121E-01       0.28576E-03        -0.24120E-01
    176.99      0.67098E-01      -0.23946E-01       0.78012E-03        -0.23946E-01
    177.46      0.67693E-01      -0.24160E-01       0.13733E-02        -0.24160E-01
    177.93      0.68126E-01      -0.24744E-01       0.18056E-02        -0.24743E-01
    178.40      0.68197E-01      -0.25506E-01       0.18752E-02        -0.25506E-01
    178.87      0.67876E-01      -0.26154E-01       0.15532E-02        -0.26154E-01
    179.33      0.67358E-01      -0.26436E-01       0.10350E-02        -0.26436E-01
    179.80      0.66985E-01      -0.26316E-01       0.66017E-03        -0.26316E-01
    180.27      0.67029E-01      -0.26038E-01       0.70343E-03        -0.26038E-01
    180.74      0.67479E-01      -0.25997E-01       0.11520E-02        -0.25997E-01
    181.21      0.67993E-01      -0.26439E-01       0.16656E-02        -0.26439E-01
    181.67      0.68162E-01      -0.27224E-01       0.18329E-02        -0.27224E-01
    182.14      0.67876E-01      -0.27934E-01       0.15467E-02        -0.27934E-01
    182.61      0.67425E-01      -0.28282E-01       0.10944E-02        -0.28282E-01
    183.08      0.67149E-01      -0.28374E-01       0.81695E-03        -0.28373E-01
    183.55      0.67080E-01      -0.28499E-01       0.74704E-03        -0.28499E-01
    184.02      0.67014E-01      -0.28751E-01       0.67973E-03        -0.28751E-01
    184.48      0.66847E-01      -0.28989E-01       0.51252E-03        -0.28989E-01
    184.95      0.66685E-01      -0.29108E-01       0.34957E-03        -0.29108E-01
    185.42      0.66641E-01      -0.29173E-01       0.30368E-03        -0.29173E-01
    185.89      0.66700E-01      -0.29289E-01       0.36229E-03        -0.29289E-01
    186.36      0.66803E-01      -0.29485E-01       0.46357E-03        -0.29485E-01
    186.83      0.66919E-01      -0.29757E-01       0.57899E-03        -0.29757E-01
    187.29      0.67029E-01      -0.30116E-01       0.68753E-03        -0.30116E-01
    187.76      0.67085E-01      -0.30566E-01       0.74334E-03        -0.30566E-01
    188.23      0.67042E-01      -0.31076E-01       0.69930E-03        -0.31076E-01
    188.70      0.66879E-01      -0.31592E-01       0.53511E-03        -0.31592E-01
    189.17      0.66605E-01      -0.32061E-01       0.25982E-03        -0.32061E-01
    189.63      0.66252E-01      -0.32440E-01      -0.94592E-04        -0.32440E-01
    190.10      0.65865E-01      -0.32708E-01      -0.48245E-03        -0.32708E-01
    190.57      0.65491E-01      -0.32866E-01      -0.85743E-03        -0.32866E-01
    191.04      0.65167E-01      -0.32933E-01      -0.11819E-02        -0.32932E-01
    191.51      0.64920E-01      -0.32936E-01      -0.14300E-02        -0.32936E-01
    191.98      0.64763E-01      -0.32909E-01      -0.15880E-02        -0.32908E-01
    192.44      0.64699E-01      -0.32886E-01      -0.16531E-02        -0.32886E-01
    192.91      0.64717E-01      -0.32904E-01      -0.16361E-02        -0.32904E-01
    193.38      0.64791E-01      -0.32992E-01      -0.15641E-02        -0.32992E-01
    193.85      0.64879E-01      -0.33163E-01      -0.14766E-02        -0.33162E-01
    194.32      0.64944E-01      -0.33406E-01      -0.14124E-02        -0.33406E-01
    194.79      0.64960E-01      -0.33697E-01      -0.13974E-02        -0.33697E-01
    195.25      0.64918E-01      -0.34006E-01      -0.14411E-02        -0.34006E-01
    195.72      0.64818E-01      -0.34304E-01      -0.15415E-02        -0.34304E-01
    196.19      0.64673E-01      -0.34565E-01      -0.16879E-02        -0.34564E-01
    196.66      0.64508E-01      -0.34763E-01      -0.18543E-02        -0.34763E-01
    197.13      0.64367E-01      -0.34894E-01      -0.19958E-02        -0.34894E-01
    197.59      0.64295E-01      -0.34987E-01      -0.20693E-02        -0.34986E-01
    198.06      0.64298E-01      -0.35097E-01      -0.20671E-02        -0.35097E-01
    198.53      0.64342E-01      -0.35266E-01      -0.20241E-02        -0.35266E-01
    199.00      0.64381E-01      -0.35493E-01      -0.19860E-02        -0.35493E-01
    199.47      0.64392E-01      -0.35753E-01      -0.19766E-02        -0.35752E-01
    199.94      0.64373E-01      -0.36022E-01      -0.19960E-02        -0.36021E-01
    200.40      0.64334E-01      -0.36288E-01      -0.20363E-02        -0.36287E-01
    200.87      0.64282E-01      -0.36543E-01      -0.20891E-02        -0.36543E-01
    201.34      0.64229E-01      -0.36786E-01      -0.21438E-02        -0.36786E-01
    201.81      0.64183E-01      -0.37022E-01      -0.21905E-02        -0.37022E-01
    202.28      0.64149E-01      -0.37258E-01      -0.22258E-02        -0.37258E-01
    202.75      0.64123E-01      -0.37503E-01      -0.22520E-02        -0.37503E-01
    203.21      0.64103E-01      -0.37762E-01      -0.22737E-02        -0.37762E-01
    203.68      0.64081E-01      -0.38035E-01      -0.22966E-02        -0.38035E-01
    204.15      0.64051E-01      -0.38324E-01      -0.23275E-02        -0.38324E-01
    204.62      0.64007E-01      -0.38624E-01      -0.23722E-02        -0.38624E-01
    205.09      0.63946E-01      -0.38929E-01      -0.24346E-02        -0.38928E-01
    205.55      0.63867E-01      -0.39230E-01      -0.25149E-02        -0.39230E-01
    206.02      0.63773E-01      -0.39522E-01      -0.26097E-02        -0.39522E-01
    206.49      0.63671E-01      -0.39800E-01      -0.27130E-02        -0.39800E-01
    206.96      0.63567E-01      -0.40063E-01      -0.28179E-02        -0.40062E-01
    207.43      0.63468E-01      -0.40311E-01      -0.29183E-02        -0.40310E-01
    207.90      0.63378E-01      -0.40547E-01      -0.30086E-02        -0.40547E-01
    208.36      0.63303E-01      -0.40777E-01      -0.30845E-02        -0.40777E-01
    208.83      0.63246E-01      -0.41007E-01      -0.31432E-02        -0.41007E-01
    209.30      0.63205E-01      -0.41245E-01      -0.31852E-02        -0.41245E-01
    209.77      0.63177E-01      -0.41498E-01      -0.32144E-02        -0.41497E-01
    210.24      0.63155E-01      -0.41769E-01      -0.32374E-02        -0.41769E-01
    210.71      0.63132E-01      -0.42060E-01      -0.32610E-02        -0.42060E-01
    211.17      0.63103E-01      -0.42370E-01      -0.32915E-02        -0.42370E-01
    211.64      0.63060E-01      -0.42697E-01      -0.33353E-02        -0.42697E-01
    212.11      0.62998E-01      -0.43035E-01      -0.33980E-02        -0.43035E-01
    212.58      0.62914E-01      -0.43377E-01      -0.34832E-02        -0.43377E-01
    213.05      0.62808E-01      -0.43715E-01      -0.35904E-02        -0.43714E-01
    213.51      0.62684E-01      -0.44039E-01      -0.37155E-02        -0.44039E-01
    213.98      0.62549E-01      -0.44346E-01      -0.38518E-02        -0.44345E-01
    214.45      0.62410E-01      -0.44632E-01      -0.39919E-02        -0.44632E-01
    214.92      0.62275E-01      -0.44898E-01      -0.41274E-02        -0.44898E-01
    215.39      0.62153E-01      -0.45147E-01      -0.42501E-02        -0.45147E-01
    215.86      0.62051E-01      -0.45386E-01      -0.43531E-02        -0.45385E-01
    216.32      0.61972E-01      -0.45624E-01      -0.44332E-02        -0.45624E-01
    216.79      0.61914E-01      -0.45872E-01      -0.44922E-02        -0.45872E-01
    217.26      0.61871E-01      -0.46138E-01      -0.45363E-02        -0.46137E-01
    217.73      0.61835E-01      -0.46425E-01      -0.45733E-02        -0.46424E-01
    218.20      0.61799E-01      -0.46733E-01      -0.46106E-02        -0.46733E-01
    218.67      0.61756E-01      -0.47064E-01      -0.46550E-02        -0.47064E-01
    219.13      0.61698E-01      -0.47413E-01      -0.47136E-02        -0.47413E-01
    219.60      0.61620E-01      -0.47775E-01      -0.47934E-02        -0.47775E-01
    220.07      0.61516E-01      -0.48141E-01      -0.48978E-02        -0.48141E-01
    220.54      0.61389E-01      -0.48502E-01      -0.50259E-02        -0.48502E-01
    221.01      0.61243E-01      -0.48849E-01      -0.51727E-02        -0.48848E-01
    221.47      0.61086E-01      -0.49177E-01      -0.53312E-02        -0.49177E-01
    221.94      0.60924E-01      -0.49485E-01      -0.54937E-02        -0.49484E-01
    222.41      0.60767E-01      -0.49772E-01      -0.56522E-02        -0.49772E-01
    222.88      0.60621E-01      -0.50042E-01      -0.57992E-02        -0.50042E-01
    223.35      0.60493E-01      -0.50300E-01      -0.59282E-02        -0.50300E-01
    223.82      0.60387E-01      -0.50555E-01      -0.60351E-02        -0.50555E-01
    224.28      0.60304E-01      -0.50817E-01      -0.61195E-02        -0.50817E-01
    224.75      0.60239E-01      -0.51095E-01      -0.61856E-02        -0.51094E-01
    225.22      0.60184E-01      -0.51395E-01      -0.62411E-02        -0.51394E-01
    225.69      0.60131E-01      -0.51719E-01      -0.62953E-02        -0.51719E-01
    226.16      0.60071E-01      -0.52067E-01      -0.63570E-02        -0.52067E-01
    226.63      0.59995E-01      -0.52435E-01      -0.64334E-02        -0.52434E-01
    227.09      0.59899E-01      -0.52816E-01      -0.65303E-02        -0.52816E-01
    227.56      0.59779E-01      -0.53204E-01      -0.66515E-02        -0.53203E-01
    228.03      0.59633E-01      -0.53588E-01      -0.67983E-02        -0.53588E-01
    228.50      0.59465E-01      -0.53960E-01      -0.69673E-02        -0.53960E-01
    228.97      0.59283E-01      -0.54312E-01      -0.71512E-02        -0.54312E-01
    229.43      0.59095E-01      -0.54641E-01      -0.73401E-02        -0.54641E-01
    229.90      0.58911E-01      -0.54948E-01      -0.75246E-02        -0.54948E-01
    230.37      0.58740E-01      -0.55237E-01      -0.76973E-02        -0.55237E-01
    230.84      0.58585E-01      -0.55515E-01      -0.78526E-02        -0.55514E-01
    231.31      0.58452E-01      -0.55788E-01      -0.79867E-02        -0.55787E-01
    231.78      0.58342E-01      -0.56065E-01      -0.80980E-02        -0.56065E-01
    232.24      0.58252E-01      -0.56357E-01      -0.81894E-02        -0.56357E-01
    232.71      0.58174E-01      -0.56672E-01      -0.82683E-02        -0.56672E-01
    233.18      0.58099E-01      -0.57012E-01      -0.83444E-02        -0.57012E-01
    233.65      0.58017E-01      -0.57377E-01      -0.84275E-02        -0.57377E-01
    234.12      0.57919E-01      -0.57763E-01      -0.85257E-02        -0.57762E-01
    234.59      0.57801E-01      -0.58163E-01      -0.86451E-02        -0.58163E-01
    235.05      0.57658E-01      -0.58569E-01      -0.87891E-02        -0.58569E-01
    235.52      0.57490E-01      -0.58974E-01      -0.89585E-02        -0.58973E-01
    235.99      0.57299E-01      -0.59367E-01      -0.91506E-02        -0.59366E-01
    236.46      0.57091E-01      -0.59741E-01      -0.93589E-02        -0.59741E-01
    236.93      0.56877E-01      -0.60092E-01      -0.95747E-02        -0.60092E-01
    237.39      0.56664E-01      -0.60421E-01      -0.97883E-02        -0.60420E-01
    237.86      0.56463E-01      -0.60729E-01      -0.99907E-02        -0.60729E-01
    238.33      0.56279E-01      -0.61025E-01      -0.10175E-01        -0.61025E-01
    238.80      0.56117E-01      -0.61315E-01      -0.10339E-01        -0.61315E-01
    239.27      0.55977E-01      -0.61611E-01      -0.10479E-01        -0.61610E-01
    239.74      0.55857E-01      -0.61920E-01      -0.10600E-01        -0.61919E-01
    240.20      0.55750E-01      -0.62249E-01      -0.10709E-01        -0.62249E-01
    240.67      0.55646E-01      -0.62603E-01      -0.10814E-01        -0.62603E-01
    241.14      0.55537E-01      -0.62983E-01      -0.10924E-01        -0.62982E-01
    241.61      0.55415E-01      -0.63384E-01      -0.11047E-01        -0.63384E-01
    242.08      0.55271E-01      -0.63802E-01      -0.11192E-01        -0.63801E-01
    242.55      0.55101E-01      -0.64227E-01      -0.11363E-01        -0.64227E-01
    243.01      0.54905E-01      -0.64651E-01      -0.11560E-01        -0.64650E-01
    243.48      0.54685E-01      -0.65062E-01      -0.11781E-01        -0.65062E-01
    243.95      0.54448E-01      -0.65454E-01      -0.12019E-01        -0.65454E-01
    244.42      0.54204E-01      -0.65825E-01      -0.12264E-01        -0.65824E-01
    244.89      0.53961E-01      -0.66172E-01      -0.12508E-01        -0.66172E-01
    245.35      0.53726E-01      -0.66500E-01      -0.12744E-01        -0.66499E-01
    245.82      0.53509E-01      -0.66812E-01      -0.12962E-01        -0.66811E-01
    246.29      0.53314E-01      -0.67117E-01      -0.13158E-01        -0.67117E-01
    246.76      0.53143E-01      -0.67427E-01      -0.13331E-01        -0.67427E-01
    247.23      0.52991E-01      -0.67751E-01      -0.13483E-01        -0.67751E-01
    247.70      0.52852E-01      -0.68096E-01      -0.13624E-01        -0.68096E-01
    248.16      0.52716E-01      -0.68465E-01      -0.13761E-01        -0.68465E-01
    248.63      0.52575E-01      -0.68858E-01      -0.13903E-01        -0.68858E-01
    249.10      0.52421E-01      -0.69273E-01      -0.14058E-01        -0.69273E-01
    249.57      0.52247E-01      -0.69705E-01      -0.14233E-01        -0.69704E-01
    250.04      0.52047E-01      -0.70145E-01      -0.14433E-01        -0.70145E-01
    250.51      0.51820E-01      -0.70585E-01      -0.14662E-01        -0.70585E-01
    250.97      0.51567E-01      -0.71014E-01      -0.14915E-01        -0.71013E-01
    251.44      0.51297E-01      -0.71421E-01      -0.15187E-01        -0.71421E-01
    251.91      0.51020E-01      -0.71806E-01      -0.15465E-01        -0.71806E-01
    252.38      0.50745E-01      -0.72169E-01      -0.15741E-01        -0.72169E-01
    252.85      0.50477E-01      -0.72513E-01      -0.16009E-01        -0.72512E-01
    253.31      0.50225E-01      -0.72841E-01      -0.16263E-01        -0.72841E-01
    253.78      0.49995E-01      -0.73162E-01      -0.16494E-01        -0.73161E-01
    254.25      0.49787E-01      -0.73485E-01      -0.16703E-01        -0.73485E-01
    254.72      0.49600E-01      -0.73822E-01      -0.16891E-01        -0.73821E-01
    255.19      0.49427E-01      -0.74179E-01      -0.17065E-01        -0.74179E-01
    255.66      0.49257E-01      -0.74562E-01      -0.17236E-01        -0.74562E-01
    256.12      0.49081E-01      -0.74970E-01      -0.17413E-01        -0.74970E-01
    256.59      0.48891E-01      -0.75399E-01      -0.17604E-01        -0.75399E-01
    257.06      0.48681E-01      -0.75843E-01      -0.17815E-01        -0.75842E-01
    257.53      0.48448E-01      -0.76296E-01      -0.18049E-01        -0.76296E-01
    258.00      0.48186E-01      -0.76750E-01      -0.18312E-01        -0.76749E-01
    258.47      0.47898E-01      -0.77192E-01      -0.18602E-01        -0.77192E-01
    258.93      0.47592E-01      -0.77614E-01      -0.18909E-01        -0.77614E-01
    259.40      0.47277E-01      -0.78013E-01      -0.19224E-01        -0.78013E-01
    259.87      0.46963E-01      -0.78389E-01      -0.19539E-01        -0.78388E-01
    260.34      0.46659E-01      -0.78743E-01      -0.19844E-01        -0.78743E-01
    260.81      0.46372E-01      -0.79085E-01      -0.20132E-01        -0.79084E-01
    261.27      0.46105E-01      -0.79420E-01      -0.20400E-01        -0.79420E-01
    261.74      0.45858E-01      -0.79758E-01      -0.20648E-01        -0.79758E-01
    262.21      0.45631E-01      -0.80107E-01      -0.20876E-01        -0.80106E-01
    262.68      0.45420E-01      -0.80475E-01      -0.21089E-01        -0.80474E-01
    263.15      0.45213E-01      -0.80870E-01      -0.21297E-01        -0.80870E-01
    263.62      0.44999E-01      -0.81291E-01      -0.21512E-01        -0.81290E-01
    264.08      0.44769E-01      -0.81732E-01      -0.21742E-01        -0.81732E-01
    264.55      0.44520E-01      -0.82189E-01      -0.21993E-01        -0.82189E-01
    265.02      0.44245E-01      -0.82655E-01      -0.22269E-01        -0.82654E-01
    265.49      0.43941E-01      -0.83119E-01      -0.22574E-01        -0.83118E-01
    265.96      0.43613E-01      -0.83570E-01      -0.22903E-01        -0.83570E-01
    266.43      0.43269E-01      -0.84003E-01      -0.23248E-01        -0.84003E-01
    266.89      0.42915E-01      -0.84415E-01      -0.23603E-01        -0.84415E-01
    267.36      0.42558E-01      -0.84803E-01      -0.23961E-01        -0.84803E-01
    267.83      0.42210E-01      -0.85168E-01      -0.24310E-01        -0.85167E-01
    268.30      0.41881E-01      -0.85516E-01      -0.24640E-01        -0.85516E-01
    268.77      0.41575E-01      -0.85861E-01      -0.24947E-01        -0.85861E-01
    269.23      0.41288E-01      -0.86211E-01      -0.25235E-01        -0.86210E-01
    269.70      0.41018E-01      -0.86571E-01      -0.25506E-01        -0.86570E-01
    270.17      0.40763E-01      -0.86949E-01      -0.25762E-01        -0.86949E-01
    270.64      0.40512E-01      -0.87354E-01      -0.26014E-01        -0.87353E-01
    271.11      0.40255E-01      -0.87784E-01      -0.26272E-01        -0.87784E-01
    271.58      0.39982E-01      -0.88235E-01      -0.26547E-01        -0.88234E-01
    272.04      0.39688E-01      -0.88700E-01      -0.26842E-01        -0.88700E-01
    272.51      0.39368E-01      -0.89175E-01      -0.27162E-01        -0.89175E-01
    272.98      0.39018E-01      -0.89648E-01      -0.27513E-01        -0.89648E-01
    273.45      0.38642E-01      -0.90107E-01      -0.27890E-01        -0.90106E-01
    273.92      0.38251E-01      -0.90543E-01      -0.28283E-01        -0.90542E-01
    274.39      0.37854E-01      -0.90958E-01      -0.28681E-01        -0.90957E-01
    274.85      0.37456E-01      -0.91353E-01      -0.29079E-01        -0.91352E-01
    275.32      0.37063E-01      -0.91726E-01      -0.29474E-01        -0.91726E-01
    275.79      0.36686E-01      -0.92079E-01      -0.29851E-01        -0.92079E-01
    276.26      0.36336E-01      -0.92426E-01      -0.30203E-01        -0.92425E-01
    276.73      0.36010E-01      -0.92781E-01      -0.30530E-01        -0.92780E-01
    277.19      0.35698E-01      -0.93151E-01      -0.30843E-01        -0.93151E-01
    277.66      0.35395E-01      -0.93540E-01      -0.31147E-01        -0.93540E-01
    278.13      0.35095E-01      -0.93950E-01      -0.31447E-01        -0.93949E-01
    278.60      0.34792E-01      -0.94384E-01      -0.31751E-01        -0.94384E-01
    279.07      0.34474E-01      -0.94843E-01      -0.32071E-01        -0.94843E-01
    279.54      0.34129E-01      -0.95317E-01      -0.32417E-01        -0.95316E-01
    280.00      0.33758E-01      -0.95794E-01      -0.32789E-01        -0.95794E-01
    280.47      0.33361E-01      -0.96268E-01      -0.33187E-01        -0.96267E-01
    280.94      0.32939E-01      -0.96730E-01      -0.33610E-01        -0.96730E-01
    281.41      0.32498E-01      -0.97172E-01      -0.34052E-01        -0.97171E-01
    281.88      0.32049E-01      -0.97586E-01      -0.34502E-01        -0.97586E-01
    282.35      0.31605E-01      -0.97976E-01      -0.34947E-01        -0.97976E-01
    282.81      0.31173E-01      -0.98351E-01      -0.35381E-01        -0.98350E-01
    283.28      0.30753E-01      -0.98713E-01      -0.35801E-01        -0.98713E-01
    283.75      0.30351E-01      -0.99066E-01      -0.36204E-01        -0.99066E-01
    284.22      0.29974E-01      -0.99420E-01      -0.36582E-01        -0.99419E-01
    284.69      0.29620E-01      -0.99790E-01      -0.36937E-01        -0.99789E-01
    285.15      0.29276E-01      -0.10019          -0.37282E-01        -0.10019    
    285.62      0.28927E-01      -0.10061          -0.37633E-01        -0.10061    
    286.09      0.28566E-01      -0.10105          -0.37995E-01        -0.10105    
    286.56      0.28192E-01      -0.10151          -0.38370E-01        -0.10151    
    287.03      0.27799E-01      -0.10198          -0.38763E-01        -0.10198    
    287.50      0.27378E-01      -0.10246          -0.39185E-01        -0.10246    
    287.96      0.26924E-01      -0.10294          -0.39641E-01        -0.10294    
    288.43      0.26442E-01      -0.10340          -0.40123E-01        -0.10340    
    288.90      0.25949E-01      -0.10383          -0.40617E-01        -0.10383    
    289.37      0.25455E-01      -0.10425          -0.41112E-01        -0.10425    
    289.84      0.24962E-01      -0.10464          -0.41607E-01        -0.10464    
    290.31      0.24474E-01      -0.10501          -0.42095E-01        -0.10501    
    290.77      0.24004E-01      -0.10537          -0.42567E-01        -0.10537    
    291.24      0.23559E-01      -0.10572          -0.43013E-01        -0.10572    
    291.71      0.23138E-01      -0.10608          -0.43435E-01        -0.10608    
