        Frequency / GHz                Z Real (kOhm/m)
----------------------------------------------------------------------
   0.00000E+00  0.15456    
   0.46823      0.15630    
   0.93647      0.16007    
    1.4047      0.16220    
    1.8729      0.15908    
    2.3412      0.15004    
    2.8094      0.13792    
    3.2776      0.12679    
    3.7459      0.11908    
    4.2141      0.11466    
    4.6823      0.11171    
    5.1506      0.10821    
    5.6188      0.10314    
    6.0870      0.96688E-01
    6.5553      0.89615E-01
    7.0235      0.82476E-01
    7.4918      0.75431E-01
    7.9600      0.68543E-01
    8.4282      0.62053E-01
    8.8965      0.56342E-01
    9.3647      0.51683E-01
    9.8329      0.48061E-01
    10.301      0.45254E-01
    10.769      0.43025E-01
    11.238      0.41234E-01
    11.706      0.39796E-01
    12.174      0.38577E-01
    12.642      0.37363E-01
    13.111      0.35940E-01
    13.579      0.34208E-01
    14.047      0.32210E-01
    14.515      0.30058E-01
    14.984      0.27840E-01
    15.452      0.25595E-01
    15.920      0.23358E-01
    16.388      0.21219E-01
    16.856      0.19308E-01
    17.325      0.17728E-01
    17.793      0.16489E-01
    18.261      0.15531E-01
    18.729      0.14775E-01
    19.198      0.14172E-01
    19.666      0.13697E-01
    20.134      0.13306E-01
    20.602      0.12921E-01
    21.071      0.12460E-01
    21.539      0.11878E-01
    22.007      0.11186E-01
    22.475      0.10426E-01
    22.943      0.96438E-02
    23.412      0.88652E-02
    23.880      0.81127E-02
    24.348      0.74234E-02
    24.816      0.68456E-02
    25.285      0.64187E-02
    25.753      0.61518E-02
    26.221      0.60206E-02
    26.689      0.59866E-02
    27.158      0.60180E-02
    27.626      0.60904E-02
    28.094      0.61753E-02
    28.562      0.62362E-02
    29.031      0.62371E-02
    29.499      0.61584E-02
    29.967      0.60059E-02
    30.435      0.58019E-02
    30.903      0.55684E-02
    31.372      0.53226E-02
    31.840      0.50834E-02
    32.308      0.48751E-02
    32.776      0.47242E-02
    33.245      0.46482E-02
    33.713      0.46460E-02
    34.181      0.47003E-02
    34.649      0.47905E-02
    35.118      0.48994E-02
    35.586      0.50108E-02
    36.054      0.51060E-02
    36.522      0.51623E-02
    36.991      0.51589E-02
    37.459      0.50886E-02
    37.927      0.49605E-02
    38.395      0.47921E-02
    38.863      0.46001E-02
    39.332      0.43971E-02
    39.800      0.41950E-02
    40.268      0.40094E-02
    40.736      0.38594E-02
    41.205      0.37570E-02
    41.673      0.37004E-02
    42.141      0.36768E-02
    42.609      0.36702E-02
    43.078      0.36676E-02
    43.546      0.36600E-02
    44.014      0.36375E-02
    44.482      0.35867E-02
    44.951      0.34959E-02
    45.419      0.33623E-02
    45.887      0.31932E-02
    46.355      0.30025E-02
    46.823      0.28051E-02
    47.292      0.26124E-02
