        Frequency / GHz                Z Real (kOhm/m)
    112.84     -0.96403E-04
    113.31     -0.72087E-04
    113.78     -0.54920E-04
    114.25     -0.47568E-04
    114.72     -0.50689E-04
    115.19     -0.63658E-04
    115.65     -0.86003E-04
    116.12     -0.11650E-03
    116.59     -0.15264E-03
    117.06     -0.19163E-03
    117.53     -0.23047E-03
    118.00     -0.26612E-03
    118.46     -0.29730E-03
    118.93     -0.32427E-03
    119.40     -0.34729E-03
    119.87     -0.36707E-03
    120.34     -0.38533E-03
    120.80     -0.40384E-03
    121.27     -0.42462E-03
    121.74     -0.44999E-03
    122.21     -0.48078E-03
    122.68     -0.51617E-03
    123.15     -0.55515E-03
    123.61     -0.59629E-03
    124.08     -0.63715E-03
    124.55     -0.67525E-03
    125.02     -0.70807E-03
    125.49     -0.73272E-03
    125.96     -0.74750E-03
    126.42     -0.75245E-03
    126.89     -0.74797E-03
    127.36     -0.73499E-03
    127.83     -0.71561E-03
    128.30     -0.69215E-03
    128.76     -0.66708E-03
    129.23     -0.64357E-03
    129.70     -0.62399E-03
    130.17     -0.60901E-03
    130.64     -0.59895E-03
    131.11     -0.59376E-03
    131.57     -0.59250E-03
    132.04     -0.59408E-03
    132.51     -0.59730E-03
    132.98     -0.60005E-03
    133.45     -0.60071E-03
    133.92     -0.59938E-03
    134.38     -0.59668E-03
    134.85     -0.59350E-03
    135.32     -0.59153E-03
    135.79     -0.59234E-03
    136.26     -0.59735E-03
    136.72     -0.60880E-03
    137.19     -0.62866E-03
    137.66     -0.65718E-03
    138.13     -0.69380E-03
    138.60     -0.73737E-03
    139.07     -0.78559E-03
    139.53     -0.83612E-03
    140.00     -0.88693E-03
    140.47     -0.93511E-03
    140.94     -0.97756E-03
    141.41     -0.10124E-02
    141.88     -0.10388E-02
    142.34     -0.10563E-02
    142.81     -0.10659E-02
    143.28     -0.10689E-02
    143.75     -0.10662E-02
    144.22     -0.10595E-02
    144.68     -0.10513E-02
    145.15     -0.10429E-02
    145.62     -0.10351E-02
    146.09     -0.10287E-02
    146.56     -0.10233E-02
    147.03     -0.10180E-02
    147.49     -0.10128E-02
    147.96     -0.10071E-02
    148.43     -0.99983E-03
    148.90     -0.99103E-03
    149.37     -0.98126E-03
    149.84     -0.97125E-03
    150.30     -0.96283E-03
    150.77     -0.95824E-03
    151.24     -0.95891E-03
    151.71     -0.96642E-03
    152.18     -0.98264E-03
    152.64     -0.10083E-02
    153.11     -0.10430E-02
    153.58     -0.10862E-02
    154.05     -0.11356E-02
    154.52     -0.11880E-02
    154.99     -0.12409E-02
    155.45     -0.12911E-02
    155.92     -0.13352E-02
    156.39     -0.13701E-02
    156.86     -0.13940E-02
    157.33     -0.14057E-02
    157.79     -0.14053E-02
    158.26     -0.13946E-02
    158.73     -0.13751E-02
    159.20     -0.13491E-02
    159.67     -0.13201E-02
    160.14     -0.12914E-02
    160.60     -0.12660E-02
    161.07     -0.12472E-02
    161.54     -0.12370E-02
    162.01     -0.12359E-02
    162.48     -0.12449E-02
    162.95     -0.12641E-02
    163.41     -0.12924E-02
    163.88     -0.13282E-02
    164.35     -0.13694E-02
    164.82     -0.14131E-02
    165.29     -0.14566E-02
    165.75     -0.14976E-02
    166.22     -0.15336E-02
    166.69     -0.15617E-02
    167.16     -0.15803E-02
    167.63     -0.15885E-02
    168.10     -0.15861E-02
    168.56     -0.15747E-02
    169.03     -0.15568E-02
